elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.233,robot_0,EV_search_object,EV_path_clear,CLEAR
0.390,robot_0,EV_search_object,EV_path_clear,CLEAR
0.588,robot_0,EV_search_object,EV_path_clear,CLEAR
0.788,robot_0,EV_search_object,EV_path_clear,CLEAR
0.986,robot_0,EV_search_object,EV_path_clear,CLEAR
1.198,robot_0,EV_move_forward,EV_path_clear,CLEAR
1.493,robot_0,EV_search_object,EV_path_clear,CLEAR
1.688,robot_0,EV_move_forward,EV_path_clear,CLEAR
1.988,robot_0,EV_search_object,EV_path_clear,CLEAR
2.187,robot_0,EV_search_object,EV_path_clear,CLEAR
2.389,robot_0,EV_move_forward,EV_path_clear,CLEAR
2.591,robot_0,EV_move_forward,EV_path_clear,CLEAR
2.887,robot_0,EV_move_forward,EV_path_clear,CLEAR
3.193,robot_0,EV_search_object,EV_path_clear,CLEAR
3.388,robot_0,EV_move_forward,EV_path_clear,CLEAR
3.688,robot_0,EV_search_object,EV_path_clear,CLEAR
3.887,robot_0,EV_search_object,EV_path_clear,CLEAR
4.088,robot_0,EV_move_forward,EV_path_clear,CLEAR
4.387,robot_0,EV_search_object,EV_path_clear,CLEAR
4.616,robot_0,EV_move_forward,EV_path_clear,CLEAR
4.900,robot_0,EV_pick_up_object,EV_object_reached|EV_path_clear,CLEAR
5.219,robot_0,EV_move_forward,EV_path_clear,CLEAR
5.501,robot_0,EV_search_zone,EV_path_clear,CLEAR
5.636,robot_0,EV_move_forward,EV_path_clear,CLEAR
5.900,robot_0,EV_search_zone,EV_zone_a_not_visible|EV_path_clear|EV_zone_b_not_visible,CLEAR
6.104,robot_0,EV_move_forward,EV_path_clear,CLEAR
6.319,robot_0,EV_move_forward,EV_path_clear,CLEAR
6.595,robot_0,EV_search_zone,EV_path_clear,CLEAR
6.731,robot_0,EV_move_forward,EV_zone_a_not_visible|EV_path_clear,CLEAR
7.007,robot_0,EV_move_forward,EV_path_clear|EV_zone_b_not_visible,CLEAR
7.306,robot_0,EV_move_forward,EV_path_clear,CLEAR
7.636,robot_0,EV_move_forward,EV_path_clear,CLEAR
7.924,robot_0,EV_move_forward,EV_zone_a_not_visible|EV_path_clear|EV_zone_b_not_visible,CLEAR
8.203,robot_0,EV_move_forward,EV_path_clear,CLEAR
8.408,robot_0,EV_move_forward,EV_path_clear,CLEAR
8.719,robot_0,EV_move_forward,EV_zone_a_not_visible|EV_path_clear|EV_zone_b_not_visible,CLEAR
9.002,robot_0,EV_move_forward,EV_path_clear,CLEAR
9.298,robot_0,EV_search_zone,EV_path_clear,CLEAR
9.514,robot_0,EV_search_zone,EV_path_clear,CLEAR
9.694,robot_0,EV_move_forward,EV_zone_a_not_visible|EV_path_clear|EV_zone_b_not_visible,CLEAR
9.928,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.195,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.526,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.804,robot_0,EV_search_zone,EV_zone_a_not_visible|EV_path_clear|EV_zone_b_not_visible,CLEAR
10.922,robot_0,EV_move_forward,EV_path_clear,CLEAR
11.217,robot_0,EV_search_zone,EV_path_clear,CLEAR
11.406,robot_0,EV_search_zone,EV_path_clear,CLEAR
11.527,robot_0,EV_search_zone,EV_path_clear,CLEAR
11.722,robot_0,EV_move_forward,EV_zone_a_not_visible|EV_path_clear|EV_zone_b_not_visible,CLEAR
