stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789488311,21024373,3.395,robot_1,1.494,0.495
1789488311,21174923,3.395,robot_2,-0.405,1.735
1789488311,21289782,3.395,robot_0,-0.867,2.851
1789488317,879186554,10.253,robot_1,1.494,0.495
1789488317,879271985,10.253,robot_2,-0.405,1.735
1789488317,879319823,10.253,robot_0,-0.867,2.851
1789488321,236225316,13.610,robot_1,1.494,0.495
1789488321,236312822,13.610,robot_2,-0.405,1.735
1789488321,236364458,13.610,robot_0,-0.867,2.851
1789488321,451942525,13.826,robot_1,1.494,0.495
1789488321,452030099,13.826,robot_2,-0.415,1.738
1789488321,452075716,13.826,robot_0,-0.867,2.851
1789488321,704020653,14.078,robot_1,1.494,0.496
1789488321,704102960,14.078,robot_2,-0.432,1.743
1789488321,704146211,14.078,robot_0,-0.877,2.849
1789488321,932944180,14.307,robot_1,1.504,0.495
1789488321,933072072,14.307,robot_2,-0.446,1.748
1789488321,933130769,14.307,robot_0,-0.890,2.846
1789488321,933198896,14.307,robot_0_carried_generic_box,-0.880,2.848
1789488322,133331639,14.507,robot_1,1.535,0.492
1789488322,133414233,14.507,robot_2,-0.450,1.749
1789488322,133460439,14.507,robot_0,-0.904,2.843
1789488322,133515508,14.507,robot_0_carried_generic_box,-0.894,2.845
1789488322,347365622,14.721,robot_1,1.550,0.490
1789488322,347446224,14.721,robot_2,-0.450,1.749
1789488322,347492963,14.721,robot_0,-0.931,2.835
1789488322,347550653,14.721,robot_0_carried_generic_box,-0.902,2.843
1789488322,556157686,14.930,robot_1,1.572,0.485
1789488322,556244199,14.930,robot_2,-0.450,1.749
1789488322,556296562,14.930,robot_0,-0.950,2.831
1789488322,556347778,14.930,robot_0_carried_generic_box,-0.921,2.838
1789488322,792565630,15.166,robot_1,1.595,0.480
1789488322,792649558,15.166,robot_2,-0.450,1.749
1789488322,792705649,15.166,robot_0,-0.980,2.822
1789488322,792769432,15.166,robot_0_carried_generic_box,-0.938,2.834
1789488322,995727456,15.369,robot_1,1.595,0.480
1789488322,995806113,15.369,robot_2,-0.450,1.749
1789488323,12739714,15.386,robot_0,-0.989,2.820
1789488323,12903001,15.387,robot_0_carried_generic_box,-0.968,2.826
1789488323,219362951,15.593,robot_1,1.595,0.480
1789488323,219458007,15.593,robot_2,-0.450,1.748
1789488323,219515245,15.593,robot_0,-1.011,2.813
1789488323,219581343,15.593,robot_0_carried_generic_box,-0.984,2.821
1789488323,463529869,15.837,robot_1,1.595,0.481
