stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789492579,116826564,robot_0,33,1.000,-3.000,1.500,-2.500
1789492579,116835620,robot_0,34,1.000,-2.000,1.500,-1.500
1789492579,116843326,robot_0,41,2.000,-3.000,2.500,-2.500
1789492579,116848948,robot_0,42,2.000,-2.000,2.500,-1.500
1789492579,116874673,robot_1,29,0.000,1.000,0.500,1.500
1789492579,116881267,robot_1,30,0.000,2.000,0.500,2.500
1789492579,116894776,robot_2,10,-2.000,-2.000,-1.500,-1.500
1789492579,116900803,robot_2,11,-2.000,-1.000,-1.500,-0.500
1789492579,116906622,robot_2,18,-1.000,-2.000,-0.500,-1.500
1789492579,116912352,robot_2,19,-1.000,-1.000,-0.500,-0.500
1789492584,892946025,robot_1,21,-1.000,1.000,-0.500,1.500
1789492584,892964878,robot_1,22,-1.000,2.000,-0.500,2.500
1789492586,773744301,robot_0,35,1.000,-1.000,1.500,-0.500
1789492586,773781113,robot_0,43,2.000,-1.000,2.500,-0.500
1789492589,94197068,robot_1,14,-2.000,2.000,-1.500,2.500
1789492593,372718607,robot_1,13,-2.000,1.000,-1.500,1.500
1789492596,313970899,robot_1,5,-3.000,1.000,-2.500,1.500
1789492596,313987354,robot_1,6,-3.000,2.000,-2.500,2.500
1789492599,55921819,robot_1,15,-2.000,3.000,-1.500,3.500
1789492600,319268078,robot_1,23,-1.000,3.000,-0.500,3.500
1789492604,734174848,robot_0,26,0.000,-2.000,0.500,-1.500
1789492606,14189263,robot_2,9,-2.000,-3.000,-1.500,-2.500
1789492606,14214031,robot_2,17,-1.000,-3.000,-0.500,-2.500
1789492608,554175217,robot_1,7,-3.000,3.000,-2.500,3.500
1789492608,973107112,robot_0,27,0.000,-1.000,0.500,-0.500
1789492614,913578915,robot_2,2,-3.000,-2.000,-2.500,-1.500
1789492614,913595976,robot_2,3,-3.000,-1.000,-2.500,-0.500
1789492618,53124733,robot_0,28,0.000,0.000,0.500,0.500
1789492618,53142292,robot_0,36,1.000,0.000,1.500,0.500
1789492620,373958014,robot_0,37,1.000,1.000,1.500,1.500
1789492620,592644096,robot_2,1,-3.000,-3.000,-2.500,-2.500
1789492623,992741559,robot_0,20,-1.000,0.000,-0.500,0.500
1789492629,895360164,robot_2,4,-3.000,0.000,-2.500,0.500
1789492629,895380977,robot_2,12,-2.000,0.000,-1.500,0.500
1789492645,767103030,robot_0,25,0.000,-3.000,0.500,-2.500
1789492654,763229393,robot_0,16,-1.000,-4.000,-0.500,-3.500
1789492672,883188147,robot_1,32,1.000,-4.000,1.500,-3.500
1789492673,722876392,robot_1,40,2.000,-4.000,2.500,-3.500
1789492695,263664804,robot_1,44,2.000,0.000,2.500,0.500
1789492703,304179951,robot_1,45,2.000,1.000,2.500,1.500
1789492742,306826408,robot_0,24,0.000,-4.000,0.500,-3.500
