stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789493806,477977551,3.506,robot_1,0.196,-3.090
1789493806,481156585,3.509,robot_2,1.566,-1.617
1789493806,481200858,3.509,robot_0,0.525,1.065
1789493813,375685705,10.404,robot_1,0.196,-3.090
1789493813,375786202,10.404,robot_2,1.566,-1.617
1789493813,375828403,10.404,robot_0,0.525,1.065
1789493816,510120249,13.538,robot_1,0.196,-3.090
1789493816,510209235,13.538,robot_2,1.566,-1.617
1789493816,510249177,13.538,robot_0,0.526,1.064
1789493816,710293166,13.738,robot_1,0.190,-3.074
1789493816,710434395,13.738,robot_2,1.553,-1.613
1789493816,710511493,13.738,robot_0,0.547,1.053
1789493816,926765294,13.955,robot_1,0.184,-3.055
1789493816,926877684,13.955,robot_2,1.552,-1.613
1789493816,926927471,13.955,robot_0,0.573,1.039
1789493817,138363537,14.166,robot_1,0.177,-3.032
1789493817,138457536,14.166,robot_2,1.552,-1.613
1789493817,138500109,14.166,robot_0,0.588,1.031
1789493817,343184565,14.371,robot_1,0.171,-3.011
1789493817,343286037,14.371,robot_2,1.552,-1.612
1789493817,343335080,14.371,robot_0,0.588,1.031
1789493817,555118841,14.583,robot_1,0.167,-2.987
1789493817,555226774,14.583,robot_2,1.552,-1.612
1789493817,555272559,14.583,robot_0,0.603,1.024
1789493817,781694999,14.810,robot_1,0.164,-2.961
1789493817,781795399,14.810,robot_2,1.552,-1.612
1789493817,781841853,14.810,robot_0,0.627,1.015
1789493817,991208147,15.019,robot_1,0.163,-2.931
1789493817,991292581,15.019,robot_2,1.552,-1.612
1789493817,991328528,15.019,robot_0,0.636,1.012
1789493818,218002155,15.246,robot_1,0.163,-2.918
1789493818,218082702,15.246,robot_2,1.552,-1.612
1789493818,218116592,15.246,robot_0,0.648,1.008
1789493818,441743370,15.470,robot_1,0.164,-2.908
1789493818,441942893,15.470,robot_2,1.552,-1.612
1789493818,441981702,15.470,robot_0,0.675,1.001
1789493818,652665420,15.681,robot_1,0.170,-2.872
1789493818,652747730,15.681,robot_2,1.552,-1.612
1789493818,652783563,15.681,robot_0,0.715,0.990
1789493818,862205418,15.890,robot_1,0.173,-2.862
1789493818,862287671,15.890,robot_2,1.552,-1.611
1789493818,862322472,15.890,robot_0,0.726,0.987
1789493819,67595562,16.096,robot_1,0.184,-2.827
1789493819,67675928,16.096,robot_2,1.552,-1.611
1789493819,67708036,16.096,robot_0,0.726,0.987
1789493819,277249069,16.305,robot_1,0.193,-2.803
1789493819,277325693,16.305,robot_2,1.552,-1.611
1789493819,277365480,16.305,robot_0,0.726,0.986
1789493819,501066013,16.529,robot_1,0.205,-2.772
1789493819,501158064,16.529,robot_2,1.552,-1.611
1789493819,501196745,16.529,robot_0,0.727,0.985
1789493819,720908465,16.749,robot_1,0.211,-2.757
1789493819,720981005,16.749,robot_2,1.552,-1.611
1789493819,721009900,16.749,robot_0,0.726,0.985
1789493819,939469638,16.967,robot_1,0.218,-2.734
1789493819,939545987,16.967,robot_2,1.552,-1.611
1789493819,939574942,16.967,robot_0,0.725,0.986
1789493820,167606145,17.196,robot_1,0.225,-2.711
1789493820,167694015,17.196,robot_2,1.552,-1.611
1789493820,167736480,17.196,robot_0,0.725,0.989
1789493820,376779979,17.405,robot_1,0.232,-2.686
1789493820,389511558,17.417,robot_2,1.552,-1.611
1789493820,389602848,17.418,robot_0,0.723,0.991
1789493820,584844895,17.613,robot_1,0.242,-2.639
1789493820,584932196,17.613,robot_2,1.552,-1.610
1789493820,584975033,17.613,robot_0,0.720,0.995
1789493820,786623768,17.815,robot_1,0.249,-2.606
1789493820,786697071,17.815,robot_2,1.556,-1.623
1789493820,786734683,17.815,robot_0,0.716,0.999
1789493820,997618126,18.026,robot_1,0.257,-2.572
1789493820,997697937,18.026,robot_2,1.568,-1.656
1789493820,997767501,18.026,robot_0,0.713,1.002
1789493821,211898744,18.240,robot_1,0.263,-2.541
1789493821,211973556,18.240,robot_2,1.588,-1.699
1789493821,212009594,18.240,robot_0,0.713,1.002
1789493821,418099834,18.446,robot_1,0.270,-2.504
1789493821,418178189,18.446,robot_2,1.601,-1.725
1789493821,418220562,18.446,robot_0,0.713,1.002
1789493821,634107072,18.662,robot_1,0.275,-2.477
1789493821,634178006,18.662,robot_2,1.607,-1.735
1789493821,634209781,18.662,robot_0,0.714,1.002
1789493821,841399962,18.873,robot_1,0.277,-2.464
1789493821,844717436,18.873,robot_2,1.637,-1.782
1789493821,844783600,18.873,robot_0,0.714,1.002
1789493822,58983625,19.087,robot_1,0.287,-2.415
1789493822,59078684,19.087,robot_2,1.661,-1.818
1789493822,59153804,19.087,robot_0,0.714,1.002
1789493822,268093207,19.296,robot_1,0.290,-2.398
1789493822,268173110,19.296,robot_2,1.662,-1.819
1789493822,268224062,19.301,robot_0,0.714,1.002
1789493822,486947840,19.515,robot_1,0.298,-2.365
