elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.131,robot_0,EV_approach_color,EV_path_clear,CLEAR
0.430,robot_0,EV_approach_object,EV_path_clear,CLEAR
0.730,robot_0,EV_search_object,EV_path_clear,CLEAR
0.930,robot_0,EV_approach_object,EV_path_clear,CLEAR
1.230,robot_0,EV_search_color,EV_path_clear,CLEAR
1.430,robot_0,EV_search_object,EV_path_clear,CLEAR
1.630,robot_0,EV_approach_color,EV_path_clear,CLEAR
1.937,robot_0,EV_search_color,EV_object_not_visible|EV_path_clear,CLEAR
2.147,robot_0,EV_approach_color,EV_path_clear,CLEAR
2.444,robot_0,EV_approach_color,EV_path_clear,CLEAR
2.744,robot_0,EV_move_forward,EV_object_visible|EV_path_clear,CLEAR
3.031,robot_0,EV_approach_object,EV_path_clear,CLEAR
3.246,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
3.543,robot_0,EV_approach_color,EV_path_clear,CLEAR
3.834,robot_0,EV_approach_color,EV_object_visible|EV_path_clear,CLEAR
4.145,robot_0,EV_search_color,EV_path_clear,CLEAR
4.331,robot_0,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
4.648,robot_0,EV_search_object,EV_path_clear,CLEAR
4.840,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
5.136,robot_0,EV_search_color,EV_path_clear,CLEAR
5.347,robot_0,EV_approach_object,EV_path_clear,CLEAR
5.637,robot_0,EV_search_color,EV_path_clear|EV_object_reached,CLEAR
5.838,robot_0,EV_move_forward,EV_path_clear,CLEAR
6.133,robot_0,EV_search_object,EV_path_clear,CLEAR
6.250,robot_0,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
6.539,robot_0,EV_search_color,EV_path_clear,CLEAR
6.734,robot_0,EV_approach_color,EV_path_clear,CLEAR
7.050,robot_0,EV_search_color,EV_path_clear|EV_object_reached,CLEAR
7.241,robot_0,EV_move_forward,EV_path_clear,CLEAR
7.445,robot_0,EV_approach_color,EV_path_clear,CLEAR
7.745,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
7.947,robot_0,EV_search_object,EV_path_clear,CLEAR
8.131,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
8.347,robot_0,EV_search_object,EV_path_clear,CLEAR
8.553,robot_0,EV_approach_object,EV_path_clear,CLEAR
8.849,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
9.143,robot_0,EV_search_object,EV_path_clear,CLEAR
9.258,robot_0,EV_search_object,EV_path_clear,CLEAR
9.437,robot_0,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
9.730,robot_0,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
10.034,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.239,robot_0,EV_approach_color,EV_path_clear,CLEAR
10.444,robot_0,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
10.631,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.836,robot_0,EV_move_forward,EV_path_clear,CLEAR
11.137,robot_0,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
11.451,robot_0,EV_approach_object,EV_path_clear,CLEAR
11.738,robot_0,EV_search_object,EV_path_clear,CLEAR
11.946,robot_0,EV_search_color,EV_path_clear|EV_object_reached,CLEAR
12.134,robot_0,EV_move_forward,EV_path_clear,CLEAR
12.346,robot_0,EV_move_forward,EV_object_visible|EV_path_clear,CLEAR
12.634,robot_0,EV_approach_color,EV_path_clear,CLEAR
12.850,robot_0,EV_approach_color,EV_path_clear,CLEAR
13.140,robot_0,EV_approach_color,EV_object_visible|EV_path_clear,CLEAR
13.432,robot_0,EV_search_color,EV_path_clear,CLEAR
13.635,robot_0,EV_move_backward,EV_object_visible|EV_obstacle_front,CORNER
13.953,robot_0,EV_move_backward,EV_obstacle_front,CORNER
14.237,robot_0,EV_rotate_counterclockwise,EV_object_visible|EV_obstacle_front,CORNER
14.431,robot_0,EV_rotate_counterclockwise,EV_obstacle_front,CORNER
14.537,robot_0,EV_rotate_clockwise,EV_obstacle_front,CORNER
14.732,robot_0,EV_u_turn,EV_obstacle_front,CORNER
18.641,robot_0,EV_search_object,EV_object_visible|EV_path_clear,CLEAR
18.833,robot_0,EV_move_forward,EV_object_visible|EV_path_clear,CLEAR
19.037,robot_0,EV_approach_color,EV_path_clear,CLEAR
19.337,robot_0,EV_approach_color,EV_path_clear,CLEAR
19.643,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
19.839,robot_0,EV_move_forward,EV_path_clear,CLEAR
20.145,robot_0,EV_approach_object,EV_path_clear,CLEAR
20.456,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
20.633,robot_0,EV_search_color,EV_path_clear,CLEAR
20.855,robot_0,EV_move_forward,EV_path_clear,CLEAR
21.131,robot_0,EV_move_forward,EV_object_visible|EV_path_clear,CLEAR
21.445,robot_0,EV_approach_color,EV_path_clear,CLEAR
21.737,robot_0,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
21.932,robot_0,EV_search_color,EV_path_clear,CLEAR
22.141,robot_0,EV_approach_object,EV_path_clear,CLEAR
22.445,robot_0,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
22.635,robot_0,EV_move_forward,EV_path_clear,CLEAR
22.848,robot_0,EV_move_forward,EV_path_clear,CLEAR
23.135,robot_0,EV_u_turn,EV_obstacle_left|EV_object_reached,LEFT
26.947,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
27.243,robot_0,EV_approach_color,EV_path_clear,CLEAR
27.541,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
27.832,robot_0,EV_search_object,EV_path_clear,CLEAR
27.942,robot_0,EV_move_forward,EV_path_clear,CLEAR
28.244,robot_0,EV_search_color,EV_path_clear|EV_object_reached,CLEAR
28.433,robot_0,EV_search_color,EV_path_clear,CLEAR
28.632,robot_0,EV_search_object,EV_path_clear,CLEAR
28.736,robot_0,EV_approach_color,EV_path_clear,CLEAR
29.041,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
29.330,robot_0,EV_move_forward,EV_path_clear,CLEAR
29.542,robot_0,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
29.835,robot_0,EV_move_forward,EV_path_clear,CLEAR
30.048,robot_0,EV_approach_object,EV_path_clear,CLEAR
30.337,robot_0,EV_approach_color,EV_object_visible|EV_path_clear,CLEAR
30.644,robot_0,EV_search_color,EV_path_clear,CLEAR
30.748,robot_0,EV_approach_object,EV_path_clear,CLEAR
30.950,robot_0,EV_search_object,EV_object_visible|EV_path_clear,CLEAR
31.149,robot_0,EV_approach_object,EV_path_clear,CLEAR
31.433,robot_0,EV_approach_object,EV_path_clear,CLEAR
31.739,robot_0,EV_search_object,EV_path_clear,CLEAR
31.944,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
32.232,robot_0,EV_search_object,EV_path_clear,CLEAR
32.338,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
32.539,robot_0,EV_search_color,EV_path_clear,CLEAR
32.747,robot_0,EV_approach_object,EV_path_clear,CLEAR
33.039,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
33.237,robot_0,EV_search_object,EV_path_clear,CLEAR
33.343,robot_0,EV_search_object,EV_path_clear,CLEAR
33.541,robot_0,EV_move_forward,EV_object_visible|EV_path_clear,CLEAR
33.834,robot_0,EV_approach_object,EV_path_clear,CLEAR
34.133,robot_0,EV_move_forward,EV_path_clear,CLEAR
34.338,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
34.550,robot_0,EV_approach_object,EV_path_clear,CLEAR
34.836,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
35.047,robot_0,EV_search_object,EV_path_clear,CLEAR
35.243,robot_0,EV_approach_color,EV_path_clear,CLEAR
35.547,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
35.748,robot_0,EV_search_color,EV_path_clear,CLEAR
35.936,robot_0,EV_approach_object,EV_path_clear,CLEAR
36.245,robot_0,EV_move_forward,EV_object_visible|EV_path_clear,CLEAR
36.540,robot_0,EV_search_object,EV_path_clear,CLEAR
36.732,robot_0,EV_search_color,EV_path_clear|EV_object_reached,CLEAR
36.847,robot_0,EV_search_object,EV_path_clear,CLEAR
37.044,robot_0,EV_approach_object,EV_path_clear,CLEAR
37.339,robot_0,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
