elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.104,robot_1,EV_approach_object,EV_path_clear,CLEAR
0.404,robot_1,EV_approach_object,EV_path_clear,CLEAR
0.704,robot_1,EV_search_object,EV_path_clear,CLEAR
0.904,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.204,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.506,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.804,robot_1,EV_search_object,EV_path_clear,CLEAR
2.004,robot_1,EV_search_object,EV_path_clear,CLEAR
2.204,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.504,robot_1,EV_approach_object,EV_path_clear,CLEAR
2.804,robot_1,EV_approach_object,EV_path_clear,CLEAR
3.104,robot_1,EV_approach_object,EV_path_clear,CLEAR
3.404,robot_1,EV_move_forward,EV_path_clear|EV_object_not_visible,CLEAR
3.704,robot_1,EV_approach_object,EV_path_clear|EV_object_not_visible,CLEAR
4.004,robot_1,EV_rotate_counterclockwise,EV_obstacle_front|EV_object_not_visible,CORNER
4.204,robot_1,EV_u_turn,EV_obstacle_right|EV_object_not_visible,RIGHT
6.204,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
6.504,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
6.804,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
7.104,robot_1,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
7.304,robot_1,EV_move_forward,EV_path_clear,CLEAR
7.604,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
7.904,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
8.204,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
8.504,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
8.804,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
9.104,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
9.404,robot_1,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
9.604,robot_1,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
9.804,robot_1,EV_approach_object,EV_path_clear,CLEAR
10.104,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
10.404,robot_1,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
10.604,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
10.904,robot_1,EV_u_turn,EV_object_reached|EV_obstacle_left,LEFT
12.904,robot_1,EV_approach_object,EV_object_reached|EV_path_clear,CLEAR
13.204,robot_1,EV_search_object,EV_object_reached|EV_path_clear,CLEAR
13.404,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
13.704,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
14.004,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
14.304,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
14.604,robot_1,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
14.904,robot_1,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
15.204,robot_1,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
15.404,robot_1,EV_pick_up_object,EV_path_clear|EV_object_visible,CLEAR
15.704,robot_1,EV_drop_zone_red,EV_blue_not_visible|EV_obstacle_left|EV_red_reached,LEFT
15.804,robot_1,EV_rotate_clockwise,EV_obstacle_left,LEFT
16.004,robot_1,EV_u_turn,EV_blue_not_visible|EV_obstacle_left|EV_red_reached,LEFT
18.005,robot_1,EV_move_forward,EV_blue_visible|EV_red_reached|EV_path_clear,CLEAR
18.306,robot_1,EV_search_color,EV_blue_visible|EV_red_reached|EV_path_clear,CLEAR
18.505,robot_1,EV_search_color,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
18.706,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
19.006,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
19.305,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
19.606,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
19.905,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
20.205,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
20.505,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
20.804,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
21.106,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
21.406,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
21.705,robot_1,EV_move_forward,EV_blue_reached|EV_path_clear|EV_red_not_visible,CLEAR
22.006,robot_1,EV_rotate_clockwise,EV_blue_reached|EV_obstacle_front|EV_red_not_visible,CORNER
22.204,robot_1,EV_move_backward,EV_blue_reached|EV_obstacle_front|EV_red_not_visible,CORNER
22.504,robot_1,EV_rotate_clockwise,EV_obstacle_left|EV_blue_reached|EV_red_not_visible,LEFT
22.705,robot_1,EV_rotate_clockwise,EV_obstacle_left|EV_blue_reached|EV_red_not_visible,LEFT
22.905,robot_1,EV_rotate_clockwise,EV_obstacle_left|EV_blue_reached|EV_red_not_visible,LEFT
23.105,robot_1,EV_rotate_clockwise,EV_obstacle_left|EV_blue_reached|EV_red_not_visible,CLEAR
23.305,robot_1,EV_move_forward,EV_path_clear,CLEAR
23.605,robot_1,EV_move_forward,EV_blue_reached|EV_path_clear|EV_red_not_visible,CLEAR
23.905,robot_1,EV_move_forward,EV_blue_reached|EV_path_clear|EV_red_not_visible,CLEAR
24.204,robot_1,EV_move_forward,EV_blue_reached|EV_path_clear|EV_red_not_visible,CLEAR
24.505,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
24.804,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
25.105,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
25.404,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
25.604,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
25.906,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
26.204,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
26.505,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
26.805,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
27.104,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
27.404,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
27.605,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
27.904,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
28.106,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
28.404,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
28.704,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
29.004,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
29.305,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
29.607,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
29.805,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
30.008,robot_1,EV_u_turn,EV_blue_not_visible|EV_obstacle_left|EV_red_not_visible,LEFT
32.006,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
32.305,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
32.605,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
32.805,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
33.105,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
33.405,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
33.606,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
33.805,robot_1,EV_move_forward,EV_path_clear,CLEAR
34.107,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
34.405,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
34.704,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
34.905,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
35.205,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
35.505,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
35.804,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
36.104,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
36.305,robot_1,EV_search_color,EV_path_clear,CLEAR
36.506,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
36.805,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
37.006,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
37.205,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
37.405,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
37.704,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
37.906,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_visible,CLEAR
38.205,robot_1,EV_move_backward,EV_blue_not_visible|EV_obstacle_front|EV_red_visible,CORNER
38.506,robot_1,EV_rotate_counterclockwise,EV_blue_not_visible|EV_obstacle_front|EV_red_visible,CORNER
38.705,robot_1,EV_rotate_counterclockwise,EV_blue_not_visible|EV_obstacle_front|EV_red_visible,CORNER
38.905,robot_1,EV_rotate_counterclockwise,EV_obstacle_right|EV_blue_not_visible|EV_red_visible,RIGHT
39.106,robot_1,EV_rotate_counterclockwise,EV_obstacle_right|EV_blue_not_visible|EV_red_not_visible,CLEAR
39.304,robot_1,EV_search_color,EV_path_clear,CLEAR
39.407,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
39.605,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
39.905,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
40.105,robot_1,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
40.406,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
40.604,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
40.905,robot_1,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
41.105,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
41.405,robot_1,EV_rotate_counterclockwise,EV_obstacle_right|EV_blue_not_visible|EV_red_not_visible,RIGHT
