stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789495253,150579503,2.990,robot_0,-0.867,2.851
1789495253,150686469,2.990,robot_1,1.494,0.495
1789495253,150718187,2.990,robot_2,-0.405,1.735
1789495256,535726596,6.375,robot_0,-0.867,2.851
1789495256,535775736,6.375,robot_1,1.494,0.495
1789495256,535794764,6.375,robot_2,-0.405,1.735
1789495258,465065308,8.304,robot_0,-0.867,2.851
1789495258,465154127,8.304,robot_1,1.494,0.495
1789495258,465187085,8.304,robot_2,-0.405,1.735
1789495258,680629989,8.520,robot_0,-0.879,2.849
1789495258,680724431,8.520,robot_1,1.504,0.496
1789495258,680768464,8.520,robot_2,-0.393,1.731
1789495258,891206264,8.730,robot_0,-0.920,2.843
1789495258,891296833,8.730,robot_1,1.531,0.497
1789495258,891495836,8.731,robot_2,-0.372,1.723
1789495259,92430245,8.931,robot_0,-0.953,2.838
1789495259,92514095,8.932,robot_1,1.562,0.499
1789495259,92549128,8.932,robot_2,-0.372,1.723
1789495259,294301102,9.133,robot_0,-0.967,2.836
1789495259,294402279,9.133,robot_1,1.583,0.499
1789495259,294451026,9.133,robot_2,-0.372,1.723
1789495259,513050352,9.352,robot_0,-0.973,2.835
1789495259,513157734,9.352,robot_1,1.593,0.500
1789495259,513203930,9.352,robot_2,-0.372,1.723
1789495259,714223693,9.553,robot_0,-1.007,2.828
1789495259,714318353,9.553,robot_1,1.615,0.500
1789495259,714360955,9.553,robot_2,-0.372,1.723
1789495259,929438961,9.768,robot_0,-1.011,2.827
1789495259,929547639,9.769,robot_1,1.630,0.500
1789495259,929594491,9.769,robot_2,-0.372,1.723
1789495260,148073087,9.987,robot_0,-1.011,2.827
1789495260,148234900,9.987,robot_1,1.640,0.499
1789495260,148290574,9.987,robot_2,-0.372,1.723
1789495260,340411216,10.179,robot_0,-1.011,2.827
1789495260,342953289,10.182,robot_1,1.648,0.499
1789495260,343108232,10.182,robot_2,-0.371,1.723
1789495260,546748194,10.386,robot_0,-1.011,2.826
1789495260,546844769,10.403,robot_1,1.656,0.498
1789495260,564486271,10.404,robot_2,-0.372,1.724
1789495260,758738743,10.598,robot_0,-1.010,2.825
1789495260,758836788,10.598,robot_1,1.672,0.496
1789495260,758907580,10.598,robot_2,-0.372,1.725
1789495260,976434825,10.815,robot_0,-1.009,2.824
1789495260,976535248,10.816,robot_1,1.696,0.492
1789495260,976584912,10.816,robot_2,-0.373,1.726
1789495261,195959429,11.035,robot_0,-1.008,2.823
1789495261,196054406,11.035,robot_1,1.721,0.488
1789495261,196098560,11.035,robot_2,-0.374,1.727
1789495261,429103121,11.268,robot_0,-1.007,2.822
1789495261,429203730,11.268,robot_1,1.753,0.482
1789495261,429253483,11.268,robot_2,-0.375,1.729
1789495261,648391182,11.487,robot_0,-1.005,2.821
1789495261,648495261,11.488,robot_1,1.792,0.475
1789495261,648543653,11.488,robot_2,-0.377,1.730
1789495261,854261186,11.693,robot_0,-1.003,2.819
1789495261,854360818,11.693,robot_1,1.818,0.470
1789495261,854412517,11.693,robot_2,-0.379,1.732
1789495262,58128780,11.897,robot_0,-1.001,2.819
1789495262,58243444,11.897,robot_1,1.820,0.470
1789495262,58300982,11.897,robot_2,-0.381,1.732
1789495262,260429348,12.099,robot_0,-0.998,2.819
1789495262,260529944,12.100,robot_1,1.833,0.467
1789495262,260581864,12.100,robot_2,-0.385,1.732
1789495262,487514419,12.327,robot_0,-0.994,2.821
1789495262,487654875,12.327,robot_1,1.865,0.459
1789495262,487710428,12.327,robot_2,-0.389,1.731
1789495262,705620187,12.545,robot_0,-0.989,2.823
1789495262,705729242,12.545,robot_1,1.897,0.450
1789495262,705789025,12.545,robot_2,-0.393,1.729
1789495262,919417490,12.758,robot_0,-0.985,2.825
1789495262,923821115,12.763,robot_1,1.917,0.444
1789495262,923977057,12.763,robot_2,-0.395,1.731
1789495263,142377869,12.981,robot_0,-0.982,2.828
1789495263,142476970,12.982,robot_1,1.920,0.444
1789495263,142527252,12.982,robot_2,-0.395,1.749
1789495263,364400025,13.203,robot_0,-0.979,2.831
1789495263,364510222,13.204,robot_1,1.934,0.439
1789495263,364566561,13.204,robot_2,-0.394,1.769
1789495263,574204130,13.413,robot_0,-0.974,2.826
1789495263,574297860,13.413,robot_1,1.944,0.436
1789495263,574346608,13.413,robot_2,-0.392,1.802
1789495263,780413175,13.619,robot_0,-0.964,2.805
1789495263,780516162,13.620,robot_1,1.944,0.436
1789495263,780572399,13.620,robot_2,-0.391,1.832
1789495263,989636334,13.829,robot_0,-0.952,2.774
1789495263,989719680,13.829,robot_1,1.944,0.436
1789495263,989762405,13.829,robot_2,-0.389,1.865
1789495264,277667476,14.117,robot_0,-0.949,2.768
1789495264,277760280,14.117,robot_1,1.944,0.436
1789495264,277814159,14.117,robot_2,-0.388,1.876
1789495264,299896963,14.139,robot_0_carried_generic_box,-0.950,2.769
1789495264,492298558,14.331,robot_0,-0.949,2.768
1789495264,492405854,14.331,robot_1,1.944,0.437
1789495264,492462860,14.331,robot_2,-0.387,1.906
1789495264,492518509,14.332,robot_0_carried_generic_box,-0.949,2.768
1789495264,739797604,14.579,robot_0,-0.949,2.768
1789495264,753001139,14.592,robot_1,1.944,0.437
1789495264,753096981,14.592,robot_2,-0.386,1.929
1789495264,753151538,14.592,robot_0_carried_generic_box,-0.949,2.768
1789495264,949332595,14.788,robot_0,-0.949,2.768
1789495264,949430129,14.788,robot_1,1.944,0.437
1789495264,949473359,14.788,robot_2,-0.386,1.929
1789495264,949518877,14.789,robot_0_carried_generic_box,-0.949,2.768
1789495265,149887987,14.989,robot_0,-0.949,2.768
1789495265,149996359,14.989,robot_1,1.944,0.437
1789495265,150049439,14.989,robot_2,-0.386,1.929
1789495265,150098639,14.989,robot_0_carried_generic_box,-0.949,2.768
1789495265,375867544,15.215,robot_0,-0.954,2.782
1789495265,375973095,15.215,robot_1,1.944,0.437
1789495265,376031671,15.215,robot_2,-0.386,1.929
1789495265,376088725,15.215,robot_0_carried_generic_box,-0.949,2.768
1789495265,587266692,15.426,robot_0,-0.960,2.795
1789495265,587360726,15.426,robot_1,1.944,0.437
1789495265,587409922,15.426,robot_2,-0.386,1.929
1789495265,587466683,15.426,robot_0_carried_generic_box,-0.951,2.774
1789495265,794799973,15.634,robot_0,-0.960,2.796
1789495265,809877104,15.649,robot_1,1.944,0.437
1789495265,809975873,15.649,robot_2,-0.386,1.929
1789495265,810024235,15.649,robot_0_carried_generic_box,-0.958,2.792
1789495266,24594106,15.864,robot_0,-0.960,2.796
1789495266,24697009,15.864,robot_1,1.944,0.437
1789495266,24751254,15.864,robot_2,-0.386,1.929
1789495266,24806536,15.864,robot_0_carried_generic_box,-0.960,2.796
1789495266,233578310,16.073,robot_0,-0.960,2.796
1789495266,233687799,16.073,robot_1,1.944,0.437
1789495266,233733210,16.073,robot_2,-0.386,1.929
1789495266,233789633,16.073,robot_0_carried_generic_box,-0.960,2.796
1789495266,443598501,16.283,robot_0,-0.960,2.796
1789495266,443699853,16.283,robot_1,1.944,0.437
1789495266,443751495,16.283,robot_2,-0.386,1.929
1789495266,443794051,16.283,robot_0_carried_generic_box,-0.960,2.796
1789495266,654346261,16.493,robot_0,-0.960,2.795
1789495266,654441486,16.493,robot_1,1.944,0.436
1789495266,654493831,16.494,robot_2,-0.386,1.929
1789495266,654547293,16.494,robot_0_carried_generic_box,-0.960,2.796
1789495266,874839483,16.714,robot_0,-0.960,2.795
1789495266,874940358,16.714,robot_1,1.944,0.436
1789495266,874989114,16.714,robot_2,-0.386,1.929
1789495266,875038304,16.714,robot_0_carried_generic_box,-0.960,2.795
1789495267,77601392,16.917,robot_0,-0.960,2.795
1789495267,77711263,16.917,robot_1,1.944,0.436
1789495267,77760885,16.917,robot_2,-0.386,1.929
1789495267,77819806,16.917,robot_0_carried_generic_box,-0.960,2.795
1789495267,284435227,17.123,robot_0,-0.961,2.795
1789495267,284540052,17.124,robot_1,1.944,0.436
1789495267,284584662,17.124,robot_2,-0.385,1.929
1789495267,284632796,17.124,robot_0_carried_generic_box,-0.960,2.795
1789495267,513601937,17.353,robot_0,-0.961,2.795
1789495267,513705007,17.353,robot_1,1.944,0.436
1789495267,513756516,17.353,robot_2,-0.385,1.929
1789495267,513801133,17.353,robot_0_carried_generic_box,-0.961,2.795
1789495267,727824093,17.589,robot_0,-0.961,2.795
1789495267,749988942,17.589,robot_1,1.944,0.436
1789495267,750064085,17.589,robot_2,-0.385,1.929
1789495267,750111664,17.589,robot_0_carried_generic_box,-0.961,2.795
1789495267,929408555,17.768,robot_0,-0.961,2.794
1789495267,929504659,17.769,robot_1,1.944,0.435
1789495267,929549945,17.769,robot_2,-0.385,1.930
1789495267,929589849,17.769,robot_0_carried_generic_box,-0.961,2.795
1789495268,158176159,17.997,robot_0,-0.961,2.794
1789495268,158308345,17.997,robot_1,1.944,0.435
1789495268,158363219,17.997,robot_2,-0.385,1.930
1789495268,158421385,17.997,robot_0_carried_generic_box,-0.961,2.795
1789495268,367791726,18.207,robot_0,-0.961,2.794
1789495268,367899912,18.207,robot_1,1.944,0.435
1789495268,367947729,18.207,robot_2,-0.385,1.930
1789495268,368004858,18.210,robot_0_carried_generic_box,-0.961,2.794
1789495268,592954561,18.432,robot_0,-0.961,2.794
1789495268,593078261,18.432,robot_1,1.956,0.443
1789495268,593129749,18.432,robot_2,-0.384,1.930
1789495268,593186407,18.432,robot_0_carried_generic_box,-0.961,2.794
1789495268,817078746,18.656,robot_0,-0.961,2.794
1789495268,817174860,18.656,robot_1,1.977,0.458
1789495268,817219105,18.656,robot_2,-0.384,1.930
1789495268,817262942,18.656,robot_0_carried_generic_box,-0.961,2.794
1789495269,44479241,18.884,robot_0,-0.961,2.793
1789495269,44569886,18.884,robot_1,1.994,0.470
1789495269,44612683,18.884,robot_2,-0.377,1.927
1789495269,44664519,18.884,robot_0_carried_generic_box,-0.961,2.794
1789495269,255623494,19.095,robot_0,-0.960,2.793
1789495269,255719166,19.095,robot_1,2.017,0.486
1789495269,255772539,19.095,robot_2,-0.350,1.914
1789495269,274909791,19.114,robot_0_carried_generic_box,-0.961,2.794
1789495269,461990049,19.301,robot_0,-0.960,2.793
1789495269,462077784,19.301,robot_1,2.012,0.482
1789495269,462117451,19.301,robot_2,-0.326,1.903
1789495269,462189960,19.301,robot_0_carried_generic_box,-0.960,2.793
1789495269,687384661,19.526,robot_0,-0.960,2.793
1789495269,687480893,19.527,robot_1,1.994,0.470
1789495269,687528490,19.527,robot_2,-0.316,1.898
1789495269,687584501,19.527,robot_0_carried_generic_box,-0.960,2.793
1789495269,898021681,19.737,robot_0,-0.959,2.795
1789495269,898119164,19.737,robot_1,1.973,0.454
1789495269,898166871,19.737,robot_2,-0.316,1.898
1789495269,898218690,19.737,robot_0_carried_generic_box,-0.960,2.793
1789495270,105426080,19.944,robot_0,-0.938,2.819
