elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.144,robot_2,EV_move_forward,EV_path_clear,CLEAR
0.444,robot_2,EV_move_forward,EV_path_clear,CLEAR
0.744,robot_2,EV_search_object,EV_path_clear,CLEAR
0.944,robot_2,EV_move_forward,EV_path_clear,CLEAR
1.244,robot_2,EV_approach_object,EV_path_clear,CLEAR
1.544,robot_2,EV_approach_object,EV_path_clear,CLEAR
1.844,robot_2,EV_search_object,EV_path_clear,CLEAR
2.044,robot_2,EV_move_forward,EV_path_clear,CLEAR
2.344,robot_2,EV_approach_object,EV_path_clear,CLEAR
2.644,robot_2,EV_move_forward,EV_path_clear,CLEAR
2.846,robot_2,EV_move_forward,EV_path_clear,CLEAR
3.053,robot_2,EV_search_object,EV_path_clear|EV_object_not_visible,CLEAR
3.164,robot_2,EV_move_forward,EV_path_clear,CLEAR
3.450,robot_2,EV_move_forward,EV_path_clear,CLEAR
3.667,robot_2,EV_move_forward,EV_path_clear,CLEAR
3.949,robot_2,EV_move_forward,EV_path_clear,CLEAR
4.157,robot_2,EV_move_forward,EV_object_reached|EV_path_clear,CLEAR
4.463,robot_2,EV_approach_object,EV_path_clear,CLEAR
4.668,robot_2,EV_pick_up_object,EV_path_clear,CLEAR
4.962,robot_2,EV_drop_zone_red,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
5.058,robot_2,EV_search_color,EV_path_clear,CLEAR
5.168,robot_2,EV_move_forward,EV_path_clear,CLEAR
5.465,robot_2,EV_search_color,EV_path_clear,CLEAR
5.567,robot_2,EV_approach_color,EV_path_clear,CLEAR
5.865,robot_2,EV_approach_color,EV_path_clear,CLEAR
6.090,robot_2,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
6.366,robot_2,EV_search_color,EV_path_clear,CLEAR
6.551,robot_2,EV_move_forward,EV_path_clear,CLEAR
6.782,robot_2,EV_search_color,EV_path_clear|EV_red_not_visible,CLEAR
6.957,robot_2,EV_approach_color,EV_blue_visible|EV_path_clear,CLEAR
7.160,robot_2,EV_search_color,EV_path_clear,CLEAR
7.357,robot_2,EV_move_forward,EV_path_clear,CLEAR
7.653,robot_2,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
7.884,robot_2,EV_search_color,EV_path_clear,CLEAR
8.068,robot_2,EV_search_color,EV_path_clear,CLEAR
8.260,robot_2,EV_approach_color,EV_path_clear,CLEAR
8.477,robot_2,EV_move_forward,EV_path_clear,CLEAR
8.766,robot_2,EV_rotate_counterclockwise,EV_obstacle_right|EV_blue_visible|EV_red_not_visible,RIGHT
8.971,robot_2,EV_u_turn,EV_obstacle_right,RIGHT
12.774,robot_2,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible,CLEAR
13.065,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
13.354,robot_2,EV_approach_color,EV_path_clear,CLEAR
13.661,robot_2,EV_approach_color,EV_path_clear,CLEAR
13.876,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
14.165,robot_2,EV_approach_color,EV_path_clear,CLEAR
14.486,robot_2,EV_move_forward,EV_path_clear,CLEAR
14.757,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
15.058,robot_2,EV_approach_color,EV_path_clear,CLEAR
15.353,robot_2,EV_approach_color,EV_path_clear,CLEAR
15.556,robot_2,EV_approach_color,EV_path_clear,CLEAR
15.861,robot_2,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
16.155,robot_2,EV_approach_color,EV_path_clear,CLEAR
16.365,robot_2,EV_search_color,EV_path_clear,CLEAR
16.559,robot_2,EV_approach_color,EV_path_clear|EV_red_not_visible,CLEAR
16.863,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear,CLEAR
17.166,robot_2,EV_move_forward,EV_path_clear,CLEAR
17.488,robot_2,EV_search_color,EV_path_clear|EV_red_not_visible,CLEAR
17.645,robot_2,EV_move_forward,EV_blue_not_visible|EV_path_clear,CLEAR
17.953,robot_2,EV_move_forward,EV_path_clear,CLEAR
18.164,robot_2,EV_search_color,EV_path_clear,CLEAR
18.350,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
18.584,robot_2,EV_search_color,EV_path_clear,CLEAR
18.773,robot_2,EV_approach_color,EV_path_clear,CLEAR
19.055,robot_2,EV_search_color,EV_path_clear,CLEAR
19.171,robot_2,EV_search_color,EV_path_clear|EV_red_not_visible,CLEAR
19.348,robot_2,EV_move_forward,EV_blue_not_visible|EV_path_clear,CLEAR
19.674,robot_2,EV_move_forward,EV_path_clear,CLEAR
19.986,robot_2,EV_move_forward,EV_path_clear,CLEAR
20.274,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
20.569,robot_2,EV_approach_color,EV_path_clear,CLEAR
20.853,robot_2,EV_approach_color,EV_path_clear,CLEAR
21.177,robot_2,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
21.454,robot_2,EV_move_forward,EV_path_clear,CLEAR
21.787,robot_2,EV_search_color,EV_path_clear,CLEAR
21.979,robot_2,EV_search_color,EV_path_clear,CLEAR
22.174,robot_2,EV_approach_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
22.447,robot_2,EV_move_forward,EV_path_clear,CLEAR
22.777,robot_2,EV_search_color,EV_path_clear,CLEAR
22.955,robot_2,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_red_not_visible,CLEAR
