robot,selected_event,count,percentage
robot_1,EV_approach_color,65,4.325
robot_1,EV_approach_object,427,28.410
robot_1,EV_drop_object,2,0.133
robot_1,EV_drop_zone_blue,1,0.067
robot_1,EV_drop_zone_red,1,0.067
robot_1,EV_move_backward,5,0.333
robot_1,EV_move_forward,477,31.737
robot_1,EV_pick_up_object,2,0.133
robot_1,EV_rotate_clockwise,10,0.665
robot_1,EV_rotate_counterclockwise,40,2.661
robot_1,EV_search_color,46,3.061
robot_1,EV_search_object,384,25.549
robot_1,EV_u_turn,43,2.861
robot_1,TOTAL,1503,100.000
