robot,selected_event,count,percentage
robot_2,EV_approach_color,37,13.962
robot_2,EV_approach_object,39,14.717
robot_2,EV_drop_object,1,0.377
robot_2,EV_drop_zone_blue,1,0.377
robot_2,EV_drop_zone_red,1,0.377
robot_2,EV_move_backward,1,0.377
robot_2,EV_move_forward,39,14.717
robot_2,EV_pick_up_object,2,0.755
robot_2,EV_rotate_clockwise,15,5.660
robot_2,EV_rotate_counterclockwise,14,5.283
robot_2,EV_search_color,37,13.962
robot_2,EV_search_object,48,18.113
robot_2,EV_u_turn,30,11.321
robot_2,TOTAL,265,100.000
