elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.103,robot_0,EV_search_color,EV_path_clear,CLEAR
0.303,robot_0,EV_move_forward,EV_path_clear,CLEAR
0.603,robot_0,EV_search_color,EV_path_clear,CLEAR
0.803,robot_0,EV_approach_object,EV_path_clear,CLEAR
1.110,robot_0,EV_search_object,EV_path_clear,CLEAR
1.303,robot_0,EV_move_forward,EV_path_clear,CLEAR
1.603,robot_0,EV_search_object,EV_path_clear,CLEAR
1.803,robot_0,EV_approach_color,EV_path_clear,CLEAR
2.103,robot_0,EV_u_turn,EV_object_not_visible|EV_obstacle_left,LEFT
5.603,robot_0,EV_search_object,EV_object_visible|EV_path_clear,CLEAR
5.803,robot_0,EV_move_forward,EV_path_clear,CLEAR
6.103,robot_0,EV_search_object,EV_object_visible|EV_path_clear,CLEAR
6.303,robot_0,EV_search_color,EV_path_clear,CLEAR
6.503,robot_0,EV_pick_up_object,EV_object_visible|EV_obstacle_right,RIGHT
6.803,robot_0,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT
9.603,robot_0,EV_drop_zone_red,EV_blue_not_visible|EV_blue_visible|EV_path_clear|EV_red_visible,CLEAR
9.703,robot_0,EV_approach_object,EV_path_clear,CLEAR
10.003,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
10.303,robot_0,EV_search_object,EV_path_clear,CLEAR
10.503,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
10.803,robot_0,EV_move_forward,EV_path_clear,CLEAR
11.103,robot_0,EV_search_object,EV_object_visible|EV_path_clear,CLEAR
11.303,robot_0,EV_approach_object,EV_path_clear,CLEAR
11.603,robot_0,EV_search_object,EV_object_visible|EV_path_clear,CLEAR
11.803,robot_0,EV_move_forward,EV_path_clear,CLEAR
12.103,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
12.303,robot_0,EV_search_object,EV_path_clear,CLEAR
12.503,robot_0,EV_search_color,EV_path_clear,CLEAR
12.703,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
13.003,robot_0,EV_approach_color,EV_path_clear,CLEAR
13.303,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
13.603,robot_0,EV_move_forward,EV_path_clear,CLEAR
13.903,robot_0,EV_search_color,EV_object_visible|EV_path_clear,CLEAR
14.103,robot_0,EV_drop_object,EV_object_not_visible|EV_path_clear,CLEAR
14.403,robot_0,EV_search_object,EV_path_clear,CLEAR
14.603,robot_0,EV_approach_object,EV_path_clear,CLEAR
14.903,robot_0,EV_search_color,EV_object_not_visible|EV_path_clear,CLEAR
15.103,robot_0,EV_approach_object,EV_path_clear,CLEAR
15.403,robot_0,EV_approach_object,EV_object_not_visible|EV_path_clear,CLEAR
15.703,robot_0,EV_search_object,EV_path_clear,CLEAR
15.903,robot_0,EV_search_color,EV_object_not_visible|EV_path_clear,CLEAR
16.103,robot_0,EV_approach_color,EV_path_clear,CLEAR
16.403,robot_0,EV_approach_color,EV_object_not_visible|EV_path_clear,CLEAR
16.703,robot_0,EV_move_forward,EV_path_clear,CLEAR
17.003,robot_0,EV_search_object,EV_object_not_visible|EV_path_clear,CLEAR
17.203,robot_0,EV_search_color,EV_path_clear,CLEAR
17.404,robot_0,EV_move_forward,EV_object_not_visible|EV_path_clear,CLEAR
17.703,robot_0,EV_search_color,EV_path_clear,CLEAR
17.903,robot_0,EV_approach_object,EV_path_clear,CLEAR
18.203,robot_0,EV_rotate_clockwise,EV_object_not_visible|EV_obstacle_left,LEFT
18.403,robot_0,EV_rotate_clockwise,EV_obstacle_left,LEFT
18.603,robot_0,EV_u_turn,EV_object_not_visible|EV_obstacle_left|EV_recieve_drop_zone_blue,LEFT
