stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789489920,520833119,robot_2,21,-1.000,1.000,-0.500,1.500
1789489920,520860999,robot_2,28,0.000,0.000,0.500,0.500
1789489920,520877473,robot_2,29,0.000,1.000,0.500,1.500
1789489920,520915900,robot_0,36,1.000,0.000,1.500,0.500
1789489920,520932454,robot_0,37,1.000,1.000,1.500,1.500
1789489920,520948708,robot_0,44,2.000,0.000,2.500,0.500
1789489920,520962081,robot_0,45,2.000,1.000,2.500,1.500
1789489920,520997014,robot_1,25,0.000,-3.000,0.500,-2.500
1789489920,521010632,robot_1,26,0.000,-2.000,0.500,-1.500
1789489920,521026094,robot_1,33,1.000,-3.000,1.500,-2.500
1789489920,521039653,robot_1,34,1.000,-2.000,1.500,-1.500
1789489930,988629276,robot_0,35,1.000,-1.000,1.500,-0.500
1789489935,682884987,robot_2,22,-1.000,2.000,-0.500,2.500
1789489935,682947764,robot_0,27,0.000,-1.000,0.500,-0.500
1789489938,619589814,robot_2,13,-2.000,1.000,-1.500,1.500
1789489940,902447992,robot_2,12,-2.000,0.000,-1.500,0.500
1789489940,906169609,robot_2,20,-1.000,0.000,-0.500,0.500
1789489962,29723559,robot_2,14,-2.000,2.000,-1.500,2.500
1789489965,188802365,robot_2,5,-3.000,1.000,-2.500,1.500
1789489966,69741069,robot_0,43,2.000,-1.000,2.500,-0.500
1789489966,292677756,robot_2,6,-3.000,2.000,-2.500,2.500
1789489977,112495288,robot_1,17,-1.000,-3.000,-0.500,-2.500
1789489977,112516024,robot_1,18,-1.000,-2.000,-0.500,-1.500
1789489978,610754226,robot_0,42,2.000,-2.000,2.500,-1.500
1789489989,91118395,robot_1,19,-1.000,-1.000,-0.500,-0.500
1789489994,921416605,robot_1,10,-2.000,-2.000,-1.500,-1.500
1789489996,641184990,robot_1,9,-2.000,-3.000,-1.500,-2.500
1789490004,75353136,robot_1,1,-3.000,-3.000,-2.500,-2.500
1789490012,864202076,robot_1,8,-2.000,-4.000,-1.500,-3.500
1789490014,786564772,robot_2,30,0.000,2.000,0.500,2.500
1789490025,197041498,robot_0,24,0.000,-4.000,0.500,-3.500
1789490033,713760002,robot_1,11,-2.000,-1.000,-1.500,-0.500
1789490050,309410138,robot_0,32,1.000,-4.000,1.500,-3.500
1789490061,384785454,robot_0,16,-1.000,-4.000,-0.500,-3.500
1789490077,345815850,robot_2,38,1.000,2.000,1.500,2.500
1789490082,271420536,robot_2,31,0.000,3.000,0.500,3.500
1789490082,271464261,robot_2,39,1.000,3.000,1.500,3.500
1789490085,705529132,robot_1,2,-3.000,-2.000,-2.500,-1.500
1789490085,916251017,robot_1,3,-3.000,-1.000,-2.500,-0.500
