elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.169,robot_2,EV_approach_color,EV_path_clear,CLEAR
0.469,robot_2,EV_approach_object,EV_path_clear,CLEAR
0.671,robot_2,EV_approach_object,EV_path_clear,CLEAR
0.968,robot_2,EV_search_color,EV_path_clear,CLEAR
1.172,robot_2,EV_approach_object,EV_path_clear,CLEAR
1.472,robot_2,EV_move_forward,EV_path_clear,CLEAR
1.681,robot_2,EV_search_object,EV_path_clear,CLEAR
1.876,robot_2,EV_approach_color,EV_path_clear,CLEAR
2.164,robot_2,EV_approach_color,EV_path_clear,CLEAR
2.374,robot_2,EV_search_color,EV_path_clear,CLEAR
2.569,robot_2,EV_move_forward,EV_path_clear,CLEAR
2.862,robot_2,EV_move_forward,EV_path_clear,CLEAR
3.161,robot_2,EV_approach_object,EV_path_clear,CLEAR
3.461,robot_2,EV_approach_object,EV_path_clear,CLEAR
3.761,robot_2,EV_search_color,EV_path_clear,CLEAR
3.961,robot_2,EV_search_color,EV_path_clear,CLEAR
4.161,robot_2,EV_search_object,EV_path_clear,CLEAR
4.361,robot_2,EV_search_color,EV_path_clear,CLEAR
4.561,robot_2,EV_search_color,EV_path_clear,CLEAR
4.761,robot_2,EV_search_object,EV_path_clear,CLEAR
4.961,robot_2,EV_search_color,EV_path_clear,CLEAR
5.161,robot_2,EV_move_forward,EV_path_clear,CLEAR
5.462,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
5.764,robot_2,EV_search_color,EV_path_clear,CLEAR
5.973,robot_2,EV_search_color,EV_path_clear,CLEAR
6.080,robot_2,EV_approach_color,EV_path_clear,CLEAR
6.366,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
6.674,robot_2,EV_approach_object,EV_path_clear,CLEAR
6.975,robot_2,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
7.267,robot_2,EV_search_color,EV_path_clear,CLEAR
7.390,robot_2,EV_move_forward,EV_path_clear,CLEAR
7.674,robot_2,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
7.963,robot_2,EV_search_color,EV_path_clear,CLEAR
8.078,robot_2,EV_move_forward,EV_path_clear,CLEAR
8.366,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
8.675,robot_2,EV_approach_object,EV_path_clear,CLEAR
8.965,robot_2,EV_search_object,EV_path_clear,CLEAR
9.168,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
9.470,robot_2,EV_search_object,EV_path_clear,CLEAR
9.678,robot_2,EV_approach_color,EV_path_clear,CLEAR
9.965,robot_2,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
10.075,robot_2,EV_move_forward,EV_path_clear,CLEAR
10.374,robot_2,EV_search_object,EV_path_clear,CLEAR
10.575,robot_2,EV_rotate_clockwise,EV_obstacle_front|EV_object_reached,CORNER
10.778,robot_2,EV_rotate_clockwise,EV_obstacle_front,CORNER
10.979,robot_2,EV_u_turn,EV_obstacle_front,CORNER
14.774,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
15.067,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
15.375,robot_2,EV_search_object,EV_path_clear,CLEAR
15.577,robot_2,EV_approach_object,EV_path_clear,CLEAR
15.862,robot_2,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
16.173,robot_2,EV_move_forward,EV_path_clear,CLEAR
16.468,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
16.762,robot_2,EV_move_forward,EV_path_clear,CLEAR
16.978,robot_2,EV_move_forward,EV_path_clear,CLEAR
17.262,robot_2,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
17.467,robot_2,EV_approach_color,EV_path_clear,CLEAR
17.789,robot_2,EV_move_forward,EV_path_clear,CLEAR
18.077,robot_2,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
18.366,robot_2,EV_move_forward,EV_path_clear,CLEAR
18.571,robot_2,EV_search_color,EV_path_clear|EV_object_visible,CLEAR
18.770,robot_2,EV_search_object,EV_path_clear,CLEAR
18.966,robot_2,EV_approach_color,EV_path_clear,CLEAR
19.169,robot_2,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
19.473,robot_2,EV_move_forward,EV_path_clear,CLEAR
19.778,robot_2,EV_approach_object,EV_path_clear,CLEAR
20.081,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
20.362,robot_2,EV_search_object,EV_path_clear,CLEAR
20.471,robot_2,EV_approach_object,EV_path_clear,CLEAR
20.765,robot_2,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
20.982,robot_2,EV_approach_object,EV_path_clear,CLEAR
21.267,robot_2,EV_approach_object,EV_path_clear,CLEAR
21.565,robot_2,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
21.783,robot_2,EV_approach_object,EV_path_clear,CLEAR
22.070,robot_2,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
22.267,robot_2,EV_search_object,EV_path_clear,CLEAR
22.463,robot_2,EV_search_object,EV_path_clear,CLEAR
22.578,robot_2,EV_approach_color,EV_path_clear,CLEAR
22.862,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
23.070,robot_2,EV_move_forward,EV_path_clear,CLEAR
23.368,robot_2,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
23.671,robot_2,EV_approach_color,EV_path_clear,CLEAR
23.985,robot_2,EV_move_backward,EV_obstacle_front,CORNER
24.276,robot_2,EV_rotate_counterclockwise,EV_obstacle_front|EV_object_reached,CORNER
24.467,robot_2,EV_move_backward,EV_obstacle_front,CORNER
24.765,robot_2,EV_move_backward,EV_obstacle_front|EV_object_reached,CORNER
25.073,robot_2,EV_rotate_counterclockwise,EV_obstacle_front,CORNER
25.266,robot_2,EV_u_turn,EV_obstacle_front,CORNER
29.070,robot_2,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
29.374,robot_2,EV_search_color,EV_path_clear,CLEAR
29.562,robot_2,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
29.871,robot_2,EV_approach_object,EV_path_clear,CLEAR
30.188,robot_2,EV_approach_color,EV_path_clear,CLEAR
30.469,robot_2,EV_search_color,EV_path_clear|EV_object_visible,CLEAR
30.666,robot_2,EV_approach_object,EV_path_clear,CLEAR
30.874,robot_2,EV_approach_color,EV_path_clear,CLEAR
31.175,robot_2,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
31.478,robot_2,EV_move_forward,EV_path_clear,CLEAR
31.776,robot_2,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
32.062,robot_2,EV_move_forward,EV_path_clear,CLEAR
32.289,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
32.568,robot_2,EV_search_color,EV_path_clear,CLEAR
32.778,robot_2,EV_approach_object,EV_path_clear,CLEAR
33.078,robot_2,EV_rotate_counterclockwise,EV_obstacle_right|EV_object_reached,RIGHT
33.267,robot_2,EV_u_turn,EV_obstacle_right,RIGHT
37.066,robot_2,EV_search_color,EV_path_clear|EV_object_reached,CLEAR
37.263,robot_2,EV_approach_object,EV_path_clear,CLEAR
37.481,robot_2,EV_approach_object,EV_path_clear,CLEAR
37.768,robot_2,EV_approach_color,EV_path_clear|EV_object_reached,CLEAR
38.071,robot_2,EV_approach_color,EV_path_clear,CLEAR
38.366,robot_2,EV_approach_object,EV_path_clear|EV_object_reached,CLEAR
38.670,robot_2,EV_approach_color,EV_path_clear,CLEAR
38.973,robot_2,EV_approach_object,EV_path_clear,CLEAR
39.267,robot_2,EV_search_color,EV_path_clear|EV_object_visible,CLEAR
39.380,robot_2,EV_approach_object,EV_path_clear,CLEAR
39.671,robot_2,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
39.978,robot_2,EV_move_forward,EV_path_clear,CLEAR
40.276,robot_2,EV_search_color,EV_path_clear,CLEAR
40.473,robot_2,EV_search_color,EV_path_clear|EV_object_visible,CLEAR
40.672,robot_2,EV_search_color,EV_path_clear,CLEAR
40.883,robot_2,EV_approach_color,EV_path_clear,CLEAR
41.162,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
41.365,robot_2,EV_approach_color,EV_path_clear,CLEAR
41.567,robot_2,EV_search_color,EV_path_clear,CLEAR
41.770,robot_2,EV_move_forward,EV_path_clear,CLEAR
42.067,robot_2,EV_approach_object,EV_path_clear|EV_object_visible,CLEAR
42.371,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
42.670,robot_2,EV_search_object,EV_path_clear,CLEAR
42.777,robot_2,EV_search_object,EV_path_clear,CLEAR
42.980,robot_2,EV_approach_object,EV_path_clear,CLEAR
43.270,robot_2,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
43.479,robot_2,EV_search_object,EV_path_clear,CLEAR
43.586,robot_2,EV_move_forward,EV_path_clear,CLEAR
43.875,robot_2,EV_approach_color,EV_path_clear|EV_object_visible,CLEAR
44.168,robot_2,EV_approach_color,EV_path_clear,CLEAR
44.476,robot_2,EV_search_object,EV_path_clear,CLEAR
44.672,robot_2,EV_search_object,EV_path_clear|EV_object_visible,CLEAR
44.870,robot_2,EV_move_forward,EV_path_clear,CLEAR
45.075,robot_2,EV_approach_object,EV_path_clear,CLEAR
45.365,robot_2,EV_move_forward,EV_path_clear|EV_object_visible,CLEAR
45.579,robot_2,EV_approach_color,EV_path_clear,CLEAR
45.861,robot_2,EV_approach_color,EV_path_clear,CLEAR
46.162,robot_2,EV_search_color,EV_path_clear|EV_object_visible,CLEAR
46.368,robot_2,EV_search_color,EV_path_clear,CLEAR
46.573,robot_2,EV_approach_object,EV_path_clear|EV_object_not_visible,CLEAR
46.879,robot_2,EV_move_forward,EV_path_clear,CLEAR
47.179,robot_2,EV_move_forward,EV_path_clear,CLEAR
47.482,robot_2,EV_approach_color,EV_path_clear|EV_object_not_visible,CLEAR
47.769,robot_2,EV_approach_color,EV_path_clear,CLEAR
48.063,robot_2,EV_approach_color,EV_path_clear|EV_object_not_visible,CLEAR
48.279,robot_2,EV_search_color,EV_path_clear,CLEAR
48.475,robot_2,EV_approach_object,EV_path_clear,CLEAR
48.776,robot_2,EV_search_object,EV_path_clear|EV_object_not_visible,CLEAR
48.974,robot_2,EV_move_forward,EV_path_clear,CLEAR
49.184,robot_2,EV_approach_color,EV_path_clear,CLEAR
49.482,robot_2,EV_search_object,EV_path_clear|EV_object_not_visible,CLEAR
49.661,robot_2,EV_approach_color,EV_path_clear,CLEAR
49.895,robot_2,EV_approach_object,EV_path_clear,CLEAR
