elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.166,robot_0,EV_move_forward,EV_path_clear,CLEAR
0.475,robot_0,EV_move_forward,EV_path_clear,CLEAR
0.756,robot_0,EV_drop_zone_blue,EV_path_clear,CLEAR
0.849,robot_0,EV_search_object,EV_path_clear,CLEAR
0.956,robot_0,EV_search_object,EV_path_clear,CLEAR
1.181,robot_0,EV_search_object,EV_path_clear,CLEAR
1.365,robot_0,EV_move_forward,EV_path_clear,CLEAR
1.664,robot_0,EV_move_forward,EV_path_clear,CLEAR
1.951,robot_0,EV_search_object,EV_path_clear,CLEAR
2.148,robot_0,EV_search_object,EV_path_clear,CLEAR
2.348,robot_0,EV_move_forward,EV_path_clear,CLEAR
2.648,robot_0,EV_search_object,EV_path_clear,CLEAR
2.850,robot_0,EV_search_object,EV_path_clear,CLEAR
3.049,robot_0,EV_search_object,EV_path_clear,CLEAR
3.248,robot_0,EV_search_object,EV_path_clear,CLEAR
3.448,robot_0,EV_move_forward,EV_path_clear,CLEAR
3.748,robot_0,EV_search_object,EV_path_clear,CLEAR
3.948,robot_0,EV_search_object,EV_path_clear,CLEAR
4.148,robot_0,EV_search_object,EV_path_clear,CLEAR
4.348,robot_0,EV_move_forward,EV_path_clear,CLEAR
4.549,robot_0,EV_move_forward,EV_path_clear,CLEAR
4.754,robot_0,EV_move_forward,EV_path_clear,CLEAR
4.972,robot_0,EV_search_object,EV_path_clear,CLEAR
5.151,robot_0,EV_move_forward,EV_path_clear,CLEAR
5.362,robot_0,EV_move_forward,EV_path_clear,CLEAR
5.654,robot_0,EV_search_object,EV_path_clear,CLEAR
5.865,robot_0,EV_search_object,EV_path_clear,CLEAR
6.063,robot_0,EV_u_turn,EV_obstacle_left,LEFT
9.961,robot_0,EV_search_object,EV_path_clear,CLEAR
10.157,robot_0,EV_search_object,EV_path_clear,CLEAR
10.379,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.657,robot_0,EV_move_forward,EV_path_clear,CLEAR
10.865,robot_0,EV_search_object,EV_path_clear,CLEAR
11.060,robot_0,EV_move_forward,EV_path_clear,CLEAR
11.267,robot_0,EV_search_object,EV_path_clear,CLEAR
11.456,robot_0,EV_move_forward,EV_path_clear,CLEAR
11.657,robot_0,EV_search_object,EV_path_clear,CLEAR
11.767,robot_0,EV_search_object,EV_path_clear,CLEAR
11.957,robot_0,EV_search_object,EV_path_clear,CLEAR
12.165,robot_0,EV_search_object,EV_path_clear,CLEAR
12.353,robot_0,EV_search_object,EV_path_clear,CLEAR
12.567,robot_0,EV_move_forward,EV_path_clear,CLEAR
12.852,robot_0,EV_search_object,EV_path_clear,CLEAR
12.954,robot_0,EV_move_forward,EV_path_clear,CLEAR
13.252,robot_0,EV_search_object,EV_path_clear,CLEAR
13.457,robot_0,EV_u_turn,EV_obstacle_left,LEFT
17.263,robot_0,EV_move_forward,EV_path_clear,CLEAR
17.554,robot_0,EV_search_object,EV_path_clear,CLEAR
17.748,robot_0,EV_search_object,EV_path_clear,CLEAR
17.963,robot_0,EV_search_object,EV_path_clear,CLEAR
18.155,robot_0,EV_search_object,EV_path_clear,CLEAR
18.365,robot_0,EV_search_object,EV_path_clear,CLEAR
18.564,robot_0,EV_search_object,EV_path_clear,CLEAR
18.755,robot_0,EV_search_object,EV_path_clear,CLEAR
18.955,robot_0,EV_search_object,EV_path_clear,CLEAR
19.061,robot_0,EV_search_object,EV_path_clear,CLEAR
19.251,robot_0,EV_search_object,EV_path_clear,CLEAR
19.355,robot_0,EV_search_object,EV_path_clear,CLEAR
19.548,robot_0,EV_search_object,EV_path_clear,CLEAR
19.652,robot_0,EV_move_forward,EV_path_clear,CLEAR
19.859,robot_0,EV_move_forward,EV_path_clear,CLEAR
20.165,robot_0,EV_move_forward,EV_path_clear,CLEAR
20.453,robot_0,EV_move_forward,EV_path_clear,CLEAR
20.753,robot_0,EV_search_object,EV_path_clear,CLEAR
20.859,robot_0,EV_move_forward,EV_path_clear,CLEAR
21.150,robot_0,EV_search_object,EV_path_clear,CLEAR
21.260,robot_0,EV_move_forward,EV_path_clear,CLEAR
21.562,robot_0,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT
21.752,robot_0,EV_u_turn,EV_obstacle_right,RIGHT
25.667,robot_0,EV_search_object,EV_path_clear,CLEAR
25.865,robot_0,EV_search_object,EV_path_clear,CLEAR
26.055,robot_0,EV_search_object,EV_path_clear,CLEAR
26.267,robot_0,EV_move_forward,EV_path_clear,CLEAR
26.548,robot_0,EV_u_turn,EV_obstacle_left,LEFT
26.657,robot_0,EV_u_turn,EV_obstacle_left,LEFT
26.756,robot_0,EV_rotate_clockwise,EV_obstacle_left,LEFT
29.660,robot_0,EV_move_forward,EV_path_clear,CLEAR
29.862,robot_0,EV_move_forward,EV_path_clear,CLEAR
30.068,robot_0,EV_search_object,EV_path_clear,CLEAR
30.259,robot_0,EV_search_object,EV_path_clear,CLEAR
30.462,robot_0,EV_move_forward,EV_path_clear,CLEAR
30.751,robot_0,EV_move_forward,EV_path_clear,CLEAR
31.068,robot_0,EV_search_object,EV_path_clear,CLEAR
31.257,robot_0,EV_move_forward,EV_path_clear,CLEAR
31.465,robot_0,EV_search_object,EV_path_clear,CLEAR
31.654,robot_0,EV_search_object,EV_path_clear,CLEAR
31.864,robot_0,EV_move_forward,EV_path_clear,CLEAR
32.070,robot_0,EV_search_object,EV_path_clear,CLEAR
32.249,robot_0,EV_search_object,EV_path_clear,CLEAR
32.353,robot_0,EV_search_object,EV_path_clear,CLEAR
32.550,robot_0,EV_move_forward,EV_path_clear,CLEAR
32.861,robot_0,EV_move_forward,EV_path_clear,CLEAR
33.158,robot_0,EV_move_forward,EV_path_clear,CLEAR
33.448,robot_0,EV_move_forward,EV_path_clear,CLEAR
33.660,robot_0,EV_move_forward,EV_path_clear,CLEAR
33.957,robot_0,EV_move_forward,EV_path_clear,CLEAR
34.161,robot_0,EV_search_object,EV_path_clear,CLEAR
34.365,robot_0,EV_search_object,EV_path_clear,CLEAR
34.574,robot_0,EV_move_forward,EV_path_clear,CLEAR
34.848,robot_0,EV_search_object,EV_path_clear,CLEAR
35.068,robot_0,EV_search_object,EV_path_clear,CLEAR
35.254,robot_0,EV_move_forward,EV_path_clear,CLEAR
35.553,robot_0,EV_move_forward,EV_path_clear,CLEAR
35.864,robot_0,EV_search_object,EV_path_clear,CLEAR
36.055,robot_0,EV_move_forward,EV_path_clear,CLEAR
36.354,robot_0,EV_move_forward,EV_path_clear,CLEAR
36.662,robot_0,EV_move_forward,EV_path_clear,CLEAR
36.953,robot_0,EV_move_forward,EV_path_clear,CLEAR
37.166,robot_0,EV_search_object,EV_path_clear,CLEAR
37.275,robot_0,EV_move_forward,EV_path_clear,CLEAR
37.555,robot_0,EV_move_forward,EV_path_clear,CLEAR
37.855,robot_0,EV_search_object,EV_path_clear,CLEAR
38.048,robot_0,EV_move_forward,EV_path_clear,CLEAR
38.353,robot_0,EV_search_object,EV_path_clear,CLEAR
38.456,robot_0,EV_move_forward,EV_path_clear,CLEAR
38.663,robot_0,EV_search_object,EV_path_clear,CLEAR
38.851,robot_0,EV_search_object,EV_path_clear,CLEAR
38.955,robot_0,EV_search_object,EV_path_clear,CLEAR
39.157,robot_0,EV_search_object,EV_path_clear,CLEAR
39.277,robot_0,EV_search_object,EV_path_clear,CLEAR
39.454,robot_0,EV_move_forward,EV_path_clear,CLEAR
39.757,robot_0,EV_move_forward,EV_path_clear,CLEAR
40.049,robot_0,EV_u_turn,EV_obstacle_left,LEFT
43.852,robot_0,EV_move_forward,EV_path_clear,CLEAR
44.148,robot_0,EV_search_object,EV_path_clear,CLEAR
44.260,robot_0,EV_search_object,EV_path_clear,CLEAR
44.368,robot_0,EV_move_forward,EV_path_clear,CLEAR
44.656,robot_0,EV_search_object,EV_path_clear,CLEAR
44.864,robot_0,EV_move_forward,EV_path_clear,CLEAR
45.156,robot_0,EV_search_object,EV_path_clear,CLEAR
45.355,robot_0,EV_search_object,EV_path_clear,CLEAR
45.561,robot_0,EV_search_object,EV_path_clear,CLEAR
45.756,robot_0,EV_search_object,EV_path_clear,CLEAR
45.864,robot_0,EV_search_object,EV_path_clear,CLEAR
46.057,robot_0,EV_search_object,EV_path_clear,CLEAR
46.183,robot_0,EV_move_forward,EV_path_clear,CLEAR
46.456,robot_0,EV_move_forward,EV_path_clear,CLEAR
46.758,robot_0,EV_move_forward,EV_path_clear,CLEAR
47.053,robot_0,EV_move_forward,EV_path_clear,CLEAR
47.355,robot_0,EV_search_object,EV_path_clear,CLEAR
47.583,robot_0,EV_move_forward,EV_path_clear,CLEAR
47.857,robot_0,EV_move_forward,EV_path_clear,CLEAR
48.157,robot_0,EV_search_object,EV_path_clear,CLEAR
48.364,robot_0,EV_move_forward,EV_path_clear,CLEAR
48.663,robot_0,EV_move_forward,EV_path_clear,CLEAR
48.878,robot_0,EV_search_object,EV_path_clear,CLEAR
49.065,robot_0,EV_search_object,EV_path_clear,CLEAR
49.257,robot_0,EV_move_forward,EV_path_clear,CLEAR
49.468,robot_0,EV_move_forward,EV_path_clear,CLEAR
49.768,robot_0,EV_search_object,EV_path_clear,CLEAR
49.873,robot_0,EV_search_object,EV_path_clear,CLEAR
50.053,robot_0,EV_move_forward,EV_path_clear,CLEAR
50.261,robot_0,EV_search_object,EV_path_clear,CLEAR
50.367,robot_0,EV_move_forward,EV_path_clear,CLEAR
50.651,robot_0,EV_move_forward,EV_path_clear,CLEAR
50.855,robot_0,EV_search_object,EV_path_clear,CLEAR
51.048,robot_0,EV_search_object,EV_path_clear,CLEAR
51.151,robot_0,EV_move_forward,EV_path_clear,CLEAR
51.449,robot_0,EV_move_forward,EV_path_clear,CLEAR
51.663,robot_0,EV_search_object,EV_path_clear,CLEAR
51.855,robot_0,EV_search_object,EV_path_clear,CLEAR
52.048,robot_0,EV_move_forward,EV_path_clear,CLEAR
52.265,robot_0,EV_move_forward,EV_path_clear,CLEAR
52.552,robot_0,EV_search_object,EV_path_clear,CLEAR
52.748,robot_0,EV_u_turn,EV_obstacle_right,RIGHT
56.550,robot_0,EV_rotate_clockwise,EV_obstacle_front,CORNER
56.753,robot_0,EV_rotate_counterclockwise,EV_obstacle_front,CORNER
59.566,robot_0,EV_search_object,EV_path_clear,CLEAR
59.756,robot_0,EV_search_object,EV_path_clear,CLEAR
59.958,robot_0,EV_move_forward,EV_path_clear,CLEAR
60.166,robot_0,EV_move_forward,EV_path_clear,CLEAR
60.456,robot_0,EV_move_forward,EV_path_clear,CLEAR
60.748,robot_0,EV_move_forward,EV_path_clear,CLEAR
60.963,robot_0,EV_search_object,EV_path_clear,CLEAR
