robot,selected_event,count,percentage
robot_1,EV_approach_color,170,13.788
robot_1,EV_approach_object,1,0.081
robot_1,EV_drop_object,2,0.162
robot_1,EV_drop_zone_blue,1,0.081
robot_1,EV_drop_zone_red,1,0.081
robot_1,EV_move_backward,1,0.081
robot_1,EV_move_forward,581,47.121
robot_1,EV_pick_up_object,2,0.162
robot_1,EV_rotate_clockwise,16,1.298
robot_1,EV_rotate_counterclockwise,16,1.298
robot_1,EV_search_color,356,28.873
robot_1,EV_search_object,43,3.487
robot_1,EV_u_turn,43,3.487
robot_1,TOTAL,1233,100.000
