stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789379491,207881111,robot_1,4,-3.000,0.000,-2.500,0.500
1789379491,207912925,robot_1,5,-3.000,1.000,-2.500,1.500
1789379491,207937304,robot_1,12,-2.000,0.000,-1.500,0.500
1789379491,207958571,robot_1,13,-2.000,1.000,-1.500,1.500
1789379491,208013381,robot_2,17,-1.000,-3.000,-0.500,-2.500
1789379491,208033840,robot_2,18,-1.000,-2.000,-0.500,-1.500
1789379491,208054930,robot_2,25,0.000,-3.000,0.500,-2.500
1789379491,230161695,robot_2,26,0.000,-2.000,0.500,-1.500
1789379491,230263579,robot_0,32,1.000,-4.000,1.500,-3.500
1789379491,230286116,robot_0,33,1.000,-3.000,1.500,-2.500
