robot,selected_event,count,percentage
robot_1,EV_approach_color,69,6.128
robot_1,EV_approach_object,1,0.089
robot_1,EV_drop_object,1,0.089
robot_1,EV_drop_zone_blue,1,0.089
robot_1,EV_move_backward,180,15.986
robot_1,EV_move_forward,197,17.496
robot_1,EV_pick_up_object,2,0.178
robot_1,EV_rotate_clockwise,194,17.229
robot_1,EV_rotate_counterclockwise,165,14.654
robot_1,EV_search_color,123,10.924
robot_1,EV_search_object,1,0.089
robot_1,EV_u_turn,192,17.052
robot_1,TOTAL,1126,100.000
