stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789398705,200554889,4.490,robot_0,-0.867,2.851
1789398705,222877796,4.512,robot_2,-0.405,1.735
1789398705,222950039,4.512,robot_1,1.494,0.495
1789398709,302584746,8.617,robot_0,-0.867,2.851
1789398709,327656072,8.617,robot_2,-0.405,1.735
1789398709,327722683,8.617,robot_1,1.494,0.495
1789398713,651224790,12.940,robot_0,-0.867,2.851
1789398713,651308725,12.940,robot_2,-0.405,1.735
1789398713,651344977,12.940,robot_1,1.494,0.495
1789398713,855874019,13.145,robot_0,-0.854,2.853
1789398713,855968077,13.145,robot_2,-0.405,1.735
1789398713,856006967,13.145,robot_1,1.481,0.495
1789398714,65742389,13.355,robot_0,-0.829,2.857
1789398714,65834270,13.355,robot_2,-0.405,1.735
1789398714,65871274,13.355,robot_1,1.475,0.495
1789398714,264377101,13.553,robot_0,-0.807,2.860
1789398714,264471759,13.554,robot_2,-0.405,1.734
1789398714,264524380,13.554,robot_1,1.497,0.496
1789398714,470557254,13.760,robot_0,-0.781,2.864
1789398714,486845838,13.776,robot_2,-0.405,1.734
1789398714,486930050,13.776,robot_1,1.503,0.496
1789398714,688117341,13.977,robot_0,-0.774,2.865
1789398714,688210918,13.977,robot_2,-0.405,1.734
1789398714,688249866,13.977,robot_1,1.519,0.497
1789398714,902406515,14.191,robot_0,-0.774,2.865
1789398714,902509299,14.192,robot_2,-0.405,1.734
1789398714,902548787,14.192,robot_1,1.539,0.499
1789398715,105273048,14.394,robot_0,-0.774,2.865
1789398715,105405470,14.394,robot_2,-0.405,1.733
1789398715,105459990,14.395,robot_1,1.528,0.498
1789398715,312118201,14.601,robot_0,-0.774,2.864
1789398715,312223205,14.601,robot_2,-0.404,1.733
1789398715,312275178,14.601,robot_1,1.513,0.496
1789398715,529623461,14.819,robot_0,-0.774,2.864
1789398715,529713121,14.819,robot_2,-0.404,1.733
1789398715,529760171,14.819,robot_1,1.506,0.495
1789398715,731171328,15.020,robot_0,-0.774,2.864
1789398715,731258015,15.020,robot_2,-0.404,1.733
1789398715,731299129,15.020,robot_1,1.481,0.492
1789398715,937466577,15.227,robot_0,-0.774,2.863
1789398715,937555814,15.227,robot_2,-0.404,1.733
1789398715,937604331,15.227,robot_1,1.457,0.490
1789398716,155220382,15.444,robot_0,-0.775,2.863
1789398716,155304295,15.444,robot_2,-0.404,1.732
1789398716,155341073,15.444,robot_1,1.442,0.489
1789398716,363623670,15.653,robot_0,-0.775,2.862
1789398716,376155672,15.665,robot_2,-0.404,1.732
1789398716,376263855,15.665,robot_1,1.442,0.488
1789398716,583398791,15.872,robot_0,-0.775,2.862
1789398716,583491564,15.873,robot_2,-0.404,1.732
1789398716,583537293,15.873,robot_1,1.442,0.488
1789398716,799002013,16.088,robot_0,-0.776,2.862
1789398716,799102269,16.088,robot_2,-0.403,1.732
1789398716,799152864,16.088,robot_1,1.442,0.488
1789398717,9552079,16.299,robot_0,-0.776,2.861
1789398717,27425107,16.317,robot_2,-0.403,1.732
1789398717,27522649,16.317,robot_1,1.442,0.488
1789398717,257676599,16.547,robot_0,-0.776,2.861
1789398717,257827183,16.547,robot_2,-0.403,1.732
1789398717,257874233,16.547,robot_1,1.442,0.488
1789398717,448180481,16.737,robot_0,-0.776,2.861
1789398717,448285243,16.737,robot_2,-0.403,1.731
1789398717,448330085,16.737,robot_1,1.442,0.487
1789398717,657365114,16.946,robot_0,-0.775,2.862
1789398717,657448749,16.947,robot_2,-0.403,1.731
1789398717,657488685,16.947,robot_1,1.442,0.487
1789398717,859179254,17.148,robot_0,-0.775,2.862
1789398717,859273670,17.148,robot_2,-0.404,1.725
1789398717,859317341,17.148,robot_1,1.443,0.486
1789398718,73067668,17.362,robot_0,-0.775,2.862
1789398718,73154836,17.362,robot_2,-0.410,1.689
1789398718,73193977,17.362,robot_1,1.444,0.486
1789398718,304403026,17.593,robot_0,-0.775,2.863
1789398718,304505063,17.594,robot_2,-0.414,1.668
1789398718,304552145,17.594,robot_1,1.444,0.486
1789398718,530281219,17.819,robot_0,-0.775,2.863
1789398718,530373226,17.819,robot_2,-0.415,1.658
1789398718,530422641,17.819,robot_1,1.445,0.486
1789398718,748636474,18.038,robot_0,-0.775,2.863
1789398718,748735374,18.038,robot_2,-0.410,1.683
1789398718,748783008,18.038,robot_1,1.445,0.485
1789398718,962142204,18.251,robot_0,-0.775,2.864
1789398718,962238974,18.251,robot_2,-0.403,1.715
1789398718,962303988,18.251,robot_1,1.445,0.485
1789398719,178810974,18.468,robot_0,-0.775,2.864
1789398719,178913250,18.468,robot_2,-0.397,1.744
1789398719,178963711,18.468,robot_1,1.446,0.485
1789398719,381583224,18.671,robot_0,-0.775,2.864
1789398719,381694905,18.671,robot_2,-0.392,1.766
1789398719,381763304,18.671,robot_1,1.446,0.485
