stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789300341,887117875,robot_1,26,0.000,-2.000,0.500,-1.500
1789300341,887149174,robot_1,27,0.000,-1.000,0.500,-0.500
1789300341,887177704,robot_1,34,1.000,-2.000,1.500,-1.500
1789300341,887198857,robot_1,35,1.000,-1.000,1.500,-0.500
1789300341,887249240,robot_2,36,1.000,0.000,1.500,0.500
1789300341,887271126,robot_2,43,2.000,-1.000,2.500,-0.500
1789300341,887288931,robot_2,44,2.000,0.000,2.500,0.500
1789300341,887330045,robot_0,30,0.000,2.000,0.500,2.500
1789300341,887348459,robot_0,38,1.000,2.000,1.500,2.500
1789300350,906481048,robot_0,29,0.000,1.000,0.500,1.500
1789300426,547505802,robot_1,42,2.000,-2.000,2.500,-1.500
1789300477,815588554,robot_0,37,1.000,1.000,1.500,1.500
1789300513,38222001,robot_0,22,-1.000,2.000,-0.500,2.500
1789300513,259608472,robot_0,21,-1.000,1.000,-0.500,1.500
1789300596,906379541,robot_1,33,1.000,-3.000,1.500,-2.500
1789300607,205059920,robot_0,28,0.000,0.000,0.500,0.500
1789300625,222064546,robot_0,20,-1.000,0.000,-0.500,0.500
1789300827,194642815,robot_1,18,-1.000,-2.000,-0.500,-1.500
1789300829,571208667,robot_1,19,-1.000,-1.000,-0.500,-0.500
1789300832,758427799,robot_0,12,-2.000,0.000,-1.500,0.500
1789300833,388715643,robot_0,13,-2.000,1.000,-1.500,1.500
