elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.108,robot_1,EV_search_object,EV_path_clear,CLEAR
0.211,robot_1,EV_search_object,EV_path_clear,CLEAR
0.415,robot_1,EV_move_forward,EV_path_clear,CLEAR
0.709,robot_1,EV_u_turn,EV_path_clear,CLEAR
4.109,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
4.211,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
4.314,robot_1,EV_u_turn,EV_path_clear,CLEAR
4.408,robot_1,EV_u_turn,EV_path_clear,CLEAR
4.509,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
4.709,robot_1,EV_u_turn,EV_path_clear,CLEAR
4.815,robot_1,EV_move_backward,EV_obstacle_right|EV_object_reached,RIGHT
7.610,robot_1,EV_search_object,EV_object_reached|EV_obstacle_left,LEFT
7.815,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
8.011,robot_1,EV_move_forward,EV_path_clear,CLEAR
8.308,robot_1,EV_u_turn,EV_path_clear|EV_object_reached,CLEAR
11.320,robot_1,EV_rotate_counterclockwise,EV_obstacle_right|EV_object_reached,RIGHT
11.511,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
11.617,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
11.813,robot_1,EV_u_turn,EV_path_clear,CLEAR
11.926,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
12.222,robot_1,EV_move_forward,EV_path_clear,CLEAR
12.518,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
12.714,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
12.908,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
13.114,robot_1,EV_u_turn,EV_path_clear,CLEAR
13.216,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
13.516,robot_1,EV_search_object,EV_path_clear,CLEAR
13.620,robot_1,EV_u_turn,EV_path_clear|EV_object_reached,CLEAR
16.916,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
17.209,robot_1,EV_u_turn,EV_path_clear|EV_object_reached,CLEAR
17.311,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
17.510,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
17.811,robot_1,EV_move_forward,EV_path_clear,CLEAR
18.107,robot_1,EV_rotate_counterclockwise,EV_path_clear|EV_object_reached,CLEAR
18.308,robot_1,EV_search_object,EV_path_clear,CLEAR
18.420,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
18.711,robot_1,EV_move_backward,EV_path_clear,CLEAR
18.920,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
19.022,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
19.214,robot_1,EV_rotate_counterclockwise,EV_path_clear|EV_object_reached,CLEAR
19.412,robot_1,EV_move_forward,EV_path_clear,CLEAR
19.716,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
19.909,robot_1,EV_u_turn,EV_path_clear,CLEAR
23.314,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
23.511,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
23.717,robot_1,EV_u_turn,EV_path_clear,CLEAR
23.816,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
24.010,robot_1,EV_u_turn,EV_path_clear|EV_object_reached,CLEAR
24.117,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
24.315,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
24.510,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
24.717,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
24.909,robot_1,EV_u_turn,EV_path_clear|EV_object_reached,CLEAR
25.010,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
25.119,robot_1,EV_search_object,EV_path_clear,CLEAR
25.313,robot_1,EV_search_object,EV_obstacle_right|EV_object_reached,RIGHT
28.122,robot_1,EV_rotate_clockwise,EV_object_reached|EV_obstacle_left,LEFT
28.310,robot_1,EV_move_forward,EV_object_reached|EV_obstacle_left,LEFT
28.616,robot_1,EV_move_backward,EV_obstacle_left,LEFT
28.914,robot_1,EV_rotate_counterclockwise,EV_object_reached|EV_obstacle_front,CORNER
29.120,robot_1,EV_u_turn,EV_object_reached|EV_obstacle_left,LEFT
32.113,robot_1,EV_u_turn,EV_path_clear|EV_object_reached,CLEAR
32.218,robot_1,EV_move_forward,EV_path_clear,CLEAR
32.507,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
32.717,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
32.922,robot_1,EV_search_object,EV_path_clear,CLEAR
33.118,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
33.313,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
33.518,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
33.709,robot_1,EV_search_object,EV_path_clear,CLEAR
33.910,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
34.108,robot_1,EV_move_forward,EV_path_clear,CLEAR
34.411,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
34.619,robot_1,EV_search_object,EV_path_clear,CLEAR
34.812,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
35.021,robot_1,EV_search_object,EV_path_clear,CLEAR
35.209,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
35.523,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
35.710,robot_1,EV_search_object,EV_obstacle_right|EV_object_reached,RIGHT
35.917,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT
36.107,robot_1,EV_move_forward,EV_obstacle_right|EV_object_reached,RIGHT
36.309,robot_1,EV_search_object,EV_obstacle_right,RIGHT
36.516,robot_1,EV_u_turn,EV_obstacle_right|EV_object_reached,RIGHT
39.516,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
39.807,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
40.007,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
40.124,robot_1,EV_search_object,EV_path_clear,CLEAR
40.313,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
40.512,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
40.715,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
40.817,robot_1,EV_u_turn,EV_path_clear,CLEAR
40.912,robot_1,EV_u_turn,EV_path_clear,CLEAR
41.015,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
41.207,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
41.411,robot_1,EV_u_turn,EV_path_clear,CLEAR
41.509,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
41.709,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
41.912,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
42.016,robot_1,EV_u_turn,EV_path_clear,CLEAR
45.309,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
45.511,robot_1,EV_u_turn,EV_path_clear,CLEAR
45.619,robot_1,EV_move_forward,EV_path_clear,CLEAR
45.908,robot_1,EV_rotate_counterclockwise,EV_path_clear|EV_object_reached,CLEAR
46.117,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
46.417,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
46.607,robot_1,EV_rotate_counterclockwise,EV_path_clear|EV_object_reached,CLEAR
46.811,robot_1,EV_move_forward,EV_path_clear,CLEAR
47.107,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
47.311,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
47.414,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
47.608,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
47.718,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
47.911,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
48.122,robot_1,EV_move_backward,EV_path_clear,CLEAR
48.417,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
48.716,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
49.012,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
49.318,robot_1,EV_u_turn,EV_path_clear,CLEAR
52.414,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
52.607,robot_1,EV_move_backward,EV_path_clear,CLEAR
52.813,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
53.117,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
53.313,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
53.510,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
53.707,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
53.815,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
54.010,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
54.225,robot_1,EV_u_turn,EV_path_clear,CLEAR
54.308,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
54.512,robot_1,EV_rotate_clockwise,EV_obstacle_right|EV_object_reached,RIGHT
57.415,robot_1,EV_u_turn,EV_obstacle_right|EV_object_reached,RIGHT
60.512,robot_1,EV_move_backward,EV_obstacle_right|EV_object_reached,RIGHT
60.717,robot_1,EV_rotate_clockwise,EV_path_clear|EV_object_reached,CLEAR
60.911,robot_1,EV_u_turn,EV_path_clear,CLEAR
61.010,robot_1,EV_u_turn,EV_path_clear,CLEAR
61.111,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
61.314,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
61.613,robot_1,EV_rotate_clockwise,EV_obstacle_right|EV_object_reached,RIGHT
61.812,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT
61.914,robot_1,EV_search_object,EV_obstacle_right,RIGHT
62.109,robot_1,EV_rotate_clockwise,EV_obstacle_right|EV_object_reached,RIGHT
62.309,robot_1,EV_u_turn,EV_obstacle_right,RIGHT
62.409,robot_1,EV_rotate_clockwise,EV_obstacle_right,RIGHT
62.608,robot_1,EV_move_forward,EV_obstacle_right|EV_object_reached,RIGHT
62.913,robot_1,EV_search_object,EV_object_reached|EV_obstacle_front,CORNER
66.108,robot_1,EV_move_backward,EV_object_reached|EV_obstacle_left,LEFT
66.412,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
66.607,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
66.818,robot_1,EV_move_forward,EV_path_clear,CLEAR
67.116,robot_1,EV_move_forward,EV_path_clear|EV_object_reached,CLEAR
67.407,robot_1,EV_move_backward,EV_path_clear|EV_object_reached,CLEAR
67.710,robot_1,EV_move_backward,EV_path_clear,CLEAR
68.010,robot_1,EV_u_turn,EV_object_reached|EV_obstacle_left,LEFT
68.110,robot_1,EV_move_backward,EV_obstacle_left,LEFT
68.311,robot_1,EV_move_backward,EV_object_reached|EV_obstacle_left,LEFT
68.513,robot_1,EV_move_backward,EV_obstacle_left,LEFT
68.810,robot_1,EV_search_object,EV_path_clear|EV_object_reached,CLEAR
