stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789206940,930216431,robot_1,11,-2.000,-1.000,-1.500,-0.500
1789206940,930246410,robot_1,19,-1.000,-1.000,-0.500,-0.500
1789206940,930290760,robot_0,35,1.000,-1.000,1.500,-0.500
1789206940,930308206,robot_0,36,1.000,0.000,1.500,0.500
1789206940,930326001,robot_0,43,2.000,-1.000,2.500,-0.500
1789206940,930341809,robot_0,44,2.000,0.000,2.500,0.500
1789206940,930380115,robot_2,13,-2.000,1.000,-1.500,1.500
1789206940,930394953,robot_2,14,-2.000,2.000,-1.500,2.500
1789206940,930410840,robot_2,21,-1.000,1.000,-0.500,1.500
1789206940,930427815,robot_2,22,-1.000,2.000,-0.500,2.500
1789206945,781494431,robot_1,12,-2.000,0.000,-1.500,0.500
1789206945,781530947,robot_1,20,-1.000,0.000,-0.500,0.500
1789206946,429388586,robot_0,27,0.000,-1.000,0.500,-0.500
1789206946,429408923,robot_0,28,0.000,0.000,0.500,0.500
1789206947,39819449,robot_2,29,0.000,1.000,0.500,1.500
1789206952,919523403,robot_1,18,-1.000,-2.000,-0.500,-1.500
1789206953,550509194,robot_1,10,-2.000,-2.000,-1.500,-1.500
1789206955,241801197,robot_1,9,-2.000,-3.000,-1.500,-2.500
1789206955,241831616,robot_1,17,-1.000,-3.000,-0.500,-2.500
1789206955,241898274,robot_2,5,-3.000,1.000,-2.500,1.500
1789206955,241913864,robot_2,6,-3.000,2.000,-2.500,2.500
1789206957,539835363,robot_1,8,-2.000,-4.000,-1.500,-3.500
1789206957,760893532,robot_1,1,-3.000,-3.000,-2.500,-2.500
1789206957,993733299,robot_1,0,-3.000,-4.000,-2.500,-3.500
1789206959,46331479,robot_0,37,1.000,1.000,1.500,1.500
1789206961,345981598,robot_0,38,1.000,2.000,1.500,2.500
1789206961,549071154,robot_0,30,0.000,2.000,0.500,2.500
1789206963,622329055,robot_0,31,0.000,3.000,0.500,3.500
1789206976,368030252,robot_2,34,1.000,-2.000,1.500,-1.500
1789206977,879836853,robot_2,26,0.000,-2.000,0.500,-1.500
1789206978,946920927,robot_2,25,0.000,-3.000,0.500,-2.500
1789206978,946949096,robot_2,33,1.000,-3.000,1.500,-2.500
1789206979,571239300,robot_0,39,1.000,3.000,1.500,3.500
1789206981,704771167,robot_2,24,0.000,-4.000,0.500,-3.500
1789206981,905124464,robot_2,16,-1.000,-4.000,-0.500,-3.500
1789206986,144421287,robot_0,45,2.000,1.000,2.500,1.500
1789206986,144439513,robot_0,46,2.000,2.000,2.500,2.500
1789206989,543043783,robot_2,41,2.000,-3.000,2.500,-2.500
1789206989,543064796,robot_2,42,2.000,-2.000,2.500,-1.500
1789206995,914403317,robot_2,32,1.000,-4.000,1.500,-3.500
