stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789207948,707627407,3.492,robot_0,1.950,-0.221
1789207948,707768140,3.492,robot_2,-1.206,1.756
1789207948,707858919,3.492,robot_1,-1.259,-0.556
1789207949,781637758,4.566,robot_0,1.950,-0.221
1789207949,781705398,4.566,robot_2,-1.206,1.756
1789207949,781738168,4.566,robot_1,-1.259,-0.556
1789207952,136850227,6.921,robot_0,1.950,-0.221
1789207952,136926094,6.921,robot_2,-1.206,1.756
1789207952,136960028,6.921,robot_1,-1.259,-0.556
1789207952,349662684,7.134,robot_0,1.869,-0.175
1789207952,349728323,7.134,robot_2,-1.130,1.702
1789207952,349764351,7.134,robot_1,-1.178,-0.509
1789207952,559682641,7.346,robot_0,1.775,-0.122
1789207952,562169278,7.346,robot_2,-1.042,1.640
1789207952,562275958,7.347,robot_1,-1.085,-0.455
1789207952,772834720,7.557,robot_0,1.676,-0.066
1789207952,772899231,7.557,robot_2,-0.948,1.575
1789207952,772933359,7.557,robot_1,-0.987,-0.397
1789207952,975968359,7.760,robot_0,1.582,-0.013
1789207952,976041405,7.760,robot_2,-0.860,1.513
1789207952,976081253,7.760,robot_1,-0.894,-0.343
1789207953,191351342,7.975,robot_0,1.472,0.049
1789207953,191414691,7.975,robot_2,-0.757,1.440
1789207953,191440627,7.975,robot_1,-0.785,-0.279
1789207953,396548277,8.181,robot_0,1.378,0.102
1789207953,396624573,8.181,robot_2,-0.668,1.378
1789207953,396657245,8.181,robot_1,-0.692,-0.224
1789207953,606509201,8.391,robot_0,1.281,0.157
1789207953,606623224,8.391,robot_2,-0.578,1.315
1789207953,606648535,8.391,robot_1,-0.596,-0.168
1789207953,814316358,8.598,robot_0,1.187,0.210
1789207953,814383726,8.598,robot_2,-0.489,1.252
1789207953,814406852,8.598,robot_1,-0.503,-0.114
1789207954,16004658,8.800,robot_0,1.085,0.267
1789207954,16074631,8.800,robot_2,-0.393,1.185
1789207954,16102907,8.800,robot_1,-0.402,-0.055
1789207954,222975087,9.007,robot_0,0.994,0.319
1789207954,223044667,9.007,robot_2,-0.307,1.125
1789207954,223107330,9.007,robot_1,-0.311,-0.002
1789207954,426271099,9.210,robot_0,0.902,0.370
1789207954,426335455,9.210,robot_2,-0.221,1.065
1789207954,426370788,9.210,robot_1,-0.221,0.051
1789207954,638103637,9.422,robot_0,0.792,0.432
1789207954,638172472,9.422,robot_2,-0.118,0.992
1789207954,638210543,9.422,robot_1,-0.112,0.115
1789207954,842744831,9.627,robot_0,0.765,0.448
1789207954,842803814,9.627,robot_2,-0.064,0.954
1789207954,842836687,9.627,robot_1,-0.055,0.148
1789207955,124048407,9.908,robot_0,0.764,0.448
1789207955,124111876,9.908,robot_2,0.009,0.903
1789207955,124144319,9.908,robot_1,0.022,0.193
1789207955,325435563,10.109,robot_0,0.799,0.404
1789207955,325484989,10.109,robot_2,0.053,0.872
1789207955,325507281,10.110,robot_1,-0.015,0.172
1789207955,532869443,10.317,robot_0,0.799,0.404
1789207955,532911656,10.317,robot_2,0.053,0.873
1789207955,532932221,10.317,robot_1,-0.087,0.130
1789207955,739021251,10.523,robot_0,0.799,0.404
1789207955,739077667,10.523,robot_2,0.027,0.911
1789207955,739107063,10.524,robot_1,-0.116,0.113
1789207955,940971206,10.725,robot_0,0.799,0.404
1789207955,941039388,10.725,robot_2,0.011,0.934
1789207955,941077601,10.725,robot_1,-0.116,0.112
1789207956,158397847,10.942,robot_0,0.799,0.405
1789207956,158460971,10.942,robot_2,0.011,0.933
1789207956,158498977,10.943,robot_1,-0.115,0.112
1789207956,378680867,11.163,robot_0,0.800,0.405
1789207956,378743260,11.163,robot_2,0.011,0.933
1789207956,378775042,11.163,robot_1,-0.114,0.112
1789207956,580786052,11.365,robot_0,0.800,0.406
1789207956,580873393,11.365,robot_2,0.011,0.932
1789207956,580922110,11.365,robot_1,-0.114,0.112
1789207956,787021579,11.571,robot_0,0.800,0.406
1789207956,787086279,11.571,robot_2,0.011,0.932
1789207956,787132088,11.571,robot_1,-0.113,0.112
1789207957,82910588,11.867,robot_0,0.799,0.407
1789207957,82974409,11.867,robot_2,0.011,0.931
1789207957,83006592,11.867,robot_1,-0.113,0.113
1789207957,303020580,12.087,robot_0,0.799,0.407
1789207957,303085947,12.087,robot_2,0.012,0.931
1789207957,303122534,12.087,robot_1,-0.113,0.113
1789207957,507306759,12.291,robot_0,0.799,0.407
1789207957,507373977,12.291,robot_2,0.012,0.931
1789207957,507416907,12.291,robot_1,-0.113,0.114
1789207957,712340838,12.496,robot_0,0.798,0.408
1789207957,712412923,12.496,robot_2,0.013,0.931
1789207957,712455481,12.496,robot_1,-0.113,0.115
1789207957,916563631,12.701,robot_0,0.798,0.408
1789207957,916636110,12.701,robot_2,0.013,0.931
1789207957,916674753,12.701,robot_1,-0.114,0.114
1789207958,118525344,12.903,robot_0,0.797,0.407
1789207958,118644202,12.903,robot_2,0.013,0.931
1789207958,118679012,12.903,robot_1,-0.194,0.072
1789207958,324529695,13.109,robot_0,0.837,0.324
