elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.171,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.382,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.678,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.978,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.271,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.481,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.774,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.072,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.372,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.672,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.972,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.272,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.572,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.874,robot_2,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
6.274,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.571,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.772,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.077,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.279,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.576,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.880,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.171,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.373,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.673,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.876,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.171,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.383,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.673,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.874,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.080,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.371,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.575,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.872,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.175,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.477,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.775,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.077,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.372,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.580,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.874,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.175,robot_2,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
15.879,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.179,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.471,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.674,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.979,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.185,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.474,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.680,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.979,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
18.272,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
18.577,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
18.874,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
19.175,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
19.476,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
19.774,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
20.075,robot_2,EV_rotate_clockwise,EV_obstacle_front,CORNER,inf,inf,inf
20.273,robot_2,EV_rotate_clockwise,EV_obstacle_front,CORNER,inf,inf,inf
20.375,robot_2,EV_rotate_clockwise,EV_obstacle_front,CORNER,inf,inf,inf
20.575,robot_2,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
23.073,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
23.373,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
23.582,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
23.871,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
24.079,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
24.376,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
24.675,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
24.974,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
25.275,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
25.573,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
25.872,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.175,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.377,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.671,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.873,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.075,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.374,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.673,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.971,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.181,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.472,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.771,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.985,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
29.273,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
29.574,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
29.875,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.173,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.474,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.677,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.977,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
