time_s,coverage_pct
0.872,0.000
1.373,0.000
1.881,0.000
2.373,0.000
2.874,0.000
3.384,0.000
3.874,20.833
4.379,20.833
4.872,20.833
5.373,20.833
5.881,20.833
6.372,20.833
6.872,20.833
7.372,20.833
7.872,20.833
8.372,20.833
8.873,22.917
9.372,25.000
9.885,25.000
10.374,27.083
10.872,29.167
11.380,29.167
11.875,29.167
12.374,29.167
12.872,29.167
13.379,33.333
13.877,33.333
14.372,33.333
14.872,33.333
15.372,35.417
15.880,43.750
16.374,43.750
16.872,43.750
17.377,43.750
17.886,43.750
18.374,43.750
18.873,43.750
19.374,43.750
19.875,47.917
20.374,47.917
20.881,47.917
21.373,47.917
21.885,47.917
22.372,47.917
22.880,47.917
23.372,47.917
23.878,47.917
24.382,47.917
24.876,47.917
25.374,47.917
25.873,47.917
26.383,47.917
26.873,47.917
27.397,47.917
27.876,47.917
28.377,47.917
28.872,47.917
29.375,54.167
29.879,56.250
30.372,56.250
30.874,56.250
31.372,60.417
31.873,64.583
32.372,64.583
32.877,64.583
33.374,64.583
33.873,66.667
34.383,66.667
34.872,66.667
35.375,66.667
35.874,66.667
36.388,66.667
36.873,66.667
37.382,66.667
37.876,66.667
38.375,68.750
38.878,68.750
39.374,68.750
39.873,68.750
40.372,68.750
40.882,70.833
41.383,70.833
41.875,70.833
42.373,70.833
42.872,70.833
43.378,70.833
43.873,70.833
44.372,70.833
44.879,70.833
45.377,70.833
45.877,70.833
46.372,72.917
46.873,72.917
47.374,72.917
47.874,75.000
48.373,75.000
48.889,75.000
49.372,75.000
49.873,75.000
50.374,75.000
50.872,75.000
51.373,75.000
51.872,75.000
52.372,75.000
52.875,75.000
53.375,75.000
53.872,75.000
54.387,75.000
54.878,75.000
55.377,77.083
55.874,77.083
56.375,77.083
56.879,77.083
57.373,77.083
57.884,77.083
58.376,77.083
58.608,77.083
