stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789228593,45323937,3.480,robot_0,-1.790,1.463
1789228593,49733718,3.480,robot_2,2.315,-0.516
1789228593,49802485,3.481,robot_1,0.143,2.261
1789228594,423011676,4.854,robot_0,-1.790,1.463
1789228594,423077475,4.854,robot_2,2.315,-0.516
1789228594,423112576,4.854,robot_1,0.143,2.261
1789228597,401454888,7.832,robot_0,-1.790,1.463
1789228597,401531236,7.832,robot_2,2.315,-0.516
1789228597,401574255,7.832,robot_1,0.143,2.261
1789228597,611336536,8.042,robot_0,-1.846,1.503
1789228597,611413559,8.042,robot_2,2.357,-0.461
1789228597,611448265,8.042,robot_1,0.143,2.262
1789228597,822267188,8.253,robot_0,-1.917,1.554
1789228597,822347797,8.253,robot_2,2.403,-0.400
1789228597,822404460,8.253,robot_1,0.144,2.262
1789228598,30209985,8.461,robot_0,-2.000,1.613
1789228598,30289322,8.461,robot_2,2.370,-0.443
1789228598,30324622,8.461,robot_1,0.145,2.262
1789228598,241001395,8.672,robot_0,-2.066,1.660
1789228598,241124223,8.672,robot_2,2.337,-0.486
1789228598,241153376,8.672,robot_1,0.145,2.262
1789228598,443059625,8.874,robot_0,-2.142,1.714
1789228598,443733540,8.875,robot_2,2.307,-0.527
1789228598,443783294,8.875,robot_1,0.145,2.263
1789228598,645388704,9.076,robot_0,-2.208,1.761
1789228598,645464355,9.076,robot_2,2.307,-0.528
1789228598,645501099,9.076,robot_1,0.146,2.264
1789228598,852179426,9.283,robot_0,-2.276,1.809
1789228598,852260881,9.283,robot_2,2.309,-0.531
1789228598,852302717,9.283,robot_1,0.146,2.264
1789228599,58659785,9.489,robot_0,-2.349,1.861
1789228599,58746915,9.490,robot_2,2.310,-0.533
1789228599,58793287,9.490,robot_1,0.147,2.266
1789228599,271547062,9.702,robot_0,-2.420,1.912
1789228599,271617392,9.702,robot_2,2.310,-0.534
1789228599,271658559,9.702,robot_1,0.146,2.267
1789228599,477852430,9.909,robot_0,-2.494,1.964
1789228599,477942171,9.909,robot_2,2.310,-0.533
1789228599,477988941,9.909,robot_1,0.146,2.267
1789228599,688564237,10.119,robot_0,-2.562,2.013
1789228599,688662429,10.119,robot_2,2.310,-0.533
1789228599,688717645,10.119,robot_1,0.145,2.267
1789228599,939750686,10.371,robot_0,-2.621,2.055
1789228599,939825807,10.371,robot_2,2.311,-0.533
1789228599,939870636,10.371,robot_1,0.145,2.267
1789228600,158912731,10.590,robot_0,-2.670,2.110
1789228600,158983060,10.590,robot_2,2.311,-0.532
1789228600,159023283,10.590,robot_1,0.142,2.248
1789228600,387089160,10.818,robot_0,-2.667,2.153
1789228600,387158498,10.818,robot_2,2.312,-0.532
1789228600,387192426,10.818,robot_1,0.134,2.174
1789228600,597507818,11.028,robot_0,-2.614,2.116
1789228600,597588682,11.028,robot_2,2.312,-0.532
1789228600,597627906,11.028,robot_1,0.123,2.075
1789228600,803594576,11.234,robot_0,-2.592,2.083
1789228600,803668620,11.234,robot_2,2.302,-0.590
1789228600,803709138,11.234,robot_1,0.112,1.977
1789228601,31975248,11.463,robot_0,-2.589,2.046
1789228601,32057582,11.463,robot_2,2.283,-0.690
1789228601,32129931,11.463,robot_1,0.101,1.875
1789228601,240762072,11.672,robot_0,-2.601,2.012
1789228601,240836282,11.672,robot_2,2.264,-0.790
1789228601,240898676,11.672,robot_1,0.090,1.774
1789228601,451115191,11.882,robot_0,-2.568,2.041
1789228601,451184178,11.882,robot_2,2.257,-0.831
1789228601,451226049,11.882,robot_1,0.082,1.704
1789228601,676349949,12.107,robot_0,-2.488,2.089
1789228601,676421588,12.107,robot_2,2.232,-0.898
1789228601,676469199,12.107,robot_1,0.075,1.681
1789228601,895065541,12.326,robot_0,-2.397,2.136
1789228601,895140846,12.326,robot_2,2.193,-0.993
1789228601,895187324,12.326,robot_1,0.037,1.587
1789228602,102349267,12.533,robot_0,-2.328,2.171
1789228602,102430233,12.533,robot_2,2.163,-1.065
1789228602,102477140,12.533,robot_1,0.007,1.518
1789228602,319163320,12.750,robot_0,-2.234,2.219
1789228602,319252495,12.750,robot_2,2.123,-1.162
1789228602,319303999,12.750,robot_1,0.023,1.554
1789228602,521281521,12.952,robot_0,-2.165,2.255
1789228602,521365312,12.952,robot_2,2.093,-1.234
1789228602,521412234,12.952,robot_1,0.022,1.554
1789228602,737424764,13.168,robot_0,-2.074,2.301
1789228602,737513058,13.168,robot_2,2.054,-1.328
1789228602,737560497,13.168,robot_1,-0.018,1.460
1789228602,939169569,13.370,robot_0,-1.989,2.345
1789228602,939256117,13.370,robot_2,2.018,-1.417
1789228602,939302149,13.370,robot_1,-0.049,1.390
1789228603,143016055,13.574,robot_0,-1.917,2.382
1789228603,143090957,13.574,robot_2,1.987,-1.492
1789228603,143132183,13.574,robot_1,-0.052,1.380
1789228603,359133882,13.790,robot_0,-1.829,2.427
1789228603,359229749,13.790,robot_2,1.949,-1.583
1789228603,359264581,13.790,robot_1,-0.069,1.284
1789228603,566105491,13.997,robot_0,-1.743,2.471
1789228603,566185235,13.998,robot_2,1.912,-1.672
1789228603,567481540,13.998,robot_1,-0.075,1.249
1789228603,768901315,14.200,robot_0,-1.674,2.507
1789228603,768979726,14.200,robot_2,1.910,-1.677
1789228603,769032851,14.200,robot_1,-0.092,1.198
1789228603,981624014,14.412,robot_0,-1.580,2.555
1789228603,981736793,14.413,robot_2,1.934,-1.621
