elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.149,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.455,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.759,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.045,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.347,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.644,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.944,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.244,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.544,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.844,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.144,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.444,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.744,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.044,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.344,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.649,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.944,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.250,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.551,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
5.855,robot_0,EV_move_backward,EV_obstacle_left,LEFT,inf,inf,inf
6.149,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
6.444,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
6.648,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
6.944,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
7.249,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
