stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789227250,202502818,robot_0,37,1.000,1.000,1.500,1.500
1789227250,202535611,robot_0,38,1.000,2.000,1.500,2.500
1789227250,202561858,robot_0,45,2.000,1.000,2.500,1.500
1789227250,214048983,robot_0,46,2.000,2.000,2.500,2.500
1789227250,214148417,robot_2,3,-3.000,-1.000,-2.500,-0.500
1789227250,214174970,robot_2,10,-2.000,-2.000,-1.500,-1.500
1789227250,214194203,robot_2,11,-2.000,-1.000,-1.500,-0.500
1789227250,214239180,robot_1,18,-1.000,-2.000,-0.500,-1.500
1789227250,214257559,robot_1,19,-1.000,-1.000,-0.500,-0.500
1789227256,967265577,robot_2,2,-3.000,-2.000,-2.500,-1.500
1789227259,300185021,robot_1,9,-2.000,-3.000,-1.500,-2.500
1789227260,768522282,robot_1,1,-3.000,-3.000,-2.500,-2.500
1789227262,637035063,robot_1,0,-3.000,-4.000,-2.500,-3.500
1789227262,847150841,robot_1,8,-2.000,-4.000,-1.500,-3.500
1789227265,579035057,robot_0,47,2.000,3.000,2.500,3.500
1789227272,386303350,robot_0,39,1.000,3.000,1.500,3.500
1789227277,868629155,robot_2,12,-2.000,0.000,-1.500,0.500
1789227278,92005994,robot_2,20,-1.000,0.000,-0.500,0.500
1789227280,445925166,robot_2,28,0.000,0.000,0.500,0.500
1789227282,302226646,robot_2,29,0.000,1.000,0.500,1.500
1789227283,794906286,robot_2,36,1.000,0.000,1.500,0.500
1789227286,108778370,robot_1,17,-1.000,-3.000,-0.500,-2.500
1789227289,688824150,robot_1,25,0.000,-3.000,0.500,-2.500
1789227289,688845992,robot_1,26,0.000,-2.000,0.500,-1.500
1789227289,889667667,robot_2,21,-1.000,1.000,-0.500,1.500
1789227290,509746431,robot_0,44,2.000,0.000,2.500,0.500
1789227292,400238234,robot_1,27,0.000,-1.000,0.500,-0.500
1789227292,614004018,robot_1,34,1.000,-2.000,1.500,-1.500
1789227293,63667622,robot_1,35,1.000,-1.000,1.500,-0.500
1789227295,195766612,robot_2,4,-3.000,0.000,-2.500,0.500
1789227295,619083724,robot_1,43,2.000,-1.000,2.500,-0.500
1789227299,855411010,robot_2,5,-3.000,1.000,-2.500,1.500
1789227302,589392645,robot_2,6,-3.000,2.000,-2.500,2.500
1789227302,797104889,robot_2,13,-2.000,1.000,-1.500,1.500
1789227303,211584030,robot_2,14,-2.000,2.000,-1.500,2.500
1789227305,321269500,robot_2,7,-3.000,3.000,-2.500,3.500
1789227305,528127533,robot_2,15,-2.000,3.000,-1.500,3.500
