stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789256304,739042712,4.010,robot_1,1.494,0.495
1789256304,739150525,4.010,robot_0,-0.867,2.851
1789256304,750133819,4.021,robot_2,-0.405,1.735
1789256317,455424699,16.726,robot_1,1.494,0.495
1789256317,455491042,16.726,robot_0,-0.867,2.851
1789256317,455530686,16.726,robot_2,-0.405,1.735
1789256321,251402380,20.522,robot_1,1.494,0.495
1789256321,251467166,20.522,robot_0,-0.867,2.851
1789256321,251514186,20.522,robot_2,-0.405,1.735
1789256321,474633833,20.746,robot_1,1.494,0.495
1789256321,479127627,20.750,robot_0,-0.867,2.851
1789256321,479259848,20.750,robot_2,-0.404,1.735
1789256321,682708157,20.954,robot_1,1.506,0.496
1789256321,682771605,20.954,robot_0,-0.873,2.850
1789256321,682815019,20.954,robot_2,-0.389,1.729
1789256321,975612347,21.247,robot_1,1.513,0.496
1789256321,975685110,21.247,robot_0,-0.889,2.848
1789256321,975736964,21.247,robot_2,-0.381,1.727
1789256322,196384848,21.467,robot_1,1.519,0.496
1789256322,196452507,21.467,robot_0,-0.901,2.846
1789256322,196494440,21.467,robot_2,-0.382,1.727
1789256322,407839122,21.679,robot_1,1.523,0.497
1789256322,407918327,21.679,robot_0,-0.909,2.845
1789256322,407972448,21.679,robot_2,-0.383,1.727
1789256322,644437293,21.915,robot_1,1.539,0.497
1789256322,644499880,21.915,robot_0,-0.927,2.842
1789256322,644542027,21.915,robot_2,-0.383,1.727
1789256322,848836199,22.120,robot_1,1.551,0.497
1789256322,848898312,22.120,robot_0,-0.939,2.840
1789256322,877874344,22.149,robot_2,-0.383,1.727
1789256323,88681049,22.360,robot_1,1.572,0.497
1789256323,88742347,22.360,robot_0,-0.955,2.838
1789256323,88780778,22.360,robot_2,-0.383,1.727
1789256323,343928452,22.615,robot_1,1.584,0.497
1789256323,343995724,22.615,robot_0,-0.964,2.837
1789256323,344035766,22.615,robot_2,-0.383,1.727
1789256323,557071188,22.828,robot_1,1.596,0.497
1789256323,557144854,22.828,robot_0,-0.976,2.836
1789256323,557188685,22.828,robot_2,-0.383,1.727
1789256323,805006081,23.076,robot_1,1.611,0.497
1789256323,805083113,23.076,robot_0,-0.987,2.834
1789256323,805126032,23.076,robot_2,-0.383,1.727
1789256324,20448645,23.291,robot_1,1.623,0.497
1789256324,20523566,23.291,robot_0,-0.994,2.833
1789256324,20563273,23.291,robot_2,-0.383,1.727
1789256324,222448907,23.493,robot_1,1.647,0.497
1789256324,222546656,23.493,robot_0,-0.998,2.833
1789256324,222584666,23.493,robot_2,-0.383,1.727
1789256324,422723666,23.694,robot_1,1.661,0.497
1789256324,422803484,23.694,robot_0,-0.998,2.833
1789256324,422845006,23.694,robot_2,-0.383,1.727
1789256324,674852363,23.946,robot_1,1.674,0.497
1789256324,674932588,23.946,robot_0,-0.998,2.833
1789256324,674977551,23.946,robot_2,-0.383,1.727
1789256324,915368874,24.186,robot_1,1.692,0.497
1789256324,915446847,24.186,robot_0,-0.998,2.833
1789256324,915490060,24.186,robot_2,-0.382,1.728
1789256325,143813473,24.415,robot_1,1.707,0.497
1789256325,143910460,24.416,robot_0,-0.998,2.833
1789256325,145375678,24.416,robot_2,-0.382,1.728
1789256325,394287598,24.665,robot_1,1.722,0.497
1789256325,394385242,24.665,robot_0,-0.998,2.833
1789256325,394428367,24.665,robot_2,-0.382,1.728
1789256325,582601746,24.854,robot_1,1.733,0.497
1789256325,582683243,24.854,robot_0,-0.998,2.833
1789256325,582729903,24.854,robot_2,-0.382,1.728
1789256325,803380677,25.074,robot_1,1.740,0.497
1789256325,803456349,25.074,robot_0,-0.998,2.833
1789256325,803501052,25.074,robot_2,-0.382,1.728
1789256326,63852447,25.335,robot_1,1.755,0.497
1789256326,94996292,25.366,robot_0,-0.998,2.833
1789256326,95124292,25.366,robot_2,-0.382,1.728
1789256326,300773971,25.572,robot_1,1.770,0.497
1789256326,300838896,25.572,robot_0,-0.998,2.833
1789256326,300878094,25.572,robot_2,-0.382,1.728
1789256326,522611958,25.794,robot_1,1.789,0.496
1789256326,522684369,25.794,robot_0,-0.998,2.833
1789256326,522726281,25.805,robot_2,-0.382,1.728
1789256326,741636420,26.013,robot_1,1.795,0.496
1789256326,741704385,26.013,robot_0,-0.998,2.833
1789256326,741745941,26.013,robot_2,-0.382,1.728
1789256326,949544298,26.220,robot_1,1.796,0.496
1789256326,949626697,26.221,robot_0,-0.998,2.833
1789256326,949672174,26.221,robot_2,-0.382,1.728
1789256327,153569413,26.424,robot_1,1.800,0.496
1789256327,153640956,26.425,robot_0,-0.998,2.834
1789256327,153679018,26.425,robot_2,-0.382,1.728
1789256327,361604284,26.633,robot_1,1.808,0.495
1789256327,361688352,26.633,robot_0,-0.999,2.834
1789256327,361738899,26.633,robot_2,-0.382,1.728
1789256327,565774215,26.837,robot_1,1.812,0.495
1789256327,565845809,26.837,robot_0,-0.999,2.834
1789256327,565891022,26.837,robot_2,-0.382,1.728
1789256327,774599543,27.046,robot_1,1.812,0.495
1789256327,774673530,27.046,robot_0,-0.999,2.834
1789256327,774713121,27.046,robot_2,-0.382,1.728
1789256328,21208226,27.292,robot_1,1.812,0.495
1789256328,21284815,27.292,robot_0,-0.999,2.834
1789256328,21335491,27.292,robot_2,-0.382,1.728
1789256328,270881419,27.542,robot_1,1.814,0.495
1789256328,270960859,27.542,robot_0,-0.999,2.834
1789256328,270999032,27.542,robot_2,-0.382,1.728
1789256328,526333671,27.797,robot_1,1.831,0.493
1789256328,526401555,27.797,robot_0,-0.999,2.834
1789256328,526442126,27.797,robot_2,-0.384,1.729
1789256328,752681984,28.024,robot_1,1.845,0.490
1789256328,752755049,28.024,robot_0,-0.999,2.834
1789256328,752796551,28.024,robot_2,-0.384,1.729
1789256328,991521395,28.262,robot_1,1.862,0.487
1789256328,991596488,28.263,robot_0,-0.999,2.834
1789256328,991649008,28.263,robot_2,-0.389,1.731
1789256329,193715418,28.465,robot_1,1.870,0.485
1789256329,193795922,28.465,robot_0,-0.999,2.834
1789256329,193848265,28.465,robot_2,-0.399,1.734
1789256329,408350781,28.679,robot_1,1.871,0.485
1789256329,428176669,28.699,robot_0,-0.998,2.835
1789256329,428270618,28.699,robot_2,-0.409,1.737
1789256329,666390712,28.937,robot_1,1.875,0.484
1789256329,666462811,28.937,robot_0,-0.998,2.836
1789256329,666507152,28.937,robot_2,-0.420,1.741
1789256329,904674469,29.176,robot_1,1.879,0.483
1789256329,904749167,29.186,robot_0,-0.997,2.837
1789256329,915178938,29.186,robot_2,-0.424,1.742
1789256330,124521585,29.395,robot_1,1.880,0.483
1789256330,124604026,29.396,robot_0,-0.997,2.837
1789256330,124644182,29.396,robot_2,-0.427,1.743
1789256330,368105327,29.639,robot_1,1.884,0.482
1789256330,368182546,29.639,robot_0,-0.997,2.838
1789256330,368236808,29.660,robot_2,-0.435,1.746
1789256330,607291348,29.878,robot_1,1.893,0.479
1789256330,607363713,29.878,robot_0,-0.999,2.833
1789256330,607425932,29.878,robot_2,-0.436,1.746
1789256330,833697938,30.105,robot_1,1.910,0.474
1789256330,833773124,30.105,robot_0,-1.001,2.830
1789256330,833823396,30.105,robot_2,-0.436,1.746
1789256331,95276304,30.366,robot_1,1.919,0.471
1789256331,112726453,30.384,robot_0,-1.002,2.827
1789256331,112821569,30.384,robot_2,-0.436,1.746
1789256331,301485582,30.572,robot_1,1.922,0.470
1789256331,301562752,30.572,robot_0,-1.002,2.825
1789256331,301601419,30.573,robot_2,-0.436,1.746
1789256331,301636650,30.573,robot_0_carried_generic_box,-1.001,2.830
1789256331,518289425,30.789,robot_1,1.933,0.466
1789256331,518362889,30.789,robot_0,-1.004,2.816
1789256331,518408759,30.789,robot_2,-0.439,1.747
1789256331,518446612,30.789,robot_0_carried_generic_box,-1.002,2.825
1789256331,754507255,31.025,robot_1,1.953,0.459
1789256331,754593306,31.026,robot_0,-1.008,2.797
1789256331,754643303,31.026,robot_2,-0.447,1.749
1789256331,754684476,31.026,robot_0_carried_generic_box,-1.003,2.821
1789256331,973340001,31.244,robot_1,1.965,0.455
1789256331,973419940,31.244,robot_0,-1.010,2.782
1789256331,973471167,31.244,robot_2,-0.448,1.749
1789256331,973518077,31.244,robot_0_carried_generic_box,-1.005,2.814
1789256332,201186185,31.472,robot_1,1.972,0.453
1789256332,201260066,31.472,robot_0,-1.012,2.768
1789256332,201301680,31.472,robot_2,-0.448,1.749
1789256332,201344323,31.472,robot_0_carried_generic_box,-1.008,2.794
1789256332,438394049,31.709,robot_1,1.981,0.450
1789256332,438466233,31.709,robot_0,-1.013,2.760
1789256332,438505989,31.709,robot_2,-0.447,1.749
1789256332,438545394,31.709,robot_0_carried_generic_box,-1.010,2.785
1789256332,671832322,31.943,robot_1,1.995,0.445
1789256332,674962903,31.946,robot_0,-1.015,2.749
1789256332,675086284,31.946,robot_2,-0.447,1.749
1789256332,675138513,31.946,robot_0_carried_generic_box,-1.012,2.770
1789256332,885897222,32.157,robot_1,2.012,0.439
1789256332,885980422,32.157,robot_0,-1.016,2.738
1789256332,886058161,32.157,robot_2,-0.446,1.749
1789256332,886095615,32.157,robot_0_carried_generic_box,-1.014,2.754
1789256333,125462395,32.396,robot_1,2.025,0.434
1789256333,125558965,32.396,robot_0,-1.016,2.735
1789256333,125612277,32.397,robot_2,-0.446,1.748
1789256333,125659363,32.397,robot_0_carried_generic_box,-1.015,2.742
1789256333,349953735,32.621,robot_1,2.032,0.432
1789256333,350031390,32.621,robot_0,-1.016,2.735
1789256333,350072846,32.621,robot_2,-0.446,1.748
1789256333,350111848,32.621,robot_0_carried_generic_box,-1.016,2.739
1789256333,564566923,32.835,robot_1,2.038,0.429
1789256333,564649934,32.836,robot_0,-1.016,2.735
1789256333,564691602,32.836,robot_2,-0.446,1.748
1789256333,564733830,32.836,robot_0_carried_generic_box,-1.016,2.735
1789256333,784996048,33.056,robot_1,2.054,0.424
1789256333,793026083,33.064,robot_0,-1.017,2.735
1789256333,793168383,33.064,robot_2,-0.446,1.748
1789256333,793221684,33.064,robot_0_carried_generic_box,-1.016,2.735
1789256334,33183264,33.304,robot_1,2.067,0.419
1789256334,33260300,33.304,robot_0,-1.017,2.735
1789256334,33299641,33.304,robot_2,-0.451,1.752
1789256334,33337698,33.304,robot_0_carried_generic_box,-1.017,2.735
1789256334,296197922,33.567,robot_1,2.070,0.418
1789256334,296286594,33.567,robot_0,-1.017,2.735
1789256334,296336208,33.567,robot_2,-0.459,1.757
1789256334,296384048,33.567,robot_0_carried_generic_box,-1.017,2.735
1789256334,520838004,33.792,robot_1,2.073,0.416
1789256334,538019522,33.809,robot_0,-1.017,2.735
1789256334,538114454,33.809,robot_2,-0.461,1.758
1789256334,538161685,33.809,robot_0_carried_generic_box,-1.017,2.735
1789256334,738667740,34.010,robot_1,2.081,0.413
1789256334,738748075,34.010,robot_0,-1.017,2.734
1789256334,738798265,34.010,robot_2,-0.461,1.758
1789256334,738839314,34.010,robot_0_carried_generic_box,-1.017,2.735
1789256334,941910808,34.222,robot_1,2.084,0.412
1789256334,951072917,34.222,robot_0,-1.017,2.734
1789256334,951137821,34.222,robot_2,-0.461,1.758
1789256334,951180143,34.222,robot_0_carried_generic_box,-1.017,2.735
1789256335,165128543,34.436,robot_1,2.084,0.412
1789256335,165215049,34.436,robot_0,-1.017,2.734
1789256335,165259489,34.436,robot_2,-0.461,1.758
1789256335,165301691,34.436,robot_0_carried_generic_box,-1.017,2.734
1789256335,378860661,34.650,robot_1,2.084,0.412
1789256335,378943605,34.650,robot_0,-1.017,2.734
1789256335,378986226,34.650,robot_2,-0.461,1.758
1789256335,379025534,34.650,robot_0_carried_generic_box,-1.017,2.734
1789256335,610976773,34.882,robot_1,2.084,0.412
1789256335,611055473,34.882,robot_0,-1.017,2.734
1789256335,611099761,34.882,robot_2,-0.461,1.759
1789256335,611140697,34.882,robot_0_carried_generic_box,-1.017,2.734
1789256335,878850683,35.150,robot_1,2.084,0.412
1789256335,878918789,35.150,robot_0,-1.018,2.734
1789256335,878968383,35.150,robot_2,-0.461,1.759
1789256335,879007891,35.150,robot_0_carried_generic_box,-1.017,2.734
1789256336,122081738,35.393,robot_1,2.084,0.412
1789256336,122193973,35.393,robot_0,-1.018,2.734
1789256336,122247450,35.393,robot_2,-0.461,1.759
1789256336,122293501,35.393,robot_0_carried_generic_box,-1.017,2.734
1789256336,323373393,35.594,robot_1,2.084,0.412
1789256336,323458704,35.594,robot_0,-1.018,2.734
1789256336,323504297,35.594,robot_2,-0.461,1.759
1789256336,323548169,35.594,robot_0_carried_generic_box,-1.018,2.734
1789256336,545858712,35.817,robot_1,2.084,0.412
1789256336,554956020,35.826,robot_0,-1.018,2.734
1789256336,555061700,35.826,robot_2,-0.461,1.759
1789256336,555115238,35.826,robot_0_carried_generic_box,-1.018,2.734
