robot,selected_event,count,percentage
robot_1,EV_approach_color,65,7.683
robot_1,EV_approach_object,42,4.965
robot_1,EV_drop_object,2,0.236
robot_1,EV_drop_zone_blue,1,0.118
robot_1,EV_drop_zone_red,1,0.118
robot_1,EV_move_backward,4,0.473
robot_1,EV_move_forward,385,45.508
robot_1,EV_pick_up_object,2,0.236
robot_1,EV_rotate_clockwise,3,0.355
robot_1,EV_rotate_counterclockwise,10,1.182
robot_1,EV_search_color,98,11.584
robot_1,EV_search_object,218,25.768
robot_1,EV_u_turn,15,1.773
robot_1,TOTAL,846,100.000
