stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789258512,647103558,robot_2,11,-2.000,-1.000,-1.500,-0.500
1789258512,662948450,robot_2,12,-2.000,0.000,-1.500,0.500
1789258512,663054094,robot_0,16,-1.000,-4.000,-0.500,-3.500
1789258512,663073733,robot_0,17,-1.000,-3.000,-0.500,-2.500
1789258512,663094071,robot_0,24,0.000,-4.000,0.500,-3.500
1789258512,663119119,robot_0,25,0.000,-3.000,0.500,-2.500
1789258512,663161956,robot_1,22,-1.000,2.000,-0.500,2.500
1789258512,663179971,robot_1,23,-1.000,3.000,-0.500,3.500
1789258512,663197110,robot_1,30,0.000,2.000,0.500,2.500
1789258532,272408653,robot_2,19,-1.000,-1.000,-0.500,-0.500
1789258532,272433710,robot_2,20,-1.000,0.000,-0.500,0.500
1789258532,931614787,robot_1,31,0.000,3.000,0.500,3.500
1789258535,892522792,robot_0,8,-2.000,-4.000,-1.500,-3.500
1789258535,892539869,robot_0,9,-2.000,-3.000,-1.500,-2.500
1789258550,144713441,robot_2,27,0.000,-1.000,0.500,-0.500
1789258550,773214733,robot_2,28,0.000,0.000,0.500,0.500
1789258564,360300481,robot_1,15,-2.000,3.000,-1.500,3.500
1789258564,591881939,robot_1,14,-2.000,2.000,-1.500,2.500
1789258567,722314452,robot_2,35,1.000,-1.000,1.500,-0.500
1789258581,882304052,robot_0,18,-1.000,-2.000,-0.500,-1.500
1789258583,836390299,robot_0,26,0.000,-2.000,0.500,-1.500
1789258585,445687978,robot_1,7,-3.000,3.000,-2.500,3.500
1789258585,718487316,robot_1,6,-3.000,2.000,-2.500,2.500
1789258588,325261681,robot_2,36,1.000,0.000,1.500,0.500
1789258602,180095348,robot_0,34,1.000,-2.000,1.500,-1.500
1789258618,411712435,robot_1,13,-2.000,1.000,-1.500,1.500
1789258626,649829217,robot_1,21,-1.000,1.000,-0.500,1.500
1789258634,161047233,robot_2,10,-2.000,-2.000,-1.500,-1.500
1789258650,828641456,robot_1,29,0.000,1.000,0.500,1.500
1789258703,431532628,robot_1,43,2.000,-1.000,2.500,-0.500
1789258703,909328162,robot_1,44,2.000,0.000,2.500,0.500
1789258724,649343908,robot_1,37,1.000,1.000,1.500,1.500
1789258724,649367291,robot_1,45,2.000,1.000,2.500,1.500
1789258739,90682412,robot_1,38,1.000,2.000,1.500,2.500
1789258741,118449100,robot_1,46,2.000,2.000,2.500,2.500
1789258800,906072633,robot_1,39,1.000,3.000,1.500,3.500
1789258800,906103705,robot_1,47,2.000,3.000,2.500,3.500
1789258832,399003284,robot_0,4,-3.000,0.000,-2.500,0.500
1789258910,843873887,robot_0,5,-3.000,1.000,-2.500,1.500
1789258993,369480415,robot_2,33,1.000,-3.000,1.500,-2.500
1789259059,966402989,robot_2,32,1.000,-4.000,1.500,-3.500
1789259086,359372253,robot_2,41,2.000,-3.000,2.500,-2.500
1789259103,218719692,robot_2,42,2.000,-2.000,2.500,-1.500
