elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.257,robot_1,EV_search_object,EV_path_clear,CLEAR
0.392,robot_1,EV_search_object,EV_path_clear,CLEAR
0.589,robot_1,EV_move_forward,EV_path_clear,CLEAR
0.890,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.189,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.490,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.789,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.095,robot_1,EV_search_object,EV_path_clear,CLEAR
2.295,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.589,robot_1,EV_search_object,EV_path_clear,CLEAR
2.789,robot_1,EV_search_object,EV_path_clear,CLEAR
2.899,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.190,robot_1,EV_search_object,EV_path_clear,CLEAR
3.389,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.677,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.900,robot_1,EV_move_forward,EV_path_clear|EV_object_not_visible,CLEAR
4.142,robot_1,EV_move_forward,EV_path_clear,CLEAR
4.426,robot_1,EV_move_forward,EV_path_clear,CLEAR
4.692,robot_1,EV_move_forward,EV_path_clear,CLEAR
5.035,robot_1,EV_search_object,EV_path_clear,CLEAR
5.257,robot_1,EV_search_object,EV_path_clear,CLEAR
5.403,robot_1,EV_move_forward,EV_path_clear,CLEAR
5.746,robot_1,EV_move_forward,EV_path_clear,CLEAR
6.024,robot_1,EV_move_forward,EV_path_clear|EV_object_not_visible,CLEAR
6.316,robot_1,EV_move_forward,EV_path_clear,CLEAR
6.532,robot_1,EV_search_object,EV_recieve_drop_zone_blue|EV_path_clear,CLEAR
6.711,robot_1,EV_move_forward,EV_path_clear,CLEAR
7.016,robot_1,EV_move_forward,EV_path_clear,CLEAR
7.319,robot_1,EV_move_forward,EV_path_clear,CLEAR
7.593,robot_1,EV_search_object,EV_path_clear,CLEAR
7.844,robot_1,EV_search_object,EV_path_clear,CLEAR
8.027,robot_1,EV_search_object,EV_path_clear,CLEAR
8.249,robot_1,EV_search_object,EV_path_clear,CLEAR
8.401,robot_1,EV_move_forward,EV_path_clear|EV_object_not_visible,CLEAR
8.701,robot_1,EV_search_object,EV_path_clear,CLEAR
8.955,robot_1,EV_search_object,EV_path_clear,CLEAR
9.138,robot_1,EV_search_object,EV_path_clear,CLEAR
9.289,robot_1,EV_search_object,EV_path_clear,CLEAR
9.428,robot_1,EV_search_object,EV_path_clear,CLEAR
9.594,robot_1,EV_search_object,EV_path_clear,CLEAR
9.849,robot_1,EV_search_object,EV_path_clear,CLEAR
9.976,robot_1,EV_search_object,EV_path_clear,CLEAR
10.242,robot_1,EV_search_object,EV_path_clear,CLEAR
10.407,robot_1,EV_move_forward,EV_path_clear,CLEAR
10.632,robot_1,EV_move_forward,EV_path_clear,CLEAR
10.934,robot_1,EV_search_object,EV_path_clear|EV_object_not_visible,CLEAR
11.103,robot_1,EV_move_forward,EV_path_clear,CLEAR
11.423,robot_1,EV_search_object,EV_path_clear,CLEAR
11.619,robot_1,EV_move_forward,EV_path_clear,CLEAR
11.948,robot_1,EV_move_forward,EV_path_clear,CLEAR
12.206,robot_1,EV_search_object,EV_path_clear,CLEAR
12.322,robot_1,EV_search_object,EV_path_clear,CLEAR
