stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789267173,897616172,robot_0,5,-3.000,1.000,-2.500,1.500
1789267173,897651535,robot_0,13,-2.000,1.000,-1.500,1.500
1789267173,897704125,robot_1,21,-1.000,1.000,-0.500,1.500
1789267173,897724060,robot_1,22,-1.000,2.000,-0.500,2.500
1789267173,897745586,robot_1,29,0.000,1.000,0.500,1.500
1789267173,897767346,robot_1,30,0.000,2.000,0.500,2.500
1789267173,897815051,robot_2,26,0.000,-2.000,0.500,-1.500
1789267173,897836514,robot_2,34,1.000,-2.000,1.500,-1.500
1789267259,626827314,robot_2,27,0.000,-1.000,0.500,-0.500
1789267313,396554475,robot_0,4,-3.000,0.000,-2.500,0.500
1789267313,396588866,robot_0,12,-2.000,0.000,-1.500,0.500
1789267322,660419549,robot_2,35,1.000,-1.000,1.500,-0.500
