elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
2.007,robot_0,EV_move_backward,EV_path_clear,CLEAR
2.261,robot_0,EV_rotate_counterclockwise,EV_path_clear,CLEAR
2.459,robot_0,EV_move_forward,EV_path_clear,CLEAR
2.841,robot_0,EV_rotate_counterclockwise,EV_path_clear,CLEAR
2.951,robot_0,EV_search_object,EV_path_clear,CLEAR
3.094,robot_0,EV_u_turn,EV_path_clear,CLEAR
6.594,robot_0,EV_move_forward,EV_path_clear,CLEAR
6.894,robot_0,EV_move_backward,EV_path_clear,CLEAR
7.194,robot_0,EV_u_turn,EV_path_clear,CLEAR
7.294,robot_0,EV_move_backward,EV_path_clear,CLEAR
7.594,robot_0,EV_move_backward,EV_path_clear,CLEAR
7.852,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
7.969,robot_0,EV_rotate_counterclockwise,EV_path_clear,CLEAR
8.132,robot_0,EV_rotate_counterclockwise,EV_object_not_visible|EV_path_clear,CLEAR
8.319,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
8.594,robot_0,EV_approach_object,EV_path_clear,CLEAR
8.832,robot_0,EV_move_forward,EV_path_clear,CLEAR
9.116,robot_0,EV_rotate_counterclockwise,EV_path_clear,CLEAR
9.239,robot_0,EV_u_turn,EV_path_clear,CLEAR
13.082,robot_0,EV_rotate_clockwise,EV_object_visible|EV_path_clear,CLEAR
13.208,robot_0,EV_approach_object,EV_path_clear,CLEAR
13.501,robot_0,EV_move_forward,EV_path_clear,CLEAR
13.725,robot_0,EV_u_turn,EV_path_clear,CLEAR
13.801,robot_0,EV_rotate_counterclockwise,EV_path_clear,CLEAR
14.002,robot_0,EV_move_forward,EV_path_clear,CLEAR
14.342,robot_0,EV_move_backward,EV_path_clear,CLEAR
14.617,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
14.840,robot_0,EV_rotate_counterclockwise,EV_object_visible|EV_path_clear,CLEAR
15.088,robot_0,EV_move_forward,EV_path_clear,CLEAR
15.315,robot_0,EV_approach_object,EV_path_clear,CLEAR
15.602,robot_0,EV_move_forward,EV_path_clear,CLEAR
15.837,robot_0,EV_move_backward,EV_path_clear,CLEAR
16.100,robot_0,EV_u_turn,EV_path_clear,CLEAR
19.950,robot_0,EV_approach_object,EV_object_visible|EV_path_clear,CLEAR
20.232,robot_0,EV_approach_object,EV_path_clear,CLEAR
20.548,robot_0,EV_u_turn,EV_path_clear,CLEAR
20.651,robot_0,EV_u_turn,EV_path_clear,CLEAR
