elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.181,robot_1,EV_search_color,EV_path_clear,CLEAR
0.282,robot_1,EV_search_color,EV_path_clear,CLEAR
0.388,robot_1,EV_search_color,EV_path_clear,CLEAR
0.596,robot_1,EV_search_color,EV_path_clear,CLEAR
0.783,robot_1,EV_search_color,EV_path_clear,CLEAR
0.884,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.183,robot_1,EV_search_color,EV_path_clear,CLEAR
1.381,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.681,robot_1,EV_search_color,EV_path_clear,CLEAR
1.881,robot_1,EV_search_color,EV_path_clear,CLEAR
1.981,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.281,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.581,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.881,robot_1,EV_search_color,EV_path_clear,CLEAR
3.081,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.381,robot_1,EV_search_color,EV_path_clear,CLEAR
3.585,robot_1,EV_search_color,EV_path_clear|EV_red_not_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
3.689,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.985,robot_1,EV_search_color,EV_path_clear,CLEAR
4.190,robot_1,EV_move_forward,EV_path_clear|EV_red_not_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
4.485,robot_1,EV_move_forward,EV_path_clear,CLEAR
4.687,robot_1,EV_u_turn,EV_red_not_visible|EV_blue_not_visible|EV_green_visible|EV_obstacle_right,RIGHT
8.493,robot_1,EV_move_forward,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
8.795,robot_1,EV_search_color,EV_path_clear,CLEAR
8.988,robot_1,EV_move_forward,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
9.189,robot_1,EV_approach_color,EV_path_clear,CLEAR
9.488,robot_1,EV_approach_color,EV_path_clear,CLEAR
9.690,robot_1,EV_move_forward,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
9.983,robot_1,EV_approach_color,EV_path_clear,CLEAR
10.187,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
10.484,robot_1,EV_approach_color,EV_path_clear,CLEAR
10.691,robot_1,EV_approach_color,EV_path_clear,CLEAR
10.981,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
11.188,robot_1,EV_approach_color,EV_path_clear,CLEAR
11.484,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
11.787,robot_1,EV_approach_color,EV_path_clear,CLEAR
12.085,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
12.290,robot_1,EV_move_forward,EV_path_clear,CLEAR
12.499,robot_1,EV_move_forward,EV_path_clear,CLEAR
12.704,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
12.993,robot_1,EV_approach_color,EV_path_clear,CLEAR
13.287,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
13.493,robot_1,EV_approach_color,EV_path_clear,CLEAR
13.793,robot_1,EV_move_forward,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
14.083,robot_1,EV_approach_color,EV_path_clear,CLEAR
14.285,robot_1,EV_move_forward,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
14.497,robot_1,EV_move_forward,EV_path_clear,CLEAR
14.787,robot_1,EV_move_forward,EV_path_clear,CLEAR
15.089,robot_1,EV_approach_color,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
15.389,robot_1,EV_move_forward,EV_path_clear,CLEAR
15.692,robot_1,EV_move_forward,EV_path_clear|EV_red_visible|EV_green_not_visible|EV_blue_not_visible,CLEAR
15.986,robot_1,EV_move_forward,EV_path_clear,CLEAR
16.283,robot_1,EV_move_forward,EV_path_clear|EV_green_not_visible|EV_red_reached|EV_blue_not_visible,CLEAR
16.585,robot_1,EV_search_color,EV_path_clear,CLEAR
16.685,robot_1,EV_move_backward,EV_obstacle_front,CORNER
16.982,robot_1,EV_rotate_counterclockwise,EV_obstacle_front|EV_green_not_visible|EV_red_reached|EV_blue_not_visible,CORNER
17.188,robot_1,EV_rotate_clockwise,EV_obstacle_front,CORNER
17.392,robot_1,EV_rotate_clockwise,EV_obstacle_front|EV_green_not_visible|EV_red_reached|EV_blue_not_visible,CORNER
17.586,robot_1,EV_rotate_counterclockwise,EV_obstacle_front,CORNER
17.783,robot_1,EV_u_turn,EV_obstacle_front,CORNER
21.581,robot_1,EV_move_forward,EV_path_clear|EV_green_not_visible|EV_red_reached|EV_blue_not_visible,CLEAR
21.889,robot_1,EV_rotate_counterclockwise,EV_blue_visible|EV_green_not_visible|EV_red_reached|EV_obstacle_right,RIGHT
24.593,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_green_not_visible|EV_red_reached,CLEAR
24.887,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_green_not_visible|EV_red_reached,CLEAR
25.182,robot_1,EV_approach_color,EV_path_clear,CLEAR
25.385,robot_1,EV_approach_color,EV_path_clear,CLEAR
25.589,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_red_reached|EV_green_visible,CLEAR
25.883,robot_1,EV_approach_color,EV_path_clear,CLEAR
26.192,robot_1,EV_move_forward,EV_path_clear,CLEAR
26.491,robot_1,EV_approach_color,EV_blue_visible|EV_path_clear|EV_red_reached|EV_green_visible,CLEAR
26.786,robot_1,EV_approach_color,EV_path_clear,CLEAR
26.994,robot_1,EV_move_forward,EV_path_clear,CLEAR
27.294,robot_1,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible|EV_green_visible,CLEAR
27.587,robot_1,EV_approach_color,EV_path_clear,CLEAR
27.792,robot_1,EV_approach_color,EV_path_clear,CLEAR
28.084,robot_1,EV_approach_color,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
28.381,robot_1,EV_move_forward,EV_path_clear,CLEAR
28.584,robot_1,EV_move_forward,EV_path_clear,CLEAR
28.791,robot_1,EV_approach_color,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
29.089,robot_1,EV_move_forward,EV_path_clear,CLEAR
29.295,robot_1,EV_approach_color,EV_path_clear,CLEAR
29.582,robot_1,EV_move_forward,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
29.793,robot_1,EV_approach_color,EV_path_clear,CLEAR
30.091,robot_1,EV_move_forward,EV_path_clear,CLEAR
30.396,robot_1,EV_approach_color,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
30.687,robot_1,EV_approach_color,EV_path_clear,CLEAR
30.891,robot_1,EV_move_forward,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
31.199,robot_1,EV_approach_color,EV_path_clear,CLEAR
31.485,robot_1,EV_move_forward,EV_path_clear,CLEAR
31.785,robot_1,EV_move_forward,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
32.000,robot_1,EV_move_forward,EV_path_clear,CLEAR
32.282,robot_1,EV_move_forward,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
32.588,robot_1,EV_approach_color,EV_path_clear,CLEAR
32.891,robot_1,EV_approach_color,EV_path_clear,CLEAR
33.092,robot_1,EV_move_forward,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
33.389,robot_1,EV_move_forward,EV_path_clear,CLEAR
33.694,robot_1,EV_approach_color,EV_path_clear,CLEAR
33.983,robot_1,EV_approach_color,EV_path_clear|EV_red_not_visible|EV_blue_not_visible|EV_green_visible,CLEAR
34.290,robot_1,EV_approach_color,EV_path_clear,CLEAR
34.584,robot_1,EV_search_color,EV_path_clear|EV_green_reached|EV_red_not_visible|EV_blue_not_visible,CLEAR
34.787,robot_1,EV_search_color,EV_path_clear,CLEAR
34.892,robot_1,EV_move_forward,EV_path_clear,CLEAR
35.095,robot_1,EV_search_color,EV_path_clear,CLEAR
35.197,robot_1,EV_move_forward,EV_path_clear,CLEAR
