stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789220785,630155516,robot_1,26,0.000,-2.000,0.500,-1.500
1789220785,630191519,robot_1,27,0.000,-1.000,0.500,-0.500
1789220785,630218262,robot_1,34,1.000,-2.000,1.500,-1.500
1789220785,630239043,robot_1,35,1.000,-1.000,1.500,-0.500
1789220785,630288059,robot_2,36,1.000,0.000,1.500,0.500
1789220785,630308715,robot_2,43,2.000,-1.000,2.500,-0.500
1789220785,630326941,robot_2,44,2.000,0.000,2.500,0.500
1789220785,630377836,robot_0,30,0.000,2.000,0.500,2.500
1789220785,630397986,robot_0,38,1.000,2.000,1.500,2.500
1789220795,465936999,robot_0,29,0.000,1.000,0.500,1.500
1789220796,336896513,robot_0,37,1.000,1.000,1.500,1.500
1789220797,863062886,robot_1,25,0.000,-3.000,0.500,-2.500
1789220797,863108452,robot_1,33,1.000,-3.000,1.500,-2.500
1789220800,446847744,robot_0,46,2.000,2.000,2.500,2.500
1789220800,843771862,robot_0,45,2.000,1.000,2.500,1.500
1789220801,920167117,robot_1,17,-1.000,-3.000,-0.500,-2.500
1789220804,132451169,robot_1,16,-1.000,-4.000,-0.500,-3.500
1789220804,132494700,robot_1,24,0.000,-4.000,0.500,-3.500
1789220804,989587803,robot_2,28,0.000,0.000,0.500,0.500
1789220809,889607572,robot_2,20,-1.000,0.000,-0.500,0.500
1789220810,303359813,robot_2,19,-1.000,-1.000,-0.500,-0.500
1789220815,276420634,robot_2,12,-2.000,0.000,-1.500,0.500
1789220815,918410796,robot_2,11,-2.000,-1.000,-1.500,-0.500
1789220821,293412139,robot_2,10,-2.000,-2.000,-1.500,-1.500
1789220821,293448002,robot_2,18,-1.000,-2.000,-0.500,-1.500
1789220825,859465499,robot_2,9,-2.000,-3.000,-1.500,-2.500
1789220847,831861343,robot_1,21,-1.000,1.000,-0.500,1.500
1789220884,962012906,robot_0,39,1.000,3.000,1.500,3.500
1789220887,544266230,robot_1,32,1.000,-4.000,1.500,-3.500
1789220887,544372279,robot_0,31,0.000,3.000,0.500,3.500
1789220892,262957787,robot_0,22,-1.000,2.000,-0.500,2.500
1789220892,480459311,robot_0,23,-1.000,3.000,-0.500,3.500
1789220897,188339228,robot_0,14,-2.000,2.000,-1.500,2.500
1789220898,466112256,robot_2,13,-2.000,1.000,-1.500,1.500
1789220914,920208386,robot_0,15,-2.000,3.000,-1.500,3.500
1789220924,791137120,robot_1,2,-3.000,-2.000,-2.500,-1.500
1789220925,10818771,robot_1,3,-3.000,-1.000,-2.500,-0.500
1789220938,84482809,robot_1,1,-3.000,-3.000,-2.500,-2.500
1789220954,288283178,robot_1,8,-2.000,-4.000,-1.500,-3.500
1789220974,922757726,robot_0,42,2.000,-2.000,2.500,-1.500
1789220976,203197678,robot_2,41,2.000,-3.000,2.500,-2.500
1789221025,76609796,robot_2,40,2.000,-4.000,2.500,-3.500
1789221059,541745040,robot_2,0,-3.000,-4.000,-2.500,-3.500
