stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789214542,781395834,4.103,robot_0,1.979,0.850
1789214542,781616680,4.103,robot_2,0.209,1.312
1789214542,781728908,4.103,robot_1,1.017,-2.060
1789214545,979009833,7.301,robot_0,1.979,0.850
1789214545,979103964,7.301,robot_2,0.209,1.312
1789214545,979156957,7.301,robot_1,1.017,-2.060
1789214551,150551423,12.482,robot_0,1.979,0.850
1789214551,160800193,12.482,robot_2,0.209,1.312
1789214551,160883525,12.482,robot_1,1.017,-2.060
1789214551,377746869,12.699,robot_0,1.965,0.835
1789214551,377852734,12.699,robot_2,0.238,1.297
1789214551,377902113,12.699,robot_1,1.041,-2.066
1789214551,595625361,12.917,robot_0,1.936,0.801
1789214551,595717261,12.917,robot_2,0.251,1.291
1789214551,595769296,12.917,robot_1,1.051,-2.068
1789214551,796812205,13.118,robot_0,1.918,0.779
1789214551,796911487,13.118,robot_2,0.263,1.286
1789214551,796967833,13.119,robot_1,1.095,-2.081
1789214551,998965386,13.321,robot_0,1.897,0.755
1789214552,216279,13.322,robot_2,0.293,1.276
1789214552,307416,13.322,robot_1,1.127,-2.091
1789214552,221558423,13.543,robot_0,1.869,0.720
1789214552,221694419,13.543,robot_2,0.304,1.272
1789214552,221755208,13.543,robot_1,1.170,-2.103
1789214552,450064275,13.772,robot_0,1.851,0.698
1789214552,450159650,13.772,robot_2,0.314,1.270
1789214552,450214795,13.772,robot_1,1.195,-2.111
1789214552,694419360,14.016,robot_0,1.835,0.678
1789214552,694518468,14.016,robot_2,0.344,1.265
1789214552,694567278,14.016,robot_1,1.195,-2.111
1789214552,914231469,14.236,robot_0,1.817,0.656
1789214552,914332444,14.236,robot_2,0.364,1.263
1789214552,914385408,14.236,robot_1,1.195,-2.110
1789214553,127294519,14.449,robot_0,1.796,0.629
1789214553,127398789,14.449,robot_2,0.414,1.260
1789214553,127455022,14.449,robot_1,1.196,-2.108
1789214553,363321979,14.685,robot_0,1.777,0.604
1789214553,363428605,14.685,robot_2,0.443,1.259
1789214553,363470744,14.685,robot_1,1.195,-2.105
1789214553,565942291,14.888,robot_0,1.763,0.586
1789214553,566030562,14.888,robot_2,0.452,1.260
1789214553,566077749,14.888,robot_1,1.195,-2.103
1789214553,767207733,15.089,robot_0,1.736,0.551
1789214553,767295151,15.089,robot_2,0.481,1.260
1789214553,767338731,15.089,robot_1,1.194,-2.100
1789214553,972714297,15.294,robot_0,1.715,0.523
1789214553,972842133,15.294,robot_2,0.483,1.260
1789214553,972887995,15.294,robot_1,1.192,-2.097
1789214554,190153448,15.512,robot_0,1.700,0.502
1789214554,190254063,15.512,robot_2,0.511,1.265
1789214554,190306676,15.512,robot_1,1.187,-2.095
1789214554,390198599,15.712,robot_0,1.684,0.482
1789214554,390295204,15.712,robot_2,0.544,1.271
1789214554,390350356,15.712,robot_1,1.182,-2.093
1789214554,598397353,15.920,robot_0,1.668,0.461
1789214554,598487625,15.920,robot_2,0.548,1.271
1789214554,598530899,15.920,robot_1,1.177,-2.092
1789214554,804068335,16.126,robot_0,1.652,0.438
1789214554,804156894,16.126,robot_2,0.568,1.277
1789214554,804205666,16.126,robot_1,1.171,-2.091
