elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.156,robot_2,EV_search_color,EV_path_clear,CLEAR
0.344,robot_2,EV_move_backward,EV_path_clear,CLEAR
0.547,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
0.751,robot_2,EV_u_turn,EV_path_clear,CLEAR
4.241,robot_2,EV_u_turn,EV_path_clear,CLEAR
4.347,robot_2,EV_rotate_clockwise,EV_red_not_visible|EV_blue_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
7.147,robot_2,EV_rotate_clockwise,EV_obstacle_left|EV_red_not_visible|EV_blue_not_visible|EV_green_not_visible,LEFT
7.346,robot_2,EV_u_turn,EV_obstacle_left,LEFT
10.647,robot_2,EV_rotate_clockwise,EV_red_not_visible|EV_blue_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
10.749,robot_2,EV_move_forward,EV_obstacle_right,RIGHT
10.950,robot_2,EV_move_forward,EV_obstacle_right,RIGHT
11.245,robot_2,EV_rotate_counterclockwise,EV_blue_visible|EV_red_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
11.450,robot_2,EV_rotate_clockwise,EV_obstacle_right,RIGHT
11.554,robot_2,EV_move_backward,EV_blue_visible|EV_red_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
11.846,robot_2,EV_rotate_clockwise,EV_obstacle_right,RIGHT
12.043,robot_2,EV_rotate_clockwise,EV_blue_visible|EV_red_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
12.241,robot_2,EV_move_forward,EV_obstacle_right,RIGHT
12.442,robot_2,EV_u_turn,EV_blue_visible|EV_red_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
12.540,robot_2,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT
12.647,robot_2,EV_move_backward,EV_obstacle_right,RIGHT
12.949,robot_2,EV_u_turn,EV_blue_visible|EV_red_not_visible|EV_obstacle_right|EV_green_not_visible,RIGHT
16.249,robot_2,EV_move_forward,EV_blue_visible|EV_path_clear|EV_red_not_visible|EV_green_not_visible,CLEAR
