stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789251205,149705408,robot_0,36,1.000,0.000,1.500,0.500
1789251205,149734939,robot_0,37,1.000,1.000,1.500,1.500
1789251205,149756333,robot_0,44,2.000,0.000,2.500,0.500
1789251205,149774442,robot_0,45,2.000,1.000,2.500,1.500
1789251205,149824379,robot_2,21,-1.000,1.000,-0.500,1.500
1789251205,149844606,robot_2,28,0.000,0.000,0.500,0.500
1789251205,149860181,robot_2,29,0.000,1.000,0.500,1.500
1789251205,149894543,robot_1,25,0.000,-3.000,0.500,-2.500
1789251205,149910293,robot_1,26,0.000,-2.000,0.500,-1.500
1789251205,149935082,robot_1,33,1.000,-3.000,1.500,-2.500
1789251205,149952530,robot_1,34,1.000,-2.000,1.500,-1.500
1789251293,641012295,robot_1,18,-1.000,-2.000,-0.500,-1.500
1789251297,483965574,robot_1,17,-1.000,-3.000,-0.500,-2.500
1789251319,842105562,robot_2,20,-1.000,0.000,-0.500,0.500
1789251348,107950022,robot_0,35,1.000,-1.000,1.500,-0.500
1789251348,107984093,robot_0,43,2.000,-1.000,2.500,-0.500
1789251354,835576537,robot_1,27,0.000,-1.000,0.500,-0.500
1789251421,879896266,robot_1,19,-1.000,-1.000,-0.500,-0.500
