stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789241894,851682305,3.729,robot_0,1.608,-2.764
1789241894,851807010,3.729,robot_2,0.925,1.149
1789241894,873116402,3.750,robot_1,-2.080,1.199
1789241897,676637541,6.554,robot_0,1.608,-2.764
1789241897,676705770,6.554,robot_2,0.925,1.149
1789241897,676750551,6.554,robot_1,-2.080,1.199
1789241901,185797108,10.063,robot_0,1.608,-2.764
1789241901,185866894,10.063,robot_2,0.925,1.149
1789241901,185906790,10.063,robot_1,-2.080,1.199
1789241901,398086066,10.275,robot_0,1.616,-2.762
1789241901,398159545,10.275,robot_2,0.895,1.147
1789241901,398211853,10.275,robot_1,-2.074,1.208
1789241901,604016012,10.481,robot_0,1.616,-2.762
1789241901,604088006,10.481,robot_2,0.886,1.147
1789241901,604137333,10.481,robot_1,-2.052,1.241
1789241901,806087885,10.683,robot_0,1.616,-2.762
1789241901,806167093,10.683,robot_2,0.886,1.147
1789241901,806209579,10.683,robot_1,-2.034,1.270
1789241902,22244203,10.899,robot_0,1.616,-2.763
1789241902,22313254,10.899,robot_2,0.886,1.147
1789241902,22356443,10.900,robot_1,-2.007,1.312
1789241902,250733568,11.128,robot_0,1.599,-2.780
1789241902,250814302,11.128,robot_2,0.934,1.146
1789241902,250865197,11.128,robot_1,-2.001,1.321
1789241902,464938350,11.342,robot_0,1.566,-2.814
1789241902,465018258,11.342,robot_2,0.969,1.145
1789241902,465071843,11.342,robot_1,-2.000,1.321
1789241902,678541244,11.556,robot_0,1.541,-2.840
1789241902,678626910,11.556,robot_2,0.999,1.146
1789241902,678682578,11.556,robot_1,-2.000,1.321
1789241902,895482582,11.773,robot_0,1.539,-2.843
1789241902,895634582,11.773,robot_2,1.019,1.147
1789241902,895698764,11.773,robot_1,-2.000,1.320
1789241903,117405971,11.995,robot_0,1.559,-2.823
1789241903,117481211,11.995,robot_2,1.020,1.147
1789241903,117533765,11.995,robot_1,-2.000,1.320
1789241903,332552899,12.210,robot_0,1.587,-2.795
1789241903,332632227,12.210,robot_2,1.020,1.146
1789241903,332681826,12.210,robot_1,-2.000,1.319
1789241903,541323946,12.419,robot_0,1.589,-2.799
1789241903,541404339,12.419,robot_2,1.020,1.146
1789241903,541447644,12.419,robot_1,-2.002,1.319
1789241903,772652031,12.650,robot_0,1.595,-2.808
1789241903,772734817,12.650,robot_2,1.021,1.145
1789241903,772789510,12.650,robot_1,-2.002,1.318
1789241904,5199899,12.882,robot_0,1.602,-2.813
1789241904,5276649,12.882,robot_2,1.022,1.144
1789241904,5322371,12.882,robot_1,-2.002,1.318
1789241904,224856073,13.102,robot_0,1.603,-2.814
1789241904,224940441,13.102,robot_2,1.022,1.144
1789241904,224983842,13.102,robot_1,-2.003,1.317
