stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789316313,318054078,robot_1,2,-3.000,-2.000,-2.500,-1.500
1789316313,318084226,robot_1,3,-3.000,-1.000,-2.500,-0.500
1789316313,318109969,robot_1,10,-2.000,-2.000,-1.500,-1.500
1789316313,318129807,robot_1,11,-2.000,-1.000,-1.500,-0.500
1789316313,318178895,robot_2,28,0.000,0.000,0.500,0.500
1789316313,318201363,robot_2,29,0.000,1.000,0.500,1.500
1789316313,318241296,robot_0,19,-1.000,-1.000,-0.500,-0.500
1789316313,318260229,robot_0,27,0.000,-1.000,0.500,-0.500
1789316411,862878623,robot_2,37,1.000,1.000,1.500,1.500
1789316412,160280933,robot_2,36,1.000,0.000,1.500,0.500
1789316450,904506077,robot_0,18,-1.000,-2.000,-0.500,-1.500
1789316463,76427997,robot_1,12,-2.000,0.000,-1.500,0.500
1789316469,913493500,robot_0,26,0.000,-2.000,0.500,-1.500
1789316470,792288906,robot_1,20,-1.000,0.000,-0.500,0.500
1789316513,629300032,robot_0,25,0.000,-3.000,0.500,-2.500
1789316518,44118893,robot_0,34,1.000,-2.000,1.500,-1.500
1789316522,391710434,robot_0,33,1.000,-3.000,1.500,-2.500
1789316566,635278541,robot_0,42,2.000,-2.000,2.500,-1.500
1789316569,482863288,robot_0,41,2.000,-3.000,2.500,-2.500
1789316612,590640861,robot_1,21,-1.000,1.000,-0.500,1.500
1789316614,387250094,robot_0,35,1.000,-1.000,1.500,-0.500
1789316615,66694864,robot_0,43,2.000,-1.000,2.500,-0.500
1789316669,356132544,robot_1,13,-2.000,1.000,-1.500,1.500
1789316741,451797711,robot_2,30,0.000,2.000,0.500,2.500
1789316861,292690926,robot_0,17,-1.000,-3.000,-0.500,-2.500
1789316886,279768705,robot_1,1,-3.000,-3.000,-2.500,-2.500
1789316886,279803710,robot_1,9,-2.000,-3.000,-1.500,-2.500
1789316901,104631210,robot_2,44,2.000,0.000,2.500,0.500
