elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.151,robot_2,EV_move_forward,EV_path_clear,CLEAR
0.354,robot_2,EV_move_forward,EV_path_clear,CLEAR
0.651,robot_2,EV_move_forward,EV_path_clear,CLEAR
0.951,robot_2,EV_move_forward,EV_path_clear,CLEAR
1.251,robot_2,EV_move_forward,EV_path_clear,CLEAR
1.551,robot_2,EV_search_object,EV_path_clear,CLEAR
1.751,robot_2,EV_move_forward,EV_path_clear,CLEAR
2.051,robot_2,EV_search_object,EV_path_clear,CLEAR
2.251,robot_2,EV_move_forward,EV_path_clear,CLEAR
2.551,robot_2,EV_move_forward,EV_path_clear,CLEAR
2.851,robot_2,EV_search_object,EV_path_clear,CLEAR
3.051,robot_2,EV_search_object,EV_path_clear,CLEAR
3.256,robot_2,EV_search_object,EV_path_clear,CLEAR
3.465,robot_2,EV_move_forward,EV_path_clear,CLEAR
3.762,robot_2,EV_search_object,EV_path_clear,CLEAR
3.879,robot_2,EV_move_forward,EV_path_clear,CLEAR
4.163,robot_2,EV_move_forward,EV_path_clear,CLEAR
4.473,robot_2,EV_search_object,EV_path_clear,CLEAR
4.670,robot_2,EV_move_forward,EV_path_clear,CLEAR
4.963,robot_2,EV_search_object,EV_path_clear,CLEAR
5.160,robot_2,EV_search_object,EV_path_clear,CLEAR
5.358,robot_2,EV_u_turn,EV_obstacle_left,LEFT
9.168,robot_2,EV_search_object,EV_path_clear,CLEAR
9.353,robot_2,EV_move_forward,EV_path_clear,CLEAR
9.562,robot_2,EV_search_object,EV_path_clear,CLEAR
9.760,robot_2,EV_move_forward,EV_path_clear,CLEAR
10.061,robot_2,EV_move_forward,EV_path_clear,CLEAR
10.263,robot_2,EV_search_object,EV_path_clear,CLEAR
10.364,robot_2,EV_move_forward,EV_path_clear,CLEAR
10.652,robot_2,EV_move_forward,EV_path_clear,CLEAR
10.863,robot_2,EV_move_forward,EV_path_clear,CLEAR
11.161,robot_2,EV_move_forward,EV_path_clear,CLEAR
11.371,robot_2,EV_move_forward,EV_path_clear,CLEAR
11.662,robot_2,EV_move_forward,EV_path_clear,CLEAR
11.960,robot_2,EV_move_forward,EV_path_clear,CLEAR
12.171,robot_2,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT
