stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789328846,791072072,3.664,robot_1,-0.330,2.673
1789328846,791221108,3.664,robot_2,-1.525,-0.032
1789328846,791290580,3.664,robot_0,-0.260,-2.976
1789328849,284944525,6.158,robot_1,-0.330,2.673
1789328849,285019249,6.158,robot_2,-1.525,-0.032
1789328849,285053631,6.158,robot_0,-0.260,-2.976
1789328854,31703369,10.905,robot_1,-0.330,2.673
1789328854,31776535,10.905,robot_2,-1.525,-0.032
1789328854,31806926,10.905,robot_0,-0.260,-2.976
1789328854,250942091,11.124,robot_1,-0.331,2.699
1789328854,251015798,11.124,robot_2,-1.500,-0.030
1789328854,251052463,11.124,robot_0,-0.295,-2.972
1789328854,465689279,11.339,robot_1,-0.331,2.699
1789328854,465771137,11.339,robot_2,-1.451,-0.026
1789328854,465808102,11.339,robot_0,-0.349,-2.966
1789328854,686104606,11.559,robot_1,-0.331,2.701
1789328854,686169771,11.559,robot_2,-1.447,-0.025
1789328854,686198809,11.559,robot_0,-0.403,-2.961
1789328854,886250707,11.759,robot_1,-0.322,2.736
1789328854,886334843,11.759,robot_2,-1.430,-0.021
1789328854,886373541,11.759,robot_0,-0.448,-2.957
1789328855,86269832,11.959,robot_1,-0.311,2.773
1789328855,86338738,11.959,robot_2,-1.378,-0.007
1789328855,86372035,11.959,robot_0,-0.515,-2.950
1789328855,320388688,12.193,robot_1,-0.311,2.773
1789328855,320448795,12.193,robot_2,-1.377,-0.007
1789328855,320473556,12.193,robot_0,-0.525,-2.949
1789328855,536751629,12.410,robot_1,-0.305,2.779
1789328855,536823858,12.410,robot_2,-1.339,0.013
1789328855,536894872,12.410,robot_0,-0.570,-2.948
1789328855,749791709,12.623,robot_1,-0.271,2.817
1789328855,749879212,12.623,robot_2,-1.328,0.019
1789328855,749915164,12.623,robot_0,-0.624,-2.948
1789328855,957556214,12.831,robot_1,-0.235,2.854
1789328855,957630213,12.831,robot_2,-1.325,0.022
1789328855,957662654,12.831,robot_0,-0.647,-2.948
1789328856,169908221,13.043,robot_1,-0.195,2.894
1789328856,169996250,13.043,robot_2,-1.290,0.059
1789328856,170040653,13.043,robot_0,-0.647,-2.948
1789328856,374329602,13.247,robot_1,-0.159,2.930
1789328856,374409776,13.247,robot_2,-1.258,0.099
1789328856,374455340,13.247,robot_0,-0.647,-2.948
1789328856,577401609,13.450,robot_1,-0.123,2.965
1789328856,577483930,13.450,robot_2,-1.226,0.139
1789328856,577524380,13.451,robot_0,-0.661,-2.954
1789328856,795054612,13.668,robot_1,-0.114,2.974
1789328856,795125571,13.668,robot_2,-1.190,0.183
1789328856,795167188,13.668,robot_0,-0.710,-2.979
1789328857,2203948,13.875,robot_1,-0.081,3.002
1789328857,2272462,13.875,robot_2,-1.160,0.221
1789328857,2307169,13.875,robot_0,-0.724,-2.987
1789328857,205498534,14.078,robot_1,-0.059,3.020
1789328857,205570705,14.079,robot_2,-1.127,0.263
1789328857,205604571,14.079,robot_0,-0.761,-3.012
