elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
4.684,robot_1,EV_u_turn,EV_path_clear,CLEAR
8.535,robot_1,EV_u_turn,EV_path_clear,CLEAR
8.856,robot_1,EV_move_backward,EV_path_clear,CLEAR
9.335,robot_1,EV_u_turn,EV_path_clear,CLEAR
9.544,robot_1,EV_move_backward,EV_path_clear,CLEAR
10.046,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
10.343,robot_1,EV_search_object,EV_path_clear,CLEAR
10.510,robot_1,EV_search_object,EV_path_clear,CLEAR
10.807,robot_1,EV_move_backward,EV_path_clear,CLEAR
11.157,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
11.435,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
11.658,robot_1,EV_u_turn,EV_path_clear,CLEAR
15.030,robot_1,EV_move_forward,EV_path_clear,CLEAR
15.370,robot_1,EV_move_backward,EV_path_clear,CLEAR
15.755,robot_1,EV_search_object,EV_path_clear,CLEAR
15.948,robot_1,EV_search_object,EV_path_clear,CLEAR
16.106,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
16.347,robot_1,EV_move_forward,EV_path_clear,CLEAR
16.723,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
16.916,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
17.080,robot_1,EV_move_backward,EV_path_clear,CLEAR
17.438,robot_1,EV_move_forward,EV_path_clear,CLEAR
17.753,robot_1,EV_search_object,EV_path_clear,CLEAR
17.949,robot_1,EV_move_forward,EV_path_clear,CLEAR
18.351,robot_1,EV_search_object,EV_path_clear,CLEAR
18.559,robot_1,EV_u_turn,EV_path_clear,CLEAR
22.213,robot_1,EV_move_forward,EV_path_clear,CLEAR
22.529,robot_1,EV_search_object,EV_path_clear,CLEAR
22.770,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
22.978,robot_1,EV_move_forward,EV_path_clear,CLEAR
23.234,robot_1,EV_search_object,EV_path_clear,CLEAR
23.438,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR
23.595,robot_1,EV_move_forward,EV_path_clear,CLEAR
24.074,robot_1,EV_u_turn,EV_path_clear,CLEAR
24.299,robot_1,EV_rotate_clockwise,EV_path_clear,CLEAR
24.493,robot_1,EV_move_backward,EV_path_clear,CLEAR
24.839,robot_1,EV_u_turn,EV_path_clear,CLEAR
28.229,robot_1,EV_search_object,EV_path_clear,CLEAR
