stamp_sec,key,entity_a_bump_direction,entity_b_bump_direction,entity_a_event,entity_b_event
203,"('robot_0', 'robot_2')",right,left,ZONE_ESCAPE_TURN,EV_search_object
324,"('robot_0', 'north_wall::link::collision')",right,,EV_move_forward,
335,"('robot_0', 'north_wall::link::collision')",back,,EV_move_backward,
337,"('robot_0', 'west_wall::link::collision')",back,,ZONE_ESCAPE_REVERSE,
337,"('robot_0', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
343,"('robot_0', 'north_wall::link::collision')",left,,ZONE_ESCAPE_TURN,
347,"('robot_0', 'north_wall::link::collision')",right,,EV_rotate_counterclockwise,
347,"('robot_0', 'west_wall::link::collision')",right,,CONTACT_RECOVERY,
352,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
355,"('robot_0', 'west_wall::link::collision')",front,,EV_search_object,
357,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
359,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
362,"('robot_0', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
365,"('robot_0', 'north_wall::link::collision')",front,,CONTACT_RECOVERY,
367,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
368,"('robot_0', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
371,"('robot_0', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
374,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
378,"('robot_0', 'west_wall::link::collision')",left,,EV_rotate_counterclockwise,
380,"('robot_0', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
382,"('robot_0', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
386,"('robot_0', 'north_wall::link::collision')",front,,CONTACT_RECOVERY,
388,"('robot_0', 'west_wall::link::collision')",left,,CONTACT_RECOVERY,
391,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
394,"('robot_0', 'west_wall::link::collision')",front,,CONTACT_RECOVERY,
396,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
398,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
400,"('robot_0', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
403,"('robot_0', 'west_wall::link::collision')",left,,CONTACT_RECOVERY,
405,"('robot_0', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
407,"('robot_0', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
410,"('robot_0', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
413,"('robot_0', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
