stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789327630,169922776,robot_2,11,-2.000,-1.000,-1.500,-0.500
1789327630,169960003,robot_2,12,-2.000,0.000,-1.500,0.500
1789327630,170024523,robot_0,16,-1.000,-4.000,-0.500,-3.500
1789327630,170049859,robot_0,17,-1.000,-3.000,-0.500,-2.500
1789327630,170077070,robot_0,24,0.000,-4.000,0.500,-3.500
1789327630,170102531,robot_0,25,0.000,-3.000,0.500,-2.500
1789327630,170155420,robot_1,22,-1.000,2.000,-0.500,2.500
1789327630,170179339,robot_1,23,-1.000,3.000,-0.500,3.500
1789327630,170203279,robot_1,30,0.000,2.000,0.500,2.500
1789327646,843681607,robot_2,19,-1.000,-1.000,-0.500,-0.500
1789327654,467333249,robot_2,20,-1.000,0.000,-0.500,0.500
1789327729,54358223,robot_1,21,-1.000,1.000,-0.500,1.500
1789327729,54384978,robot_1,29,0.000,1.000,0.500,1.500
1789327739,603884118,robot_2,3,-3.000,-1.000,-2.500,-0.500
1789327761,957579366,robot_2,4,-3.000,0.000,-2.500,0.500
1789327835,586044263,robot_0,9,-2.000,-3.000,-1.500,-2.500
1789327840,520309981,robot_0,18,-1.000,-2.000,-0.500,-1.500
1789327841,164507370,robot_0,10,-2.000,-2.000,-1.500,-1.500
1789327871,627051575,robot_0,8,-2.000,-4.000,-1.500,-3.500
1789328083,499504675,robot_2,5,-3.000,1.000,-2.500,1.500
1789328136,49943272,robot_2,13,-2.000,1.000,-1.500,1.500
1789328189,910658823,robot_0,1,-3.000,-3.000,-2.500,-2.500
1789328209,503313172,robot_0,0,-3.000,-4.000,-2.500,-3.500
