elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.109,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.309,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.511,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.809,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.908,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
3.209,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
3.509,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
3.809,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
4.109,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
4.408,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
4.709,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
5.009,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
5.309,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
5.609,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
5.909,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
6.209,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
6.509,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
6.809,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
7.109,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.409,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.709,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.009,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.309,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR,inf,inf,inf
8.509,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.808,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.109,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.309,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.609,robot_1,EV_u_turn,EV_path_clear,CLEAR,inf,inf,inf
11.709,robot_1,EV_rotate_counterclockwise,EV_path_clear,CLEAR,inf,inf,inf
11.909,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
12.209,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
12.509,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
12.809,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
13.109,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
14.409,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
14.708,robot_1,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
15.009,robot_1,EV_rotate_clockwise,EV_obstacle_left,CLEAR,inf,inf,inf
15.209,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
15.509,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
15.808,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.109,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.409,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
16.708,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.009,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.309,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.609,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
17.909,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
18.209,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
18.509,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
18.809,robot_1,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
19.109,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
21.209,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
21.509,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
21.809,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
22.109,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
22.409,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
22.708,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
