stamp_sec,key,entity_a_bump_direction,entity_b_bump_direction,entity_a_event,entity_b_event
1565,"('robot_0', 'robot_1')",right,right,EV_u_turn,EV_move_forward
1571,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
1577,"('robot_2', 'south_wall::link::collision')",left,,EV_move_forward,
1578,"('robot_2', 'south_wall::link::collision')",front,,CONTACT_RECOVERY,
1582,"('robot_2', 'south_wall::link::collision')",left,,EV_move_forward,
1583,"('robot_1', 'south_wall::link::collision')",back,,EV_move_forward,
1585,"('robot_2', 'south_wall::link::collision')",right,,EV_u_turn,
1588,"('robot_2', 'south_wall::link::collision')",left,,EV_move_forward,
1595,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
1600,"('robot_0', 'robot_2')",right,front,EV_move_forward,EV_move_forward
1604,"('robot_1', 'west_wall::link::collision')",right,,EV_u_turn,
1605,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
1607,"('robot_0', 'robot_2')",right,left,EV_move_forward,EV_move_forward
1608,"('robot_0', 'east_wall::link::collision')",right,,CONTACT_RECOVERY,
1613,"('robot_0', 'east_wall::link::collision')",front,,CONTACT_RECOVERY,
1616,"('robot_1', 'robot_2')",front,right,EV_move_forward,EV_move_forward
1617,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1622,"('robot_0', 'robot_2')",front,left,EV_move_forward,EV_move_forward
1627,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1644,"('robot_2', 'west_wall::link::collision')",right,,EV_move_forward,
1648,"('robot_1', 'west_wall::link::collision')",back,,EV_move_forward,
1658,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1659,"('robot_2', 'west_wall::link::collision')",right,,EV_move_forward,
1660,"('robot_0', 'east_wall::link::collision')",front,,EV_move_backward,
1670,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
1671,"('robot_1', 'east_wall::link::collision')",back,,EV_move_forward,
1681,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
1686,"('robot_2', 'west_wall::link::collision')",right,,EV_move_forward,
1691,"('robot_2', 'west_wall::link::collision')",back,,EV_move_forward,
1699,"('robot_2', 'west_wall::link::collision')",back,,EV_move_forward,
1713,"('robot_1', 'west_wall::link::collision')",left,,EV_move_forward,
1720,"('robot_2', 'west_wall::link::collision')",back,,CONTACT_RECOVERY,
1725,"('robot_2', 'west_wall::link::collision')",front,,EV_move_forward,
1729,"('robot_1', 'south_wall::link::collision')",left,,EV_move_forward,
1729,"('robot_1', 'west_wall::link::collision')",left,,CONTACT_RECOVERY,
1732,"('robot_1', 'west_wall::link::collision')",back,,EV_move_forward,
1734,"('robot_1', 'south_wall::link::collision')",front,,CONTACT_RECOVERY,
1734,"('robot_1', 'west_wall::link::collision')",front,,CONTACT_RECOVERY,
1736,"('robot_1', 'south_wall::link::collision')",right,,CONTACT_RECOVERY,
1739,"('robot_1', 'west_wall::link::collision')",right,,CONTACT_RECOVERY,
1740,"('robot_0', 'east_wall::link::collision')",right,,EV_move_forward,
1745,"('robot_1', 'south_wall::link::collision')",front,,CONTACT_RECOVERY,
1747,"('robot_0', 'east_wall::link::collision')",right,,EV_move_forward,
1750,"('robot_1', 'south_wall::link::collision')",right,,CONTACT_RECOVERY,
1751,"('robot_1', 'west_wall::link::collision')",front,,CONTACT_RECOVERY,
1754,"('robot_1', 'south_wall::link::collision')",front,,CONTACT_RECOVERY,
1757,"('robot_1', 'west_wall::link::collision')",left,,CONTACT_RECOVERY,
1758,"('robot_0', 'east_wall::link::collision')",right,,EV_move_forward,
1761,"('robot_1', 'south_wall::link::collision')",left,,CONTACT_RECOVERY,
1763,"('robot_1', 'west_wall::link::collision')",left,,CONTACT_RECOVERY,
1765,"('robot_2', 'east_wall::link::collision')",left,,EV_move_forward,
1765,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1768,"('robot_1', 'south_wall::link::collision')",left,,CONTACT_RECOVERY,
1770,"('robot_1', 'west_wall::link::collision')",back,,CONTACT_RECOVERY,
1773,"('robot_0', 'east_wall::link::collision')",front,,EV_move_forward,
1774,"('robot_1', 'south_wall::link::collision')",back,,CONTACT_RECOVERY,
1776,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1776,"('robot_1', 'west_wall::link::collision')",right,,CONTACT_RECOVERY,
1782,"('robot_1', 'west_wall::link::collision')",back,,EV_rotate_counterclockwise,
1785,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1786,"('robot_1', 'south_wall::link::collision')",front,,EV_move_forward,
1799,"('robot_1', 'robot_2')",right,right,EV_move_forward,EV_u_turn
1807,"('robot_1', 'south_wall::link::collision')",back,,EV_move_forward,
1808,"('robot_1', 'south_wall::link::collision')",right,,CONTACT_RECOVERY,
1811,"('robot_1', 'south_wall::link::collision')",left,,EV_move_forward,
1814,"('robot_1', 'west_wall::link::collision')",right,,EV_move_forward,
1819,"('robot_2', 'south_wall::link::collision')",back,,EV_move_forward,
1819,"('robot_0', 'north_wall::link::collision')",right,,EV_move_forward,
1820,"('robot_1', 'south_wall::link::collision')",front,,CONTACT_RECOVERY,
1826,"('robot_1', 'south_wall::link::collision')",front,,CONTACT_RECOVERY,
1827,"('robot_0', 'north_wall::link::collision')",right,,EV_move_forward,
1841,"('robot_2', 'south_wall::link::collision')",left,,EV_move_forward,
1846,"('robot_0', 'north_wall::link::collision')",back,,EV_move_forward,
1856,"('robot_0', 'robot_1')",front,left,EV_move_forward,none
1863,"('robot_0', 'robot_2')",back,right,EV_move_forward,EV_move_forward
1867,"('robot_1', 'north_wall::link::collision')",back,,EV_move_forward,
1875,"('robot_1', 'north_wall::link::collision')",back,,EV_move_forward,
1882,"('robot_0', 'north_wall::link::collision')",back,,EV_move_forward,
1885,"('robot_1', 'north_wall::link::collision')",back,,EV_move_forward,
1886,"('robot_2', 'south_wall::link::collision')",left,,EV_move_forward,
1888,"('robot_2', 'south_wall::link::collision')",right,,EV_move_forward,
1891,"('robot_2', 'south_wall::link::collision')",left,,EV_move_forward,
1896,"('robot_0', 'north_wall::link::collision')",back,,EV_move_forward,
1898,"('robot_0', 'north_wall::link::collision')",front,,EV_move_forward,
1900,"('robot_0', 'north_wall::link::collision')",back,,EV_move_forward,
1901,"('robot_2', 'east_wall::link::collision')",right,,EV_move_forward,
1902,"('robot_0', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
