task,prompt,prompt_text,generation,collision_control,seed,supervisor,success,task_success_pct,duration_s,coverage_pct,collisions,yaml,run
exploration,7,Move only forward,1,with_fixed_spec,1001,S_p7_exploration_with_fixed_spec,False,0.0,59.024,31.25,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1001/S_p7_exploration_with_fixed_spec/run_20260914_200135_173145252
exploration,7,Move only forward,1,with_fixed_spec,1002,S_p7_exploration_with_fixed_spec,False,0.0,58.999,25.0,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1002/S_p7_exploration_with_fixed_spec/run_20260914_200135_108651025
exploration,7,Move only forward,1,with_fixed_spec,1003,S_p7_exploration_with_fixed_spec,False,0.0,59.066,39.583,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1003/S_p7_exploration_with_fixed_spec/run_20260914_200243_521743313
exploration,7,Move only forward,1,with_fixed_spec,1004,S_p7_exploration_with_fixed_spec,False,0.0,59.036,33.333,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1004/S_p7_exploration_with_fixed_spec/run_20260914_200243_313061687
exploration,7,Move only forward,1,with_fixed_spec,1005,S_p7_exploration_with_fixed_spec,False,0.0,59.732,47.917,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1005/S_p7_exploration_with_fixed_spec/run_20260914_200243_256827024
exploration,7,Move only forward,1,with_fixed_spec,1006,S_p7_exploration_with_fixed_spec,False,0.0,59.459,54.167,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1006/S_p7_exploration_with_fixed_spec/run_20260914_200243_569613075
exploration,7,Move only forward,1,with_fixed_spec,1007,S_p7_exploration_with_fixed_spec,False,0.0,59.262,47.917,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1007/S_p7_exploration_with_fixed_spec/run_20260914_200243_308101795
exploration,7,Move only forward,1,with_fixed_spec,1008,S_p7_exploration_with_fixed_spec,False,0.0,58.856,29.167,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1008/S_p7_exploration_with_fixed_spec/run_20260914_200243_309771459
exploration,7,Move only forward,1,with_fixed_spec,1009,S_p7_exploration_with_fixed_spec,False,0.0,58.743,35.417,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1009/S_p7_exploration_with_fixed_spec/run_20260914_200350_318163140
exploration,7,Move only forward,1,with_fixed_spec,1010,S_p7_exploration_with_fixed_spec,False,0.0,59.459,60.417,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/with_fixed_spec/prompt_7/generation_1/S_p7_exploration_with_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/with_fixed_spec/seed_1010/S_p7_exploration_with_fixed_spec/run_20260914_200350_467569196
exploration,7,Move only forward,1,without_fixed_spec,1001,S_p7_exploration_without_fixed_spec,False,0.0,59.113,95.833,12,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/without_fixed_spec/prompt_7/generation_1/S_p7_exploration_without_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/without_fixed_spec/seed_1001/S_p7_exploration_without_fixed_spec/run_20260914_200350_529969895
exploration,7,Move only forward,1,without_fixed_spec,1002,S_p7_exploration_without_fixed_spec,False,0.0,59.602,95.833,8,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/YAML/exploration/without_fixed_spec/prompt_7/generation_1/S_p7_exploration_without_fixed_spec.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/batch_20260914_200134/results/exploration/without_fixed_spec/seed_1002/S_p7_exploration_without_fixed_spec/run_20260914_200350_625382658
