stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789408900,605990321,3.444,robot_0,1.950,-0.221
1789408900,606160095,3.444,robot_1,-1.259,-0.556
1789408900,606229032,3.444,robot_2,-1.206,1.756
1789408902,865367759,5.703,robot_0,1.950,-0.221
1789408902,865436950,5.703,robot_1,-1.259,-0.556
1789408902,865467371,5.703,robot_2,-1.206,1.756
1789408905,401377924,8.239,robot_0,1.950,-0.221
1789408905,401440884,8.239,robot_1,-1.259,-0.556
1789408905,401466666,8.239,robot_2,-1.206,1.756
1789408905,602823862,8.441,robot_0,1.895,-0.190
1789408905,602902653,8.441,robot_1,-1.204,-0.524
1789408905,602941189,8.441,robot_2,-1.155,1.719
1789408905,829076289,8.667,robot_0,1.814,-0.144
1789408905,829258156,8.667,robot_1,-1.124,-0.477
1789408905,829303379,8.667,robot_2,-1.079,1.666
1789408906,46423404,8.884,robot_0,1.725,-0.094
1789408906,46490819,8.884,robot_1,-1.036,-0.426
1789408906,46518851,8.884,robot_2,-0.995,1.607
1789408906,272195644,9.110,robot_0,1.644,-0.048
1789408906,272259214,9.110,robot_1,-0.956,-0.379
1789408906,272295767,9.110,robot_2,-0.919,1.554
1789408906,494554779,9.332,robot_0,1.566,-0.004
1789408906,494761585,9.332,robot_1,-0.878,-0.333
1789408906,494840679,9.333,robot_2,-0.845,1.502
1789408906,714754701,9.552,robot_0,1.475,0.048
1789408906,714813908,9.553,robot_1,-0.788,-0.280
1789408906,714848458,9.553,robot_2,-0.759,1.442
1789408906,918610078,9.756,robot_0,1.404,0.087
1789408906,918687200,9.756,robot_1,-0.718,-0.239
1789408906,918720147,9.756,robot_2,-0.693,1.395
1789408907,139554242,9.977,robot_0,1.326,0.132
1789408907,139695778,9.977,robot_1,-0.640,-0.194
1789408907,139727654,9.977,robot_2,-0.619,1.344
1789408907,353184747,10.191,robot_0,1.237,0.182
1789408907,353336139,10.191,robot_1,-0.552,-0.142
1789408907,353373292,10.191,robot_2,-0.536,1.285
1789408907,555017134,10.393,robot_0,1.153,0.229
1789408907,556764596,10.394,robot_1,-0.469,-0.094
1789408907,556829211,10.395,robot_2,-0.457,1.230
1789408907,756873482,10.595,robot_0,1.069,0.276
1789408907,756944817,10.595,robot_1,-0.386,-0.046
1789408907,757705296,10.595,robot_2,-0.379,1.175
1789408907,965555091,10.803,robot_0,0.991,0.320
1789408907,965616738,10.803,robot_1,-0.309,-0.000
1789408907,965646991,10.803,robot_2,-0.305,1.123
1789408908,173591945,11.011,robot_0,0.915,0.363
1789408908,173665542,11.011,robot_1,-0.233,0.044
1789408908,173701988,11.011,robot_2,-0.234,1.073
1789408908,380032910,11.218,robot_0,0.834,0.409
1789408908,380098736,11.218,robot_1,-0.153,0.091
1789408908,380128420,11.218,robot_2,-0.158,1.020
1789408908,591421831,11.429,robot_0,0.757,0.452
1789408908,591493875,11.429,robot_1,-0.080,0.134
1789408908,591531178,11.429,robot_2,-0.084,0.968
1789408908,796243199,11.634,robot_0,0.747,0.458
1789408908,796312464,11.634,robot_1,-0.077,0.136
1789408908,796355347,11.634,robot_2,0.002,0.908
1789408908,996662714,11.834,robot_0,0.747,0.458
1789408908,996734206,11.834,robot_1,-0.077,0.136
1789408908,996785874,11.834,robot_2,0.052,0.873
1789408909,213862664,12.052,robot_0,0.747,0.458
1789408909,213924432,12.052,robot_1,-0.077,0.136
1789408909,213954770,12.052,robot_2,0.052,0.873
1789408909,430585726,12.268,robot_0,0.747,0.458
1789408909,430662246,12.268,robot_1,-0.077,0.136
1789408909,430696492,12.268,robot_2,0.052,0.873
1789408909,634913505,12.473,robot_0,0.747,0.458
1789408909,634982867,12.473,robot_1,-0.077,0.136
1789408909,635016032,12.473,robot_2,0.052,0.873
1789408909,849767426,12.687,robot_0,0.747,0.458
1789408909,849838337,12.688,robot_1,-0.077,0.136
1789408909,849872461,12.688,robot_2,0.052,0.873
1789408910,66439459,12.904,robot_0,0.747,0.458
1789408910,66512649,12.904,robot_1,-0.077,0.136
1789408910,66551037,12.904,robot_2,0.052,0.873
1789408910,281917865,13.120,robot_0,0.747,0.458
1789408910,281982075,13.120,robot_1,-0.077,0.136
1789408910,282017383,13.120,robot_2,0.052,0.873
1789408910,496860136,13.335,robot_0,0.747,0.458
1789408910,496918610,13.335,robot_1,-0.077,0.136
1789408910,496947759,13.335,robot_2,0.052,0.873
1789408910,717980608,13.556,robot_0,0.747,0.458
1789408910,718048651,13.556,robot_1,-0.077,0.136
1789408910,719377601,13.557,robot_2,0.052,0.873
1789408910,920434719,13.758,robot_0,0.747,0.458
1789408910,920498352,13.758,robot_1,-0.077,0.136
1789408910,920535002,13.758,robot_2,0.052,0.873
1789408911,125351509,13.963,robot_0,0.747,0.458
1789408911,125410926,13.963,robot_1,-0.077,0.136
1789408911,125442742,13.963,robot_2,0.052,0.873
1789408911,345097177,14.183,robot_0,0.747,0.458
1789408911,345148010,14.183,robot_1,-0.077,0.136
1789408911,345177742,14.183,robot_2,0.052,0.873
1789408911,571857636,14.410,robot_0,0.747,0.458
1789408911,571938467,14.410,robot_1,-0.077,0.136
1789408911,571984984,14.410,robot_2,0.052,0.873
1789408911,793062826,14.631,robot_0,0.747,0.458
1789408911,793140723,14.631,robot_1,-0.077,0.136
1789408911,793191438,14.631,robot_2,0.052,0.873
1789408911,997921795,14.836,robot_0,0.747,0.458
1789408911,997982447,14.836,robot_1,-0.077,0.136
1789408911,998010302,14.836,robot_2,0.052,0.873
1789408912,219713947,15.057,robot_0,0.747,0.458
1789408912,219778039,15.057,robot_1,-0.077,0.136
1789408912,219813749,15.058,robot_2,0.052,0.873
1789408912,433678721,15.271,robot_0,0.747,0.458
1789408912,433763738,15.271,robot_1,-0.077,0.136
1789408912,433800582,15.272,robot_2,0.052,0.873
1789408912,650789450,15.489,robot_0,0.747,0.458
1789408912,650867841,15.489,robot_1,-0.077,0.136
1789408912,650945951,15.489,robot_2,0.052,0.873
1789408912,863808015,15.702,robot_0,0.747,0.458
1789408912,863865470,15.702,robot_1,-0.077,0.136
1789408912,863892207,15.702,robot_2,0.052,0.873
1789408913,64972037,15.903,robot_0,0.747,0.458
1789408913,67223392,15.905,robot_1,-0.077,0.136
1789408913,67377547,15.905,robot_2,0.052,0.873
1789408913,273678809,16.111,robot_0,0.747,0.458
1789408913,273737749,16.111,robot_1,-0.077,0.136
1789408913,273767614,16.111,robot_2,0.052,0.873
1789408913,494698773,16.332,robot_0,0.747,0.458
1789408913,494757173,16.332,robot_1,-0.077,0.136
1789408913,494790632,16.332,robot_2,0.052,0.873
1789408913,709536806,16.547,robot_0,0.747,0.458
1789408913,709605244,16.547,robot_1,-0.077,0.136
1789408913,709638590,16.547,robot_2,0.052,0.873
1789408913,926864436,16.765,robot_0,0.747,0.458
1789408913,926926080,16.765,robot_1,-0.077,0.136
1789408913,926955393,16.765,robot_2,0.052,0.873
1789408914,131120121,16.969,robot_0,0.747,0.458
1789408914,131191596,16.969,robot_1,-0.077,0.136
1789408914,131218434,16.969,robot_2,0.052,0.873
1789408914,330549433,17.168,robot_0,0.747,0.458
1789408914,330619678,17.168,robot_1,-0.077,0.136
1789408914,330653232,17.168,robot_2,0.052,0.873
1789408914,546239271,17.384,robot_0,0.747,0.458
1789408914,546301693,17.384,robot_1,-0.077,0.136
1789408914,546332176,17.384,robot_2,0.052,0.873
1789408914,754653896,17.592,robot_0,0.747,0.458
1789408914,754714856,17.592,robot_1,-0.077,0.136
1789408914,754744548,17.592,robot_2,0.052,0.873
1789408914,975843209,17.814,robot_0,0.747,0.458
1789408914,975898044,17.814,robot_1,-0.077,0.136
1789408914,975924608,17.814,robot_2,0.052,0.873
1789408915,188981776,18.027,robot_0,0.747,0.458
1789408915,189052044,18.027,robot_1,-0.077,0.136
1789408915,189090496,18.027,robot_2,0.052,0.873
1789408915,400108119,18.238,robot_0,0.747,0.458
1789408915,400162333,18.238,robot_1,-0.077,0.136
1789408915,400190553,18.238,robot_2,0.052,0.873
1789408915,601196002,18.439,robot_0,0.747,0.458
1789408915,601253816,18.439,robot_1,-0.077,0.136
1789408915,601285681,18.439,robot_2,0.052,0.873
1789408915,804828821,18.643,robot_0,0.747,0.458
1789408915,804888652,18.643,robot_1,-0.077,0.136
1789408915,804919083,18.643,robot_2,0.052,0.873
1789408916,11043144,18.849,robot_0,0.747,0.458
1789408916,11136708,18.849,robot_1,-0.077,0.136
1789408916,11166881,18.849,robot_2,0.052,0.873
1789408916,212816960,19.051,robot_0,0.747,0.458
1789408916,212866762,19.051,robot_1,-0.077,0.136
1789408916,212894250,19.051,robot_2,0.052,0.873
1789408916,432749105,19.270,robot_0,0.747,0.458
1789408916,432812287,19.271,robot_1,-0.077,0.136
1789408916,432844124,19.271,robot_2,0.052,0.873
1789408916,650392194,19.488,robot_0,0.747,0.458
1789408916,650445871,19.488,robot_1,-0.077,0.136
1789408916,651349278,19.489,robot_2,0.052,0.873
1789408916,867422606,19.705,robot_0,0.747,0.458
1789408916,867472997,19.705,robot_1,-0.077,0.136
1789408916,867502433,19.705,robot_2,0.052,0.873
1789408917,79377553,19.917,robot_0,0.747,0.458
1789408917,79436026,19.917,robot_1,-0.077,0.136
1789408917,79501288,19.917,robot_2,0.052,0.873
1789408917,288269148,20.126,robot_0,0.747,0.458
1789408917,288321350,20.126,robot_1,-0.077,0.136
1789408917,288348980,20.126,robot_2,0.052,0.873
1789408917,502831111,20.341,robot_0,0.747,0.458
1789408917,502883928,20.341,robot_1,-0.077,0.136
1789408917,502910100,20.341,robot_2,0.052,0.873
1789408917,714257123,20.552,robot_0,0.747,0.458
1789408917,714302416,20.552,robot_1,-0.077,0.136
1789408917,714326828,20.552,robot_2,0.052,0.873
1789408917,924238626,20.762,robot_0,0.747,0.458
1789408917,924280498,20.762,robot_1,-0.077,0.136
1789408917,924298069,20.762,robot_2,0.052,0.873
1789408918,129605997,20.967,robot_0,0.747,0.458
1789408918,129652766,20.967,robot_1,-0.077,0.136
1789408918,129674888,20.967,robot_2,0.052,0.873
1789408918,334241185,21.172,robot_0,0.747,0.458
1789408918,334288322,21.172,robot_1,-0.077,0.136
1789408918,334309665,21.172,robot_2,0.052,0.873
1789408918,547726622,21.385,robot_0,0.747,0.458
1789408918,547762215,21.385,robot_1,-0.077,0.136
1789408918,547778910,21.385,robot_2,0.052,0.873
1789408918,749852617,21.588,robot_0,0.747,0.458
1789408918,749898701,21.588,robot_1,-0.077,0.136
1789408918,749922490,21.588,robot_2,0.052,0.873
1789408918,952804127,21.791,robot_0,0.747,0.458
1789408918,952855077,21.791,robot_1,-0.077,0.136
1789408918,952885691,21.791,robot_2,0.052,0.873
1789408919,171783609,22.009,robot_0,0.747,0.458
1789408919,171833622,22.010,robot_1,-0.077,0.136
1789408919,171861091,22.010,robot_2,0.052,0.873
1789408919,389172289,22.227,robot_0,0.747,0.458
1789408919,389225498,22.227,robot_1,-0.077,0.136
1789408919,389252661,22.227,robot_2,0.052,0.873
1789408919,602860536,22.441,robot_0,0.747,0.458
1789408919,602912609,22.441,robot_1,-0.077,0.136
1789408919,602938423,22.441,robot_2,0.052,0.873
1789408919,808377768,22.646,robot_0,0.747,0.458
1789408919,808496321,22.646,robot_1,-0.077,0.136
1789408919,808523193,22.646,robot_2,0.052,0.873
1789408920,24405318,22.862,robot_0,0.747,0.458
1789408920,24444449,22.862,robot_1,-0.077,0.136
1789408920,24461943,22.862,robot_2,0.052,0.873
1789408920,240387204,23.078,robot_0,0.747,0.458
1789408920,240426754,23.078,robot_1,-0.077,0.136
1789408920,240445300,23.078,robot_2,0.052,0.873
1789408920,445705286,23.283,robot_0,0.747,0.458
1789408920,445756070,23.283,robot_1,-0.077,0.136
1789408920,445780355,23.283,robot_2,0.052,0.873
1789408920,648928546,23.487,robot_0,0.747,0.458
1789408920,648991031,23.487,robot_1,-0.077,0.136
1789408920,649017324,23.487,robot_2,0.052,0.873
1789408920,863542380,23.701,robot_0,0.747,0.458
1789408920,863590933,23.701,robot_1,-0.077,0.136
1789408920,863618836,23.701,robot_2,0.052,0.873
1789408921,66770715,23.904,robot_0,0.747,0.458
1789408921,66824744,23.905,robot_1,-0.077,0.136
1789408921,66851145,23.905,robot_2,0.052,0.873
1789408921,280338976,24.118,robot_0,0.747,0.458
1789408921,280392434,24.118,robot_1,-0.077,0.136
1789408921,288193868,24.126,robot_2,0.052,0.873
1789408921,486320902,24.324,robot_0,0.747,0.458
1789408921,486377226,24.324,robot_1,-0.077,0.136
1789408921,486409199,24.324,robot_2,0.052,0.873
1789408921,696068995,24.534,robot_0,0.747,0.458
1789408921,696117835,24.534,robot_1,-0.077,0.136
1789408921,696144497,24.534,robot_2,0.052,0.873
1789408921,897641799,24.735,robot_0,0.747,0.458
1789408921,897699591,24.735,robot_1,-0.077,0.136
1789408921,897720211,24.735,robot_2,0.052,0.873
1789408922,104478022,24.942,robot_0,0.747,0.458
1789408922,104513158,24.942,robot_1,-0.077,0.136
1789408922,104529656,24.942,robot_2,0.052,0.873
1789408922,310927380,25.149,robot_0,0.747,0.458
1789408922,310969145,25.149,robot_1,-0.077,0.136
1789408922,310990945,25.149,robot_2,0.052,0.873
1789408922,530100758,25.368,robot_0,0.747,0.458
1789408922,530146428,25.368,robot_1,-0.077,0.136
1789408922,530166489,25.368,robot_2,0.052,0.873
1789408922,735233748,25.573,robot_0,0.747,0.458
1789408922,735284953,25.573,robot_1,-0.077,0.136
1789408922,735308631,25.573,robot_2,0.052,0.873
1789408922,953121676,25.791,robot_0,0.747,0.458
1789408922,953170681,25.791,robot_1,-0.077,0.136
1789408922,953194413,25.791,robot_2,0.052,0.873
1789408923,167498087,26.005,robot_0,0.747,0.458
1789408923,167558867,26.005,robot_1,-0.077,0.136
1789408923,167586651,26.005,robot_2,0.052,0.873
1789408923,381621376,26.219,robot_0,0.747,0.458
1789408923,381680032,26.219,robot_1,-0.077,0.136
1789408923,381709812,26.219,robot_2,0.052,0.873
1789408923,595371245,26.433,robot_0,0.747,0.458
1789408923,595416699,26.433,robot_1,-0.077,0.136
1789408923,595437373,26.433,robot_2,0.052,0.873
1789408923,796279562,26.634,robot_0,0.747,0.458
1789408923,796332660,26.634,robot_1,-0.077,0.136
1789408923,796359851,26.634,robot_2,0.052,0.873
1789408924,13819910,26.852,robot_0,0.747,0.458
1789408924,13871370,26.852,robot_1,-0.077,0.136
1789408924,13899877,26.852,robot_2,0.052,0.873
1789408924,227363522,27.065,robot_0,0.747,0.458
1789408924,227508907,27.065,robot_1,-0.077,0.136
1789408924,227541213,27.065,robot_2,0.052,0.873
1789408924,447531211,27.285,robot_0,0.747,0.458
1789408924,447571804,27.285,robot_1,-0.077,0.136
1789408924,447591419,27.285,robot_2,0.052,0.873
1789408924,649781894,27.487,robot_0,0.747,0.458
1789408924,649833463,27.488,robot_1,-0.077,0.136
1789408924,649858061,27.488,robot_2,0.052,0.873
1789408924,873447976,27.711,robot_0,0.747,0.458
1789408924,873494080,27.711,robot_1,-0.077,0.136
1789408924,873520338,27.711,robot_2,0.052,0.873
1789408925,100273877,27.938,robot_0,0.747,0.458
1789408925,100322715,27.938,robot_1,-0.077,0.136
1789408925,100347250,27.938,robot_2,0.052,0.873
1789408925,315824660,28.154,robot_0,0.747,0.458
1789408925,315860751,28.154,robot_1,-0.077,0.136
1789408925,315876231,28.154,robot_2,0.052,0.873
1789408925,524315037,28.362,robot_0,0.747,0.458
1789408925,524363707,28.362,robot_1,-0.077,0.136
1789408925,524383265,28.362,robot_2,0.052,0.873
1789408925,734759061,28.572,robot_0,0.747,0.458
1789408925,734806917,28.573,robot_1,-0.077,0.136
1789408925,734827793,28.573,robot_2,0.052,0.873
1789408925,939941810,28.778,robot_0,0.747,0.458
1789408925,939993365,28.778,robot_1,-0.077,0.136
1789408925,940022648,28.778,robot_2,0.052,0.873
1789408926,140948703,28.979,robot_0,0.747,0.458
1789408926,141001882,28.979,robot_1,-0.077,0.136
1789408926,141028293,28.979,robot_2,0.052,0.873
1789408926,347540041,29.185,robot_0,0.747,0.458
1789408926,347577350,29.185,robot_1,-0.077,0.136
1789408926,347594171,29.185,robot_2,0.052,0.873
1789408926,554673507,29.392,robot_0,0.747,0.458
1789408926,554723186,29.392,robot_1,-0.077,0.136
1789408926,554748682,29.392,robot_2,0.052,0.873
1789408926,771260770,29.609,robot_0,0.747,0.458
1789408926,771314713,29.609,robot_1,-0.077,0.136
1789408926,771342457,29.609,robot_2,0.052,0.873
1789408926,973907046,29.812,robot_0,0.747,0.458
1789408926,973955477,29.812,robot_1,-0.077,0.136
1789408926,973980093,29.812,robot_2,0.052,0.873
1789408927,184403756,30.022,robot_0,0.747,0.458
1789408927,184457855,30.022,robot_1,-0.077,0.136
1789408927,184483586,30.022,robot_2,0.052,0.873
1789408927,393280998,30.231,robot_0,0.747,0.458
1789408927,393330329,30.231,robot_1,-0.077,0.136
1789408927,393361245,30.231,robot_2,0.052,0.873
1789408927,616648237,30.454,robot_0,0.747,0.458
1789408927,616697309,30.454,robot_1,-0.077,0.136
1789408927,616727912,30.454,robot_2,0.052,0.873
1789408927,843558411,30.681,robot_0,0.747,0.458
1789408927,843607826,30.681,robot_1,-0.077,0.136
1789408927,843628502,30.681,robot_2,0.052,0.873
1789408928,44905479,30.883,robot_0,0.747,0.458
1789408928,45483086,30.883,robot_1,-0.077,0.136
1789408928,45527459,30.883,robot_2,0.052,0.873
1789408928,259960635,31.098,robot_0,0.747,0.458
1789408928,260013024,31.098,robot_1,-0.077,0.136
1789408928,260041141,31.098,robot_2,0.052,0.873
1789408928,478059274,31.316,robot_0,0.747,0.458
1789408928,478111625,31.316,robot_1,-0.077,0.136
1789408928,478136197,31.316,robot_2,0.052,0.873
1789408928,681721877,31.519,robot_0,0.747,0.458
1789408928,681777502,31.519,robot_1,-0.077,0.136
1789408928,681806859,31.520,robot_2,0.052,0.873
1789408928,893744392,31.731,robot_0,0.747,0.458
1789408928,893787894,31.731,robot_1,-0.077,0.136
1789408928,893808570,31.732,robot_2,0.052,0.873
1789408929,104806086,31.943,robot_0,0.747,0.458
1789408929,104850814,31.943,robot_1,-0.077,0.136
1789408929,104874297,31.943,robot_2,0.052,0.873
1789408929,305565757,32.143,robot_0,0.747,0.458
1789408929,305608336,32.143,robot_1,-0.077,0.136
1789408929,305625909,32.143,robot_2,0.052,0.873
1789408929,509606299,32.347,robot_0,0.747,0.458
1789408929,509642655,32.347,robot_1,-0.077,0.136
1789408929,509660146,32.347,robot_2,0.052,0.873
1789408929,726874938,32.565,robot_0,0.747,0.458
1789408929,726928296,32.565,robot_1,-0.077,0.136
1789408929,726958789,32.565,robot_2,0.052,0.873
1789408929,930565137,32.768,robot_0,0.747,0.458
1789408929,930618525,32.768,robot_1,-0.077,0.136
1789408929,930643795,32.768,robot_2,0.052,0.873
1789408930,146971376,32.985,robot_0,0.747,0.458
1789408930,147022714,32.985,robot_1,-0.077,0.136
1789408930,147060552,32.985,robot_2,0.052,0.873
1789408930,361101557,33.199,robot_0,0.747,0.458
1789408930,361205164,33.199,robot_1,-0.077,0.136
1789408930,361242841,33.199,robot_2,0.052,0.873
1789408930,558950749,33.397,robot_0,0.747,0.458
1789408930,559009503,33.398,robot_1,-0.077,0.136
1789408930,559870522,33.398,robot_2,0.052,0.873
1789408930,778857553,33.617,robot_0,0.747,0.458
1789408930,778922154,33.617,robot_1,-0.077,0.136
1789408930,778951943,33.617,robot_2,0.052,0.873
1789408930,987920281,33.826,robot_0,0.747,0.458
1789408930,987997425,33.826,robot_1,-0.077,0.136
1789408930,988034928,33.826,robot_2,0.052,0.873
1789408931,192775626,34.030,robot_0,0.747,0.458
