stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789408899,832978743,robot_0,5,-3.000,1.000,-2.500,1.500
1789408899,833011942,robot_0,13,-2.000,1.000,-1.500,1.500
1789408899,833071406,robot_2,35,1.000,-1.000,1.500,-0.500
1789408899,833089154,robot_2,43,2.000,-1.000,2.500,-0.500
1789408899,833123169,robot_1,21,-1.000,1.000,-0.500,1.500
1789408899,833139004,robot_1,22,-1.000,2.000,-0.500,2.500
1789408899,833156028,robot_1,29,0.000,1.000,0.500,1.500
1789408899,833171482,robot_1,30,0.000,2.000,0.500,2.500
1789408905,659439578,robot_0,6,-3.000,2.000,-2.500,2.500
1789408905,659465795,robot_0,14,-2.000,2.000,-1.500,2.500
1789408905,659525834,robot_1,31,0.000,3.000,0.500,3.500
1789408905,869790462,robot_1,23,-1.000,3.000,-0.500,3.500
