elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.227,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.429,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.728,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.944,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.238,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.456,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.726,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.026,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.326,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.627,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.926,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.226,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.526,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.826,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.126,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.434,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.727,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.931,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.226,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.528,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.826,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.132,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.432,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.731,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.030,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.241,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.530,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.827,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.031,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.329,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.628,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.928,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.130,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.342,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.629,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.841,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.128,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.430,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.729,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.034,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.243,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.536,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.831,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.132,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.433,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.729,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.035,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.329,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.534,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.829,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
14.128,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.231,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.329,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.435,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.527,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.631,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.727,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.827,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
14.926,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.028,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.139,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.240,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.327,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.432,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.530,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.633,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.731,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.836,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
15.930,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.026,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.129,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.229,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.333,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.428,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.527,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.630,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.730,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.839,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
16.930,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.029,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.133,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.228,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.328,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.429,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.533,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.633,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.738,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
17.829,robot_1,none,EV_obstacle_left,LEFT,inf,inf,inf
