elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.238,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.513,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.810,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.014,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.219,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.516,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.814,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.110,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.410,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.710,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.010,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.310,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.610,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.910,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.210,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.510,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.810,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.110,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.410,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.710,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.010,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.318,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.613,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.817,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.118,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.320,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.612,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.916,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.215,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.514,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.811,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.027,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.312,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.519,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.812,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.014,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.310,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.513,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.721,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.019,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.324,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.610,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.922,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.212,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.521,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.815,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.119,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.415,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.712,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
13.914,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
14.213,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
14.418,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
14.714,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
15.010,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
16.216,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
16.515,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
16.818,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
17.020,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
17.312,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
17.616,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
17.913,robot_2,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
