stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789409103,939575888,3.917,robot_0,-1.379,3.002
1789409103,939696189,3.917,robot_2,-2.040,2.130
1789409103,945129488,3.922,robot_1,2.000,-3.192
1789409106,715374819,6.693,robot_0,-1.379,3.002
1789409106,715443941,6.693,robot_2,-2.040,2.130
1789409106,715478441,6.693,robot_1,2.000,-3.192
1789409110,275208240,10.252,robot_0,-1.379,3.002
1789409110,275274187,10.252,robot_2,-2.040,2.130
1789409110,275316296,10.252,robot_1,2.000,-3.192
1789409110,487177431,10.464,robot_0,-1.352,2.942
1789409110,487290979,10.464,robot_2,-2.020,2.140
1789409110,487325383,10.464,robot_1,1.992,-3.126
1789409110,704698167,10.682,robot_0,-1.355,2.949
1789409110,704765925,10.682,robot_2,-2.073,2.113
1789409110,704800010,10.682,robot_1,1.980,-3.037
1789409110,909700232,10.887,robot_0,-1.372,2.987
1789409110,909767420,10.887,robot_2,-2.111,2.094
1789409110,909802776,10.887,robot_1,1.973,-2.975
1789409111,116771314,11.094,robot_0,-1.389,3.026
1789409111,116855361,11.094,robot_2,-2.148,2.076
1789409111,116903541,11.094,robot_1,1.965,-2.912
1789409111,327222316,11.304,robot_0,-1.405,3.062
1789409111,327294744,11.304,robot_2,-2.174,2.062
1789409111,327338979,11.304,robot_1,1.955,-2.832
1789409111,548734927,11.526,robot_0,-1.404,3.062
1789409111,548798472,11.526,robot_2,-2.174,2.061
1789409111,548833413,11.526,robot_1,1.946,-2.763
1789409111,765903737,11.743,robot_0,-1.401,3.065
1789409111,765972612,11.743,robot_2,-2.173,2.058
1789409111,766017401,11.743,robot_1,1.936,-2.683
1789409111,980244394,11.957,robot_0,-1.398,3.068
1789409111,980319638,11.957,robot_2,-2.173,2.056
1789409111,980357609,11.957,robot_1,1.928,-2.617
1789409112,190821787,12.168,robot_0,-1.400,3.078
1789409112,192538341,12.170,robot_2,-2.174,2.055
1789409112,192636392,12.170,robot_1,1.917,-2.534
1789409112,411385385,12.390,robot_0,-1.403,3.087
1789409112,412952236,12.390,robot_2,-2.174,2.054
