stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789409104,26449263,robot_1,22,-1.000,2.000,-0.500,2.500
1789409104,26485507,robot_1,23,-1.000,3.000,-0.500,3.500
1789409104,26513267,robot_1,30,0.000,2.000,0.500,2.500
1789409104,26572921,robot_0,16,-1.000,-4.000,-0.500,-3.500
1789409104,37625851,robot_0,17,-1.000,-3.000,-0.500,-2.500
1789409104,37731660,robot_0,24,0.000,-4.000,0.500,-3.500
1789409104,37764213,robot_0,25,0.000,-3.000,0.500,-2.500
1789409104,37838985,robot_2,11,-2.000,-1.000,-1.500,-0.500
1789409104,37861786,robot_2,12,-2.000,0.000,-1.500,0.500
1789409110,377885718,robot_2,3,-3.000,-1.000,-2.500,-0.500
1789409110,377908754,robot_2,4,-3.000,0.000,-2.500,0.500
1789409110,587169253,robot_0,8,-2.000,-4.000,-1.500,-3.500
1789409110,587195703,robot_0,9,-2.000,-3.000,-1.500,-2.500
1789409112,935322579,robot_0,0,-3.000,-4.000,-2.500,-3.500
1789409112,935348370,robot_0,1,-3.000,-3.000,-2.500,-2.500
1789409113,357924175,robot_1,21,-1.000,1.000,-0.500,1.500
1789409113,985919161,robot_1,29,0.000,1.000,0.500,1.500
1789409116,75475108,robot_1,20,-1.000,0.000,-0.500,0.500
1789409116,75516356,robot_1,28,0.000,0.000,0.500,0.500
1789409117,534914195,robot_0,2,-3.000,-2.000,-2.500,-1.500
1789409118,188982861,robot_1,19,-1.000,-1.000,-0.500,-0.500
1789409118,396872680,robot_1,27,0.000,-1.000,0.500,-0.500
1789409118,396944694,robot_0,10,-2.000,-2.000,-1.500,-1.500
1789409120,702331942,robot_1,18,-1.000,-2.000,-0.500,-1.500
1789409120,702364805,robot_1,26,0.000,-2.000,0.500,-1.500
1789409131,20150717,robot_1,32,1.000,-4.000,1.500,-3.500
1789409131,250686416,robot_1,33,1.000,-3.000,1.500,-2.500
1789409131,675050744,robot_2,35,1.000,-1.000,1.500,-0.500
1789409132,540253657,robot_0,13,-2.000,1.000,-1.500,1.500
1789409132,753904111,robot_0,5,-3.000,1.000,-2.500,1.500
1789409133,160280584,robot_2,36,1.000,0.000,1.500,0.500
1789409133,603140005,robot_1,41,2.000,-3.000,2.500,-2.500
1789409133,805591866,robot_2,43,2.000,-1.000,2.500,-0.500
1789409134,23460313,robot_2,44,2.000,0.000,2.500,0.500
1789409134,863150440,robot_0,14,-2.000,2.000,-1.500,2.500
1789409135,270690702,robot_1,42,2.000,-2.000,2.500,-1.500
1789409137,359404932,robot_0,15,-2.000,3.000,-1.500,3.500
1789409138,205806686,robot_1,34,1.000,-2.000,1.500,-1.500
1789409139,947286496,robot_2,37,1.000,1.000,1.500,1.500
1789409139,947304232,robot_2,45,2.000,1.000,2.500,1.500
1789409142,265850460,robot_0,31,0.000,3.000,0.500,3.500
1789409142,699889494,robot_2,38,1.000,2.000,1.500,2.500
1789409147,357658831,robot_0,39,1.000,3.000,1.500,3.500
1789409147,799884361,robot_2,46,2.000,2.000,2.500,2.500
1789409148,640509348,robot_2,47,2.000,3.000,2.500,3.500
1789409152,469569875,robot_1,6,-3.000,2.000,-2.500,2.500
