elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.150,robot_0,none,EV_path_clear,CLEAR
0.266,robot_0,none,EV_path_clear,CLEAR
0.361,robot_0,none,EV_path_clear,CLEAR
0.444,robot_0,none,EV_path_clear,CLEAR
0.554,robot_0,none,EV_path_clear,CLEAR
0.653,robot_0,none,EV_path_clear,CLEAR
0.748,robot_0,none,EV_path_clear,CLEAR
0.850,robot_0,none,EV_path_clear,CLEAR
0.954,robot_0,none,EV_path_clear,CLEAR
1.047,robot_0,none,EV_path_clear,CLEAR
1.152,robot_0,none,EV_path_clear,CLEAR
1.249,robot_0,none,EV_path_clear,CLEAR
1.348,robot_0,none,EV_path_clear,CLEAR
1.441,robot_0,none,EV_path_clear,CLEAR
1.550,robot_0,none,EV_path_clear,CLEAR
1.656,robot_0,none,EV_path_clear,CLEAR
1.749,robot_0,none,EV_path_clear,CLEAR
1.851,robot_0,none,EV_path_clear,CLEAR
1.954,robot_0,none,EV_path_clear,CLEAR
2.052,robot_0,none,EV_path_clear,CLEAR
2.153,robot_0,none,EV_path_clear,CLEAR
2.250,robot_0,none,EV_path_clear,CLEAR
2.350,robot_0,none,EV_path_clear,CLEAR
2.452,robot_0,none,EV_path_clear,CLEAR
2.556,robot_0,none,EV_path_clear,CLEAR
2.642,robot_0,none,EV_path_clear,CLEAR
2.746,robot_0,none,EV_path_clear,CLEAR
2.841,robot_0,none,EV_path_clear,CLEAR
2.954,robot_0,none,EV_path_clear,CLEAR
3.047,robot_0,none,EV_path_clear,CLEAR
3.161,robot_0,none,EV_path_clear,CLEAR
3.252,robot_0,none,EV_path_clear,CLEAR
3.345,robot_0,none,EV_path_clear,CLEAR
3.458,robot_0,none,EV_path_clear,CLEAR
3.547,robot_0,none,EV_path_clear,CLEAR
3.656,robot_0,none,EV_path_clear,CLEAR
3.771,robot_0,none,EV_path_clear,CLEAR
3.850,robot_0,none,EV_path_clear,CLEAR
3.944,robot_0,none,EV_path_clear,CLEAR
4.055,robot_0,none,EV_path_clear,CLEAR
4.144,robot_0,none,EV_path_clear,CLEAR
4.243,robot_0,none,EV_path_clear,CLEAR
4.342,robot_0,none,EV_path_clear,CLEAR
4.441,robot_0,none,EV_path_clear,CLEAR
4.542,robot_0,none,EV_path_clear,CLEAR
4.641,robot_0,none,EV_path_clear,CLEAR
4.741,robot_0,none,EV_path_clear,CLEAR
4.841,robot_0,none,EV_path_clear,CLEAR
4.940,robot_0,none,EV_path_clear,CLEAR
5.044,robot_0,none,EV_path_clear,CLEAR
5.141,robot_0,none,EV_path_clear,CLEAR
5.240,robot_0,none,EV_path_clear,CLEAR
5.340,robot_0,none,EV_path_clear,CLEAR
5.442,robot_0,none,EV_path_clear,CLEAR
5.540,robot_0,none,EV_path_clear,CLEAR
5.640,robot_0,none,EV_path_clear,CLEAR
5.748,robot_0,none,EV_path_clear,CLEAR
5.840,robot_0,none,EV_path_clear,CLEAR
5.941,robot_0,none,EV_path_clear,CLEAR
6.040,robot_0,none,EV_path_clear,CLEAR
6.146,robot_0,none,EV_path_clear,CLEAR
6.255,robot_0,none,EV_path_clear,CLEAR
6.344,robot_0,none,EV_path_clear,CLEAR
6.441,robot_0,none,EV_path_clear,CLEAR
6.540,robot_0,none,EV_path_clear,CLEAR
6.640,robot_0,none,EV_path_clear,CLEAR
6.740,robot_0,none,EV_path_clear,CLEAR
6.840,robot_0,none,EV_path_clear,CLEAR
6.940,robot_0,none,EV_path_clear,CLEAR
7.040,robot_0,none,EV_path_clear,CLEAR
7.140,robot_0,none,EV_path_clear,CLEAR
7.240,robot_0,none,EV_path_clear,CLEAR
7.340,robot_0,none,EV_path_clear,CLEAR
7.440,robot_0,none,EV_path_clear,CLEAR
7.540,robot_0,none,EV_path_clear,CLEAR
7.640,robot_0,none,EV_path_clear,CLEAR
7.740,robot_0,none,EV_path_clear,CLEAR
7.840,robot_0,none,EV_path_clear,CLEAR
7.940,robot_0,none,EV_path_clear,CLEAR
8.040,robot_0,none,EV_path_clear,CLEAR
8.140,robot_0,none,EV_path_clear,CLEAR
8.240,robot_0,none,EV_path_clear,CLEAR
8.340,robot_0,none,EV_path_clear,CLEAR
8.443,robot_0,none,EV_red_not_visible|EV_path_clear|EV_blue_not_visible|EV_green_not_visible,CLEAR
8.544,robot_0,none,EV_path_clear,CLEAR
8.646,robot_0,none,EV_path_clear,CLEAR
8.746,robot_0,none,EV_path_clear,CLEAR
8.842,robot_0,none,EV_path_clear,CLEAR
8.944,robot_0,none,EV_path_clear,CLEAR
9.049,robot_0,none,EV_path_clear,CLEAR
9.163,robot_0,none,EV_red_visible|EV_path_clear|EV_blue_not_visible|EV_green_not_visible,CLEAR
9.261,robot_0,none,EV_path_clear,CLEAR
9.350,robot_0,none,EV_path_clear,CLEAR
9.444,robot_0,none,EV_path_clear,CLEAR
9.542,robot_0,none,EV_path_clear,CLEAR
9.645,robot_0,none,EV_path_clear,CLEAR
9.748,robot_0,none,EV_path_clear,CLEAR
9.849,robot_0,none,EV_red_visible|EV_path_clear|EV_blue_not_visible|EV_green_not_visible,CLEAR
9.940,robot_0,none,EV_path_clear,CLEAR
10.050,robot_0,none,EV_path_clear,CLEAR
10.143,robot_0,none,EV_path_clear,CLEAR
10.242,robot_0,none,EV_path_clear,CLEAR
10.354,robot_0,none,EV_path_clear,CLEAR
10.449,robot_0,none,EV_path_clear,CLEAR
10.553,robot_0,none,EV_red_visible|EV_path_clear|EV_blue_not_visible|EV_green_not_visible,CLEAR
10.650,robot_0,none,EV_path_clear,CLEAR
10.747,robot_0,none,EV_path_clear,CLEAR
