stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789409170,721230443,3.540,robot_1,-0.630,-0.840
1789409170,721346721,3.540,robot_2,-1.780,-0.648
1789409170,721427085,3.540,robot_0,2.344,2.051
1789409176,442846037,9.262,robot_1,-0.630,-0.840
1789409176,442916726,9.262,robot_2,-1.780,-0.648
1789409176,442964882,9.262,robot_0,2.344,2.051
1789409180,218515419,13.037,robot_1,-0.630,-0.840
1789409180,218567160,13.037,robot_2,-1.780,-0.648
1789409180,218623852,13.037,robot_0,2.344,2.051
1789409180,419708760,13.239,robot_1,-0.630,-0.840
1789409180,419769157,13.239,robot_2,-1.780,-0.648
1789409180,419806014,13.239,robot_0,2.344,2.051
1789409180,624590453,13.443,robot_1,-0.630,-0.840
1789409180,624663322,13.444,robot_2,-1.780,-0.648
1789409180,624699546,13.444,robot_0,2.344,2.051
1789409180,830035396,13.649,robot_1,-0.630,-0.840
1789409180,830108847,13.649,robot_2,-1.780,-0.648
1789409180,830160878,13.649,robot_0,2.344,2.051
1789409181,44960288,13.864,robot_1,-0.630,-0.840
1789409181,45026366,13.864,robot_2,-1.780,-0.649
1789409181,45069325,13.864,robot_0,2.344,2.051
1789409181,256961835,14.076,robot_1,-0.630,-0.840
1789409181,257023486,14.076,robot_2,-1.780,-0.649
1789409181,257060970,14.076,robot_0,2.344,2.051
1789409181,489031634,14.308,robot_1,-0.630,-0.840
1789409181,489110206,14.308,robot_2,-1.780,-0.650
1789409181,489153032,14.308,robot_0,2.344,2.051
1789409181,697193802,14.516,robot_1,-0.630,-0.840
1789409181,697258127,14.516,robot_2,-1.781,-0.650
1789409181,697294838,14.516,robot_0,2.344,2.051
1789409181,920673251,14.740,robot_1,-0.630,-0.840
1789409181,920739486,14.740,robot_2,-1.781,-0.650
1789409181,920777671,14.740,robot_0,2.344,2.051
1789409182,129729035,14.949,robot_1,-0.630,-0.840
1789409182,129796702,14.949,robot_2,-1.781,-0.650
1789409182,129837221,14.949,robot_0,2.344,2.051
1789409182,353035140,15.172,robot_1,-0.630,-0.840
1789409182,353105804,15.172,robot_2,-1.781,-0.650
1789409182,353144780,15.172,robot_0,2.344,2.051
1789409182,564312094,15.383,robot_1,-0.630,-0.840
1789409182,564422953,15.383,robot_2,-1.781,-0.650
1789409182,567668031,15.387,robot_0,2.344,2.051
1789409182,779880847,15.605,robot_1,-0.630,-0.840
1789409182,786426395,15.605,robot_2,-1.781,-0.650
1789409182,786486710,15.605,robot_0,2.344,2.051
1789409182,996959696,15.816,robot_1,-0.630,-0.840
1789409182,997032261,15.816,robot_2,-1.781,-0.650
1789409182,997080395,15.816,robot_0,2.344,2.051
1789409183,208543643,16.027,robot_1,-0.630,-0.840
1789409183,208619335,16.027,robot_2,-1.781,-0.650
1789409183,208668448,16.028,robot_0,2.344,2.051
1789409183,423239373,16.242,robot_1,-0.630,-0.840
1789409183,423307432,16.242,robot_2,-1.781,-0.650
1789409183,423345662,16.242,robot_0,2.344,2.051
1789409183,635436852,16.454,robot_1,-0.630,-0.840
1789409183,635508665,16.454,robot_2,-1.781,-0.650
1789409183,635546742,16.454,robot_0,2.344,2.051
1789409183,884758105,16.704,robot_1,-0.630,-0.840
1789409183,884834811,16.704,robot_2,-1.781,-0.650
1789409183,884873989,16.704,robot_0,2.344,2.051
1789409184,100533838,16.919,robot_1,-0.630,-0.840
1789409184,100593720,16.919,robot_2,-1.781,-0.650
1789409184,100650957,16.919,robot_0,2.344,2.051
1789409184,340863681,17.160,robot_1,-0.630,-0.840
1789409184,340935869,17.160,robot_2,-1.781,-0.650
1789409184,340979044,17.160,robot_0,2.344,2.051
1789409184,554393207,17.373,robot_1,-0.630,-0.840
1789409184,554459667,17.373,robot_2,-1.781,-0.650
1789409184,554506046,17.373,robot_0,2.344,2.051
1789409184,770520390,17.589,robot_1,-0.630,-0.840
1789409184,770588513,17.589,robot_2,-1.781,-0.650
1789409184,770642283,17.589,robot_0,2.344,2.051
1789409185,25145910,17.844,robot_1,-0.630,-0.840
1789409185,25211633,17.844,robot_2,-1.781,-0.650
1789409185,25251255,17.844,robot_0,2.344,2.051
1789409185,259222128,18.078,robot_1,-0.630,-0.840
1789409185,259327834,18.078,robot_2,-1.781,-0.650
1789409185,259381927,18.078,robot_0,2.344,2.051
1789409185,462296059,18.281,robot_1,-0.630,-0.840
1789409185,462364681,18.281,robot_2,-1.781,-0.650
1789409185,462403490,18.281,robot_0,2.344,2.051
1789409185,677867442,18.497,robot_1,-0.630,-0.840
1789409185,677933728,18.497,robot_2,-1.781,-0.650
1789409185,678005297,18.497,robot_0,2.344,2.051
1789409185,881693880,18.701,robot_1,-0.630,-0.840
1789409185,881771760,18.705,robot_2,-1.781,-0.650
1789409185,886125521,18.705,robot_0,2.344,2.051
1789409186,92883564,18.912,robot_1,-0.630,-0.840
1789409186,92954764,18.912,robot_2,-1.781,-0.650
1789409186,92995549,18.912,robot_0,2.344,2.051
1789409186,310482833,19.129,robot_1,-0.630,-0.840
1789409186,310558241,19.129,robot_2,-1.781,-0.650
1789409186,310611535,19.129,robot_0,2.344,2.051
1789409186,526872970,19.346,robot_1,-0.630,-0.840
1789409186,526944580,19.346,robot_2,-1.781,-0.650
1789409186,526984973,19.346,robot_0,2.344,2.051
1789409186,735610032,19.554,robot_1,-0.630,-0.840
1789409186,735680841,19.555,robot_2,-1.781,-0.650
1789409186,735722422,19.555,robot_0,2.344,2.051
1789409186,961591288,19.780,robot_1,-0.630,-0.840
1789409186,961663697,19.781,robot_2,-1.781,-0.650
1789409186,961706194,19.781,robot_0,2.344,2.051
1789409187,178414101,19.997,robot_1,-0.630,-0.840
1789409187,178500327,19.997,robot_2,-1.781,-0.650
1789409187,178543106,19.997,robot_0,2.344,2.051
1789409187,388966308,20.208,robot_1,-0.630,-0.840
1789409187,389038682,20.208,robot_2,-1.781,-0.650
1789409187,389255598,20.208,robot_0,2.344,2.051
1789409187,594917807,20.414,robot_1,-0.630,-0.840
1789409187,599339723,20.418,robot_2,-1.781,-0.650
1789409187,599409793,20.419,robot_0,2.344,2.051
1789409187,811371108,20.630,robot_1,-0.630,-0.840
1789409187,811433075,20.630,robot_2,-1.781,-0.650
1789409187,811470881,20.630,robot_0,2.344,2.051
1789409188,95490226,20.914,robot_1,-0.630,-0.840
1789409188,95552657,20.914,robot_2,-1.781,-0.650
1789409188,95590758,20.914,robot_0,2.344,2.051
1789409188,308492495,21.127,robot_1,-0.630,-0.840
1789409188,308563624,21.127,robot_2,-1.781,-0.650
1789409188,311571321,21.130,robot_0,2.344,2.051
1789409188,530651686,21.350,robot_1,-0.630,-0.840
1789409188,530721974,21.352,robot_2,-1.781,-0.650
1789409188,533255858,21.352,robot_0,2.344,2.051
1789409188,734245772,21.553,robot_1,-0.630,-0.840
1789409188,734315266,21.553,robot_2,-1.781,-0.650
1789409188,734358139,21.553,robot_0,2.344,2.051
1789409188,938299757,21.757,robot_1,-0.630,-0.840
1789409188,938371922,21.757,robot_2,-1.781,-0.650
1789409188,938420516,21.757,robot_0,2.344,2.051
1789409189,162133808,21.981,robot_1,-0.630,-0.840
1789409189,162197297,21.981,robot_2,-1.781,-0.650
1789409189,162232958,21.981,robot_0,2.344,2.051
1789409189,379054015,22.198,robot_1,-0.630,-0.840
1789409189,379120842,22.198,robot_2,-1.781,-0.650
1789409189,379156244,22.198,robot_0,2.344,2.051
1789409189,579900296,22.400,robot_1,-0.630,-0.840
