elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.164,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
0.266,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
0.375,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
0.583,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
0.773,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
0.973,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
1.178,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
1.374,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
1.486,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
1.673,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
1.776,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
1.879,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
2.063,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
2.166,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
2.376,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
2.575,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
2.768,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
2.878,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
3.083,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
3.267,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
3.464,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
3.665,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
3.863,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
4.063,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
4.264,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
4.462,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
4.563,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
4.763,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR
