stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789409804,526983574,3.589,robot_0,1.979,0.850
1789409804,527186882,3.589,robot_2,0.209,1.312
1789409804,527285563,3.589,robot_1,1.017,-2.060
1789409807,959187962,7.021,robot_0,1.979,0.850
1789409807,959268342,7.021,robot_2,0.209,1.312
1789409807,959313289,7.021,robot_1,1.017,-2.060
1789409812,517467255,11.579,robot_0,1.979,0.850
1789409812,517548996,11.579,robot_2,0.209,1.312
1789409812,517605464,11.579,robot_1,1.017,-2.060
1789409812,745312282,11.807,robot_0,1.979,0.850
1789409812,745387871,11.807,robot_2,0.209,1.312
1789409812,745427384,11.807,robot_1,1.017,-2.060
1789409812,961393248,12.023,robot_0,1.979,0.850
1789409812,961484395,12.023,robot_2,0.209,1.312
1789409812,961530534,12.023,robot_1,1.018,-2.060
1789409813,174053226,12.236,robot_0,1.979,0.849
1789409813,174129240,12.236,robot_2,0.210,1.312
1789409813,174169629,12.236,robot_1,1.018,-2.060
1789409813,380433200,12.442,robot_0,1.979,0.849
1789409813,380516063,12.442,robot_2,0.210,1.312
1789409813,380558976,12.442,robot_1,1.018,-2.059
1789409813,604547812,12.666,robot_0,1.979,0.848
1789409813,604647830,12.666,robot_2,0.210,1.313
1789409813,604694310,12.666,robot_1,1.019,-2.059
1789409813,830972120,12.893,robot_0,1.979,0.848
1789409813,831065198,12.893,robot_2,0.211,1.313
1789409813,831118480,12.893,robot_1,1.019,-2.059
1789409814,42807492,13.105,robot_0,1.979,0.847
1789409814,42901413,13.105,robot_2,0.211,1.313
1789409814,42955786,13.105,robot_1,1.018,-2.055
1789409814,256081469,13.318,robot_0,1.979,0.847
1789409814,256172343,13.318,robot_2,0.212,1.313
1789409814,256226646,13.318,robot_1,1.011,-2.023
1789409814,458838464,13.521,robot_0,1.979,0.847
1789409814,458917325,13.521,robot_2,0.212,1.313
1789409814,458962592,13.521,robot_1,1.006,-1.988
1789409814,668034781,13.730,robot_0,1.979,0.846
1789409814,668111418,13.730,robot_2,0.213,1.312
1789409814,668155922,13.730,robot_1,1.000,-1.950
1789409814,881579688,13.943,robot_0,1.978,0.846
1789409814,881675799,13.943,robot_2,0.213,1.312
1789409814,881722806,13.944,robot_1,1.000,-1.947
1789409815,82929927,14.145,robot_0,1.978,0.846
1789409815,88804785,14.151,robot_2,0.213,1.312
1789409815,88924190,14.151,robot_1,1.000,-1.947
1789409815,326687761,14.389,robot_0,1.978,0.846
1789409815,326810347,14.389,robot_2,0.214,1.312
1789409815,326867345,14.389,robot_1,1.000,-1.947
1789409815,515603486,14.577,robot_0,1.977,0.845
1789409815,515697438,14.578,robot_2,0.214,1.311
1789409815,515749206,14.578,robot_1,1.001,-1.947
1789409815,725421175,14.787,robot_0,1.977,0.845
1789409815,725528285,14.787,robot_2,0.214,1.311
1789409815,725579560,14.787,robot_1,1.001,-1.948
1789409815,950988429,15.013,robot_0,1.976,0.845
1789409815,951081787,15.013,robot_2,0.214,1.310
1789409815,951135554,15.013,robot_1,1.002,-1.948
1789409816,171455675,15.233,robot_0,1.976,0.846
1789409816,177573260,15.239,robot_2,0.214,1.310
