elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.150,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.447,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.652,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.952,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.250,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.547,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.847,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.147,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.447,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.747,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.049,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.347,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.647,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.947,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.247,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.449,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.751,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.047,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.248,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.547,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.847,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.050,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.347,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.647,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.855,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.148,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.447,robot_2,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
10.348,robot_2,EV_rotate_clockwise,EV_obstacle_left,CLEAR,inf,inf,inf
10.449,robot_2,EV_u_turn,EV_obstacle_left,CLEAR,inf,inf,inf
10.549,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.847,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.049,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.347,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.550,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.849,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.150,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.447,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.749,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.048,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
