time_s,coverage_pct
0.863,0.000
1.370,0.000
1.869,0.000
2.363,0.000
2.863,0.000
3.369,16.667
3.863,16.667
4.369,16.667
4.863,16.667
5.362,16.667
5.862,16.667
6.362,16.667
6.862,16.667
7.362,16.667
7.862,16.667
8.366,16.667
8.868,16.667
9.362,16.667
9.867,16.667
10.364,16.667
10.864,18.750
11.372,20.833
11.868,20.833
12.363,22.917
12.871,25.000
13.370,27.083
13.865,29.167
14.363,29.167
14.866,29.167
15.364,29.167
15.871,31.250
16.366,33.333
16.867,35.417
17.365,35.417
17.862,35.417
18.364,37.500
18.864,37.500
19.364,39.583
19.863,41.667
20.363,41.667
20.868,43.750
21.365,45.833
21.864,47.917
22.364,50.000
22.871,50.000
23.364,50.000
23.868,50.000
24.362,50.000
24.863,50.000
25.363,50.000
25.863,50.000
26.362,50.000
26.863,50.000
27.365,50.000
27.866,52.083
28.366,54.167
28.864,54.167
29.363,54.167
29.876,54.167
30.375,54.167
30.865,58.333
31.373,58.333
31.864,58.333
32.368,58.333
32.863,58.333
33.376,58.333
33.868,58.333
34.379,60.417
34.864,60.417
35.368,60.417
35.877,60.417
36.371,60.417
36.867,60.417
37.374,60.417
37.864,60.417
38.371,60.417
38.867,60.417
39.367,60.417
39.874,60.417
40.380,60.417
40.862,60.417
41.366,60.417
41.864,60.417
42.363,60.417
42.862,60.417
43.364,60.417
43.866,60.417
44.362,62.500
44.868,62.500
45.369,62.500
45.872,62.500
46.363,62.500
46.863,62.500
47.366,62.500
47.869,62.500
48.372,62.500
48.871,62.500
49.371,62.500
49.867,62.500
50.365,62.500
50.871,62.500
51.367,62.500
51.867,62.500
52.364,62.500
52.862,62.500
53.371,62.500
53.864,62.500
54.368,62.500
54.872,62.500
55.365,62.500
55.865,62.500
56.363,62.500
56.862,62.500
57.364,62.500
57.862,62.500
58.364,62.500
58.873,62.500
59.369,62.500
59.648,62.500
