stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1789523294,29648554,robot_1,2,-3.000,-2.000,-2.500,-1.500
1789523294,29676313,robot_1,3,-3.000,-1.000,-2.500,-0.500
1789523294,29702679,robot_1,10,-2.000,-2.000,-1.500,-1.500
1789523294,29726282,robot_1,11,-2.000,-1.000,-1.500,-0.500
1789523294,29774859,robot_0,19,-1.000,-1.000,-0.500,-0.500
1789523294,29796479,robot_0,27,0.000,-1.000,0.500,-0.500
1789523294,29837939,robot_2,28,0.000,0.000,0.500,0.500
1789523294,29860618,robot_2,29,0.000,1.000,0.500,1.500
1789523301,479486461,robot_2,21,-1.000,1.000,-0.500,1.500
1789523301,702140269,robot_2,20,-1.000,0.000,-0.500,0.500
1789523302,731551772,robot_0,18,-1.000,-2.000,-0.500,-1.500
1789523303,393325345,robot_2,22,-1.000,2.000,-0.500,2.500
1789523304,26420871,robot_2,13,-2.000,1.000,-1.500,1.500
1789523304,235348783,robot_2,14,-2.000,2.000,-1.500,2.500
1789523306,372901105,robot_2,6,-3.000,2.000,-2.500,2.500
1789523306,997163608,robot_2,15,-2.000,3.000,-1.500,3.500
1789523307,220505951,robot_2,7,-3.000,3.000,-2.500,3.500
1789523308,922748317,robot_0,12,-2.000,0.000,-1.500,0.500
1789523309,757512626,robot_1,9,-2.000,-3.000,-1.500,-2.500
1789523310,601232046,robot_0,4,-3.000,0.000,-2.500,0.500
1789523311,209773587,robot_1,17,-1.000,-3.000,-0.500,-2.500
1789523311,862074180,robot_0,5,-3.000,1.000,-2.500,1.500
1789523312,487374672,robot_1,8,-2.000,-4.000,-1.500,-3.500
1789523312,920846406,robot_1,16,-1.000,-4.000,-0.500,-3.500
1789523318,531679448,robot_1,24,0.000,-4.000,0.500,-3.500
1789523318,989332727,robot_1,25,0.000,-3.000,0.500,-2.500
1789523321,520814283,robot_1,32,1.000,-4.000,1.500,-3.500
1789523321,520841754,robot_1,33,1.000,-3.000,1.500,-2.500
1789523324,929362182,robot_1,41,2.000,-3.000,2.500,-2.500
1789523334,865349906,robot_1,40,2.000,-4.000,2.500,-3.500
