elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.158,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.457,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
0.755,robot_2,EV_move_backward,EV_path_clear,CLEAR,inf,inf,inf
0.956,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.267,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
1.554,robot_2,EV_move_backward,EV_path_clear,CLEAR,inf,inf,inf
1.854,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.155,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.455,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.656,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
2.954,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.256,robot_2,EV_rotate_counterclockwise,EV_path_clear,CLEAR,inf,inf,inf
3.454,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.656,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
3.955,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.258,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR,inf,inf,inf
4.456,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.658,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
4.958,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.255,robot_2,EV_u_turn,EV_path_clear,CLEAR,inf,inf,inf
7.654,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.860,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR,inf,inf,inf
8.055,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR,inf,inf,inf
8.254,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.556,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.855,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.056,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.358,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.655,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.962,robot_2,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
