stamp_sec,key,entity_a_bump_direction,entity_b_bump_direction,entity_a_event,entity_b_event
934,"('robot_2', 'east_wall::link::collision')",right,,,
936,"('robot_1', 'east_wall::link::collision')",back,,EV_move_forward,
939,"('robot_1', 'north_wall::link::collision')",back,,EV_rotate_clockwise,
940,"('robot_1', 'east_wall::link::collision')",right,,CONTACT_RECOVERY,
942,"('robot_2', 'east_wall::link::collision')",left,,EV_u_turn,
944,"('robot_1', 'east_wall::link::collision')",back,,EV_u_turn,
949,"('robot_1', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
953,"('robot_1', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
957,"('robot_1', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
959,"('robot_1', 'east_wall::link::collision')",front,,CONTACT_RECOVERY,
964,"('robot_1', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
969,"('robot_1', 'east_wall::link::collision')",front,,EV_u_turn,
969,"('robot_1', 'north_wall::link::collision')",front,,EV_u_turn,
974,"('robot_1', 'north_wall::link::collision')",left,,CONTACT_RECOVERY,
977,"('robot_1', 'east_wall::link::collision')",left,,CONTACT_RECOVERY,
981,"('robot_1', 'east_wall::link::collision')",back,,CONTACT_RECOVERY,
985,"('robot_1', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
987,"('robot_1', 'east_wall::link::collision')",back,,CONTACT_RECOVERY,
995,"('robot_1', 'north_wall::link::collision')",back,,CONTACT_RECOVERY,
1001,"('robot_1', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
1004,"('robot_1', 'east_wall::link::collision')",right,,CONTACT_RECOVERY,
1007,"('robot_1', 'north_wall::link::collision')",front,,CONTACT_RECOVERY,
1010,"('robot_1', 'east_wall::link::collision')",front,,CONTACT_RECOVERY,
1013,"('robot_1', 'east_wall::link::collision')",left,,CONTACT_RECOVERY,
1016,"('robot_1', 'east_wall::link::collision')",front,,CONTACT_RECOVERY,
