elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
0.253,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
5.346,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
7.439,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.547,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
14.742,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
15.065,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
15.350,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
15.651,robot_1,EV_move_backward,EV_obstacle_front,CORNER,inf,inf,inf
15.941,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
16.059,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
16.261,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
16.345,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
16.440,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
16.541,robot_1,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
16.646,robot_1,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
16.742,robot_1,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
16.839,robot_1,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
16.943,robot_1,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
19.343,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,CLEAR,inf,inf,inf
19.457,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
19.643,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
19.749,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,CLEAR,inf,inf,inf
22.839,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
25.045,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
25.368,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
25.660,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
25.954,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.244,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.548,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
26.842,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.149,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.448,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
27.745,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.047,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.342,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.641,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
28.859,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
29.165,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
29.459,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
29.754,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.046,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.344,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.656,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
30.951,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
31.242,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
31.452,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
31.750,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
32.049,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
32.252,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
32.562,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
32.842,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
33.141,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
33.342,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
33.653,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
33.946,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
34.150,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
34.442,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
34.650,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
34.943,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
35.149,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
35.445,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
35.743,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
35.957,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
36.244,robot_1,EV_rotate_clockwise,EV_obstacle_left,LEFT,inf,inf,inf
36.442,robot_1,EV_u_turn,EV_obstacle_left,LEFT,inf,inf,inf
38.743,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
39.047,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
39.254,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
39.554,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
39.845,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
40.142,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
40.350,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
40.649,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
40.942,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
41.249,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
41.560,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
41.846,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
42.160,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
42.450,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
42.754,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
43.045,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
43.249,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
43.450,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
43.757,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
44.046,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
44.250,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
44.445,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
44.640,robot_1,EV_rotate_counterclockwise,EV_obstacle_right,RIGHT,inf,inf,inf
44.745,robot_1,EV_u_turn,EV_obstacle_right,RIGHT,inf,inf,inf
46.748,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
47.056,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
47.339,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
47.549,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
47.756,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
48.051,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
48.348,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
48.571,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
48.853,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
49.068,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
49.353,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
49.575,robot_1,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
